uid treatment rep update task count partner
MOI0.0_2 MOI0.0 2 0 NOT 0 Host
MOI0.0_2 MOI0.0 2 0 NAND 0 Host
MOI0.0_2 MOI0.0 2 0 AND 0 Host
MOI0.0_2 MOI0.0 2 0 ORN 0 Host
MOI0.0_2 MOI0.0 2 0 OR 0 Host
MOI0.0_2 MOI0.0 2 0 ANDN 0 Host
MOI0.0_2 MOI0.0 2 0 NOR 0 Host
MOI0.0_2 MOI0.0 2 0 XOR 0 Host
MOI0.0_2 MOI0.0 2 0 EQU 0 Host
MOI0.0_2 MOI0.0 2 100 NOT 3 Host
MOI0.0_2 MOI0.0 2 100 NAND 39982 Host
MOI0.0_2 MOI0.0 2 100 AND 0 Host
MOI0.0_2 MOI0.0 2 100 ORN 0 Host
MOI0.0_2 MOI0.0 2 100 OR 0 Host
MOI0.0_2 MOI0.0 2 100 ANDN 0 Host
MOI0.0_2 MOI0.0 2 100 NOR 0 Host
MOI0.0_2 MOI0.0 2 100 XOR 0 Host
MOI0.0_2 MOI0.0 2 100 EQU 0 Host
MOI0.0_2 MOI0.0 2 200 NOT 0 Host
MOI0.0_2 MOI0.0 2 200 NAND 39981 Host
MOI0.0_2 MOI0.0 2 200 AND 0 Host
MOI0.0_2 MOI0.0 2 200 ORN 0 Host
MOI0.0_2 MOI0.0 2 200 OR 0 Host
MOI0.0_2 MOI0.0 2 200 ANDN 0 Host
MOI0.0_2 MOI0.0 2 200 NOR 0 Host
MOI0.0_2 MOI0.0 2 200 XOR 0 Host
MOI0.0_2 MOI0.0 2 200 EQU 0 Host
MOI0.0_2 MOI0.0 2 300 NOT 35 Host
MOI0.0_2 MOI0.0 2 300 NAND 37637 Host
MOI0.0_2 MOI0.0 2 300 AND 0 Host
MOI0.0_2 MOI0.0 2 300 ORN 0 Host
MOI0.0_2 MOI0.0 2 300 OR 0 Host
MOI0.0_2 MOI0.0 2 300 ANDN 0 Host
MOI0.0_2 MOI0.0 2 300 NOR 0 Host
MOI0.0_2 MOI0.0 2 300 XOR 0 Host
MOI0.0_2 MOI0.0 2 300 EQU 0 Host
MOI0.0_2 MOI0.0 2 400 NOT 158 Host
MOI0.0_2 MOI0.0 2 400 NAND 31315 Host
MOI0.0_2 MOI0.0 2 400 AND 0 Host
MOI0.0_2 MOI0.0 2 400 ORN 0 Host
MOI0.0_2 MOI0.0 2 400 OR 0 Host
MOI0.0_2 MOI0.0 2 400 ANDN 0 Host
MOI0.0_2 MOI0.0 2 400 NOR 0 Host
MOI0.0_2 MOI0.0 2 400 XOR 0 Host
