uid treatment rep update not_count partner
MOI0.0_10 MOI0.0 10 0 0 Host
MOI0.0_10 MOI0.0 10 0 0 Sym
MOI0.0_10 MOI0.0 10 100 9998 Host
MOI0.0_10 MOI0.0 10 100 0 Sym
MOI0.0_10 MOI0.0 10 200 9996 Host
MOI0.0_10 MOI0.0 10 200 0 Sym
MOI0.0_10 MOI0.0 10 300 9995 Host
MOI0.0_10 MOI0.0 10 300 0 Sym
MOI0.0_10 MOI0.0 10 400 9992 Host
MOI0.0_10 MOI0.0 10 400 0 Sym
MOI0.0_10 MOI0.0 10 500 9998 Host
MOI0.0_10 MOI0.0 10 500 0 Sym
MOI0.0_10 MOI0.0 10 600 9992 Host
MOI0.0_10 MOI0.0 10 600 0 Sym
MOI0.0_10 MOI0.0 10 700 9994 Host
MOI0.0_10 MOI0.0 10 700 0 Sym
MOI0.0_10 MOI0.0 10 800 9994 Host
MOI0.0_10 MOI0.0 10 800 0 Sym
MOI0.0_10 MOI0.0 10 900 9988 Host
MOI0.0_10 MOI0.0 10 900 0 Sym
MOI0.0_10 MOI0.0 10 1000 9992 Host
MOI0.0_10 MOI0.0 10 1000 0 Sym
MOI0.0_11 MOI0.0 11 0 0 Host
MOI0.0_11 MOI0.0 11 0 0 Sym
MOI0.0_11 MOI0.0 11 100 9999 Host
MOI0.0_11 MOI0.0 11 100 0 Sym
MOI0.0_11 MOI0.0 11 200 9994 Host
MOI0.0_11 MOI0.0 11 200 0 Sym
MOI0.0_11 MOI0.0 11 300 9993 Host
MOI0.0_11 MOI0.0 11 300 0 Sym
MOI0.0_11 MOI0.0 11 400 9994 Host
MOI0.0_11 MOI0.0 11 400 0 Sym
MOI0.0_11 MOI0.0 11 500 9994 Host
MOI0.0_11 MOI0.0 11 500 0 Sym
MOI0.0_11 MOI0.0 11 600 9991 Host
MOI0.0_11 MOI0.0 11 600 0 Sym
MOI0.0_11 MOI0.0 11 700 9994 Host
MOI0.0_11 MOI0.0 11 700 0 Sym
MOI0.0_11 MOI0.0 11 800 9992 Host
MOI0.0_11 MOI0.0 11 800 0 Sym
MOI0.0_11 MOI0.0 11 900 9990 Host
MOI0.0_11 MOI0.0 11 900 0 Sym
MOI0.0_11 MOI0.0 11 1000 9992 Host
MOI0.0_11 MOI0.0 11 1000 0 Sym
MOI0.0_12 MOI0.0 12 0 0 Host
MOI0.0_12 MOI0.0 12 0 0 Sym
MOI0.0_12 MOI0.0 12 100 9998 Host
MOI0.0_12 MOI0.0 12 100 0 Sym
MOI0.0_12 MOI0.0 12 200 9993 Host
MOI0.0_12 MOI0.0 12 200 0 Sym
MOI0.0_12 MOI0.0 12 300 9995 Host
MOI0.0_12 MOI0.0 12 300 0 Sym
MOI0.0_12 MOI0.0 12 400 9994 Host
MOI0.0_12 MOI0.0 12 400 0 Sym
MOI0.0_12 MOI0.0 12 500 9996 Host
MOI0.0_12 MOI0.0 12 500 0 Sym
MOI0.0_12 MOI0.0 12 600 9991 Host
MOI0.0_12 MOI0.0 12 600 0 Sym
MOI0.0_12 MOI0.0 12 700 9990 Host
MOI0.0_12 MOI0.0 12 700 0 Sym
MOI0.0_12 MOI0.0 12 800 9989 Host
MOI0.0_12 MOI0.0 12 800 0 Sym
MOI0.0_12 MOI0.0 12 900 9992 Host
MOI0.0_12 MOI0.0 12 900 0 Sym
MOI0.0_12 MOI0.0 12 1000 9992 Host
MOI0.0_12 MOI0.0 12 1000 0 Sym
MOI1.0_10 MOI1.0 10 0 0 Host
MOI1.0_10 MOI1.0 10 0 0 Sym
MOI1.0_10 MOI1.0 10 100 9999 Host
MOI1.0_10 MOI1.0 10 100 40000 Sym
MOI1.0_10 MOI1.0 10 200 9992 Host
MOI1.0_10 MOI1.0 10 200 40000 Sym
MOI1.0_10 MOI1.0 10 300 9994 Host
MOI1.0_10 MOI1.0 10 300 40000 Sym
MOI1.0_10 MOI1.0 10 400 9998 Host
MOI1.0_10 MOI1.0 10 400 40000 Sym
MOI1.0_10 MOI1.0 10 500 9997 Host
MOI1.0_10 MOI1.0 10 500 40000 Sym
MOI1.0_10 MOI1.0 10 600 9992 Host
MOI1.0_10 MOI1.0 10 600 34012 Sym
MOI1.0_10 MOI1.0 10 700 9994 Host
MOI1.0_10 MOI1.0 10 700 32177 Sym
MOI1.0_10 MOI1.0 10 800 9995 Host
MOI1.0_10 MOI1.0 10 800 32185 Sym
MOI1.0_10 MOI1.0 10 900 9993 Host
MOI1.0_10 MOI1.0 10 900 32181 Sym
MOI1.0_10 MOI1.0 10 1000 9997 Host
MOI1.0_10 MOI1.0 10 1000 32184 Sym
MOI1.0_11 MOI1.0 11 0 0 Host
MOI1.0_11 MOI1.0 11 0 0 Sym
MOI1.0_11 MOI1.0 11 100 9996 Host
MOI1.0_11 MOI1.0 11 100 40000 Sym
MOI1.0_11 MOI1.0 11 200 9996 Host
MOI1.0_11 MOI1.0 11 200 40000 Sym
MOI1.0_11 MOI1.0 11 300 9995 Host
MOI1.0_11 MOI1.0 11 300 40000 Sym
MOI1.0_11 MOI1.0 11 400 9988 Host
MOI1.0_11 MOI1.0 11 400 40000 Sym
MOI1.0_11 MOI1.0 11 500 9996 Host
MOI1.0_11 MOI1.0 11 500 39999 Sym
MOI1.0_11 MOI1.0 11 600 9991 Host
MOI1.0_11 MOI1.0 11 600 34035 Sym
MOI1.0_11 MOI1.0 11 700 9995 Host
MOI1.0_11 MOI1.0 11 700 32278 Sym
MOI1.0_11 MOI1.0 11 800 9994 Host
MOI1.0_11 MOI1.0 11 800 32278 Sym
MOI1.0_11 MOI1.0 11 900 9992 Host
MOI1.0_11 MOI1.0 11 900 32282 Sym
MOI1.0_11 MOI1.0 11 1000 9997 Host
MOI1.0_11 MOI1.0 11 1000 32279 Sym
MOI1.0_12 MOI1.0 12 0 0 Host
MOI1.0_12 MOI1.0 12 0 0 Sym
MOI1.0_12 MOI1.0 12 100 9997 Host
MOI1.0_12 MOI1.0 12 100 40000 Sym
MOI1.0_12 MOI1.0 12 200 9994 Host
MOI1.0_12 MOI1.0 12 200 40000 Sym
MOI1.0_12 MOI1.0 12 300 9996 Host
MOI1.0_12 MOI1.0 12 300 40000 Sym
MOI1.0_12 MOI1.0 12 400 9992 Host
MOI1.0_12 MOI1.0 12 400 40000 Sym
MOI1.0_12 MOI1.0 12 500 9990 Host
MOI1.0_12 MOI1.0 12 500 39999 Sym
MOI1.0_12 MOI1.0 12 600 9990 Host
MOI1.0_12 MOI1.0 12 600 33986 Sym
MOI1.0_12 MOI1.0 12 700 9999 Host
MOI1.0_12 MOI1.0 12 700 32163 Sym
MOI1.0_12 MOI1.0 12 800 9988 Host
MOI1.0_12 MOI1.0 12 800 32164 Sym
MOI1.0_12 MOI1.0 12 900 9991 Host
MOI1.0_12 MOI1.0 12 900 32162 Sym
MOI1.0_12 MOI1.0 12 1000 9995 Host
MOI1.0_12 MOI1.0 12 1000 32161 Sym
