uid treatment rep update task count partner
MOI0.0_1 MOI0.0 1 0 NOT 0 Host
MOI0.0_1 MOI0.0 1 0 NOT 0 Mutualist
MOI0.0_1 MOI0.0 1 0 NAND 0 Host
MOI0.0_1 MOI0.0 1 0 NAND 0 Mutualist
MOI0.0_1 MOI0.0 1 0 AND 0 Host
MOI0.0_1 MOI0.0 1 0 AND 0 Mutualist
MOI0.0_1 MOI0.0 1 0 ORN 0 Host
MOI0.0_1 MOI0.0 1 0 ORN 0 Mutualist
MOI0.0_1 MOI0.0 1 0 OR 0 Host
MOI0.0_1 MOI0.0 1 0 OR 0 Mutualist
MOI0.0_1 MOI0.0 1 0 ANDN 0 Host
MOI0.0_1 MOI0.0 1 0 ANDN 0 Mutualist
MOI0.0_1 MOI0.0 1 0 NOR 0 Host
MOI0.0_1 MOI0.0 1 0 NOR 0 Mutualist
MOI0.0_1 MOI0.0 1 0 XOR 0 Host
MOI0.0_1 MOI0.0 1 0 XOR 0 Mutualist
MOI0.0_1 MOI0.0 1 0 EQU 0 Host
MOI0.0_1 MOI0.0 1 0 EQU 0 Mutualist
MOI0.0_1 MOI0.0 1 200 NOT 3 Host
MOI0.0_1 MOI0.0 1 200 NOT 0 Mutualist
MOI0.0_1 MOI0.0 1 200 NAND 79963 Host
MOI0.0_1 MOI0.0 1 200 NAND 0 Mutualist
MOI0.0_1 MOI0.0 1 200 AND 0 Host
MOI0.0_1 MOI0.0 1 200 AND 0 Mutualist
MOI0.0_1 MOI0.0 1 200 ORN 0 Host
MOI0.0_1 MOI0.0 1 200 ORN 0 Mutualist
MOI0.0_1 MOI0.0 1 200 OR 0 Host
MOI0.0_1 MOI0.0 1 200 OR 0 Mutualist
MOI0.0_1 MOI0.0 1 200 ANDN 0 Host
MOI0.0_1 MOI0.0 1 200 ANDN 0 Mutualist
MOI0.0_1 MOI0.0 1 200 NOR 0 Host
MOI0.0_1 MOI0.0 1 200 NOR 0 Mutualist
MOI0.0_1 MOI0.0 1 200 XOR 0 Host
MOI0.0_1 MOI0.0 1 200 XOR 0 Mutualist
MOI0.0_1 MOI0.0 1 200 EQU 0 Host
MOI0.0_1 MOI0.0 1 200 EQU 0 Mutualist
MOI0.0_1 MOI0.0 1 400 NOT 302 Host
MOI0.0_1 MOI0.0 1 400 NOT 0 Mutualist
MOI0.0_1 MOI0.0 1 400 NAND 72673 Host
MOI0.0_1 MOI0.0 1 400 NAND 0 Mutualist
MOI0.0_1 MOI0.0 1 400 AND 0 Host
MOI0.0_1 MOI0.0 1 400 AND 0 Mutualist
MOI0.0_1 MOI0.0 1 400 ORN 1 Host
