uid treatment rep update task count partner
MOI0.0_15 MOI0.0 15 0 NOT 0 Host
MOI0.0_15 MOI0.0 15 0 NOT 0 Mutualist
MOI0.0_15 MOI0.0 15 0 NAND 0 Host
MOI0.0_15 MOI0.0 15 0 NAND 0 Mutualist
MOI0.0_15 MOI0.0 15 0 AND 0 Host
MOI0.0_15 MOI0.0 15 0 AND 0 Mutualist
MOI0.0_15 MOI0.0 15 0 ORN 0 Host
MOI0.0_15 MOI0.0 15 0 ORN 0 Mutualist
MOI0.0_15 MOI0.0 15 0 OR 0 Host
MOI0.0_15 MOI0.0 15 0 OR 0 Mutualist
MOI0.0_15 MOI0.0 15 0 ANDN 0 Host
MOI0.0_15 MOI0.0 15 0 ANDN 0 Mutualist
MOI0.0_15 MOI0.0 15 0 NOR 0 Host
MOI0.0_15 MOI0.0 15 0 NOR 0 Mutualist
MOI0.0_15 MOI0.0 15 0 XOR 0 Host
MOI0.0_15 MOI0.0 15 0 XOR 0 Mutualist
MOI0.0_15 MOI0.0 15 0 EQU 0 Host
MOI0.0_15 MOI0.0 15 0 EQU 0 Mutualist
MOI0.0_15 MOI0.0 15 200 NOT 3 Host
MOI0.0_15 MOI0.0 15 200 NOT 0 Mutualist
MOI0.0_15 MOI0.0 15 200 NAND 79963 Host
MOI0.0_15 MOI0.0 15 200 NAND 0 Mutualist
MOI0.0_15 MOI0.0 15 200 AND 0 Host
MOI0.0_15 MOI0.0 15 200 AND 0 Mutualist
MOI0.0_15 MOI0.0 15 200 ORN 0 Host
MOI0.0_15 MOI0.0 15 200 ORN 0 Mutualist
MOI0.0_15 MOI0.0 15 200 OR 0 Host
MOI0.0_15 MOI0.0 15 200 OR 0 Mutualist
MOI0.0_15 MOI0.0 15 200 ANDN 0 Host
MOI0.0_15 MOI0.0 15 200 ANDN 0 Mutualist
MOI0.0_15 MOI0.0 15 200 NOR 0 Host
MOI0.0_15 MOI0.0 15 200 NOR 0 Mutualist
MOI0.0_15 MOI0.0 15 200 XOR 0 Host
MOI0.0_15 MOI0.0 15 200 XOR 0 Mutualist
MOI0.0_15 MOI0.0 15 200 EQU 0 Host
MOI0.0_15 MOI0.0 15 200 EQU 0 Mutualist
MOI0.0_15 MOI0.0 15 400 NOT 318 Host
MOI0.0_15 MOI0.0 15 400 NOT 0 Mutualist
MOI0.0_15 MOI0.0 15 400 NAND 72551 Host
MOI0.0_15 MOI0.0 15 400 NAND 0 Mutualist
MOI0.0_15 MOI0.0 15 400 AND 0 Host
MOI0.0_15 MOI0.0 15 400 AND 0 Mutualist
MOI0.0_15 MOI0.0 15 400 ORN 1 Host
MOI0.0_15 MOI0.0 15 400 ORN 0 Mutualist
MOI0.0_15 MOI0.0 15 400 OR 0 Host
MOI0.0_15 MOI0.0 15 400 OR 0 Mutualist
MOI0.0_15 MOI0.0 15 400 ANDN 0 Host
MOI0.0_15 MOI0.0 15 400 ANDN 0 Mutualist
MOI0.0_15 MOI0.0 15 400 NOR 0 Host
MOI0.0_15 MOI0.0 15 400 NOR 0 Mutualist
MOI0.0_15 MOI0.0 15 400 XOR 0 Host
MOI0.0_15 MOI0.0 15 400 XOR 0 Mutualist
MOI0.0_15 MOI0.0 15 400 EQU 0 Host
MOI0.0_15 MOI0.0 15 400 EQU 0 Mutualist
MOI0.0_15 MOI0.0 15 600 NOT 687 Host
MOI0.0_15 MOI0.0 15 600 NOT 0 Mutualist
MOI0.0_15 MOI0.0 15 600 NAND 68099 Host
MOI0.0_15 MOI0.0 15 600 NAND 0 Mutualist
MOI0.0_15 MOI0.0 15 600 AND 0 Host
MOI0.0_15 MOI0.0 15 600 AND 0 Mutualist
MOI0.0_15 MOI0.0 15 600 ORN 0 Host
MOI0.0_15 MOI0.0 15 600 ORN 0 Mutualist
MOI0.0_15 MOI0.0 15 600 OR 3 Host
MOI0.0_15 MOI0.0 15 600 OR 0 Mutualist
MOI0.0_15 MOI0.0 15 600 ANDN 0 Host
MOI0.0_15 MOI0.0 15 600 ANDN 0 Mutualist
MOI0.0_15 MOI0.0 15 600 NOR 0 Host
MOI0.0_15 MOI0.0 15 600 NOR 0 Mutualist
MOI0.0_15 MOI0.0 15 600 XOR 0 Host
MOI0.0_15 MOI0.0 15 600 XOR 0 Mutualist
MOI0.0_15 MOI0.0 15 600 EQU 0 Host
MOI0.0_15 MOI0.0 15 600 EQU 0 Mutualist
MOI0.0_15 MOI0.0 15 800 NOT 937 Host
MOI0.0_15 MOI0.0 15 800 NOT 0 Mutualist
MOI0.0_15 MOI0.0 15 800 NAND 65256 Host
MOI0.0_15 MOI0.0 15 800 NAND 0 Mutualist
