uid treatment rep update count partner
AGE250_10 AGE250 10 0 10000 Count
AGE250_10 AGE250 10 0 10000 Sym
AGE250_10 AGE250 10 100 10000 Count
AGE250_10 AGE250 10 100 10000 Sym
AGE250_10 AGE250 10 200 10000 Count
AGE250_10 AGE250 10 200 10000 Sym
AGE250_10 AGE250 10 300 0 Count
AGE250_10 AGE250 10 300 0 Sym
AGE250_10 AGE250 10 400 0 Count
AGE250_10 AGE250 10 400 0 Sym
AGE250_10 AGE250 10 500 0 Count
AGE250_10 AGE250 10 500 0 Sym
AGE250_10 AGE250 10 600 0 Count
AGE250_10 AGE250 10 600 0 Sym
AGE250_10 AGE250 10 700 0 Count
AGE250_10 AGE250 10 700 0 Sym
AGE250_10 AGE250 10 800 0 Count
AGE250_10 AGE250 10 800 0 Sym
AGE250_10 AGE250 10 900 0 Count
AGE250_10 AGE250 10 900 0 Sym
AGE250_10 AGE250 10 1000 0 Count
AGE250_10 AGE250 10 1000 0 Sym
AGE250_11 AGE250 11 0 10000 Count
AGE250_11 AGE250 11 0 10000 Sym
AGE250_11 AGE250 11 100 10000 Count
AGE250_11 AGE250 11 100 10000 Sym
AGE250_11 AGE250 11 200 10000 Count
AGE250_11 AGE250 11 200 10000 Sym
AGE250_11 AGE250 11 300 0 Count
AGE250_11 AGE250 11 300 0 Sym
AGE250_11 AGE250 11 400 0 Count
AGE250_11 AGE250 11 400 0 Sym
AGE250_11 AGE250 11 500 0 Count
AGE250_11 AGE250 11 500 0 Sym
AGE250_11 AGE250 11 600 0 Count
AGE250_11 AGE250 11 600 0 Sym
AGE250_11 AGE250 11 700 0 Count
AGE250_11 AGE250 11 700 0 Sym
AGE250_11 AGE250 11 800 0 Count
AGE250_11 AGE250 11 800 0 Sym
AGE250_11 AGE250 11 900 0 Count
AGE250_11 AGE250 11 900 0 Sym
AGE250_11 AGE250 11 1000 0 Count
AGE250_11 AGE250 11 1000 0 Sym
AGE250_12 AGE250 12 0 10000 Count
AGE250_12 AGE250 12 0 10000 Sym
AGE250_12 AGE250 12 100 10000 Count
AGE250_12 AGE250 12 100 10000 Sym
AGE250_12 AGE250 12 200 10000 Count
AGE250_12 AGE250 12 200 10000 Sym
AGE250_12 AGE250 12 300 0 Count
AGE250_12 AGE250 12 300 0 Sym
AGE250_12 AGE250 12 400 0 Count
AGE250_12 AGE250 12 400 0 Sym
AGE250_12 AGE250 12 500 0 Count
AGE250_12 AGE250 12 500 0 Sym
AGE250_12 AGE250 12 600 0 Count
AGE250_12 AGE250 12 600 0 Sym
AGE250_12 AGE250 12 700 0 Count
AGE250_12 AGE250 12 700 0 Sym
AGE250_12 AGE250 12 800 0 Count
AGE250_12 AGE250 12 800 0 Sym
AGE250_12 AGE250 12 900 0 Count
AGE250_12 AGE250 12 900 0 Sym
AGE250_12 AGE250 12 1000 0 Count
AGE250_12 AGE250 12 1000 0 Sym
AGE500_10 AGE500 10 0 10000 Count
AGE500_10 AGE500 10 0 10000 Sym
AGE500_10 AGE500 10 100 10000 Count
