uid treatment rep update task count partner
ORGANISM_TYPE0_1 ORGANISM_TYPE0 1 0 NOT 0 Host
ORGANISM_TYPE0_1 ORGANISM_TYPE0 1 0 NOT 0 Mutualist
ORGANISM_TYPE0_1 ORGANISM_TYPE0 1 0 NAND 0 Host
ORGANISM_TYPE0_1 ORGANISM_TYPE0 1 0 NAND 0 Mutualist
ORGANISM_TYPE0_1 ORGANISM_TYPE0 1 0 AND 0 Host
ORGANISM_TYPE0_1 ORGANISM_TYPE0 1 0 AND 0 Mutualist
ORGANISM_TYPE0_1 ORGANISM_TYPE0 1 0 ORN 0 Host
ORGANISM_TYPE0_1 ORGANISM_TYPE0 1 0 ORN 0 Mutualist
ORGANISM_TYPE0_1 ORGANISM_TYPE0 1 0 OR 0 Host
ORGANISM_TYPE0_1 ORGANISM_TYPE0 1 0 OR 0 Mutualist
ORGANISM_TYPE0_1 ORGANISM_TYPE0 1 0 ANDN 0 Host
ORGANISM_TYPE0_1 ORGANISM_TYPE0 1 0 ANDN 0 Mutualist
ORGANISM_TYPE0_1 ORGANISM_TYPE0 1 0 NOR 0 Host
ORGANISM_TYPE0_1 ORGANISM_TYPE0 1 0 NOR 0 Mutualist
ORGANISM_TYPE0_1 ORGANISM_TYPE0 1 0 XOR 0 Host
ORGANISM_TYPE0_1 ORGANISM_TYPE0 1 0 XOR 0 Mutualist
ORGANISM_TYPE0_1 ORGANISM_TYPE0 1 0 EQU 0 Host
ORGANISM_TYPE0_1 ORGANISM_TYPE0 1 0 EQU 0 Mutualist
ORGANISM_TYPE0_1 ORGANISM_TYPE0 1 100 NOT 10002 Host
ORGANISM_TYPE0_1 ORGANISM_TYPE0 1 100 NOT 26085 Mutualist
ORGANISM_TYPE0_1 ORGANISM_TYPE0 1 100 NAND 0 Host
ORGANISM_TYPE0_1 ORGANISM_TYPE0 1 100 NAND 9 Mutualist
ORGANISM_TYPE0_1 ORGANISM_TYPE0 1 100 AND 0 Host
ORGANISM_TYPE0_1 ORGANISM_TYPE0 1 100 AND 0 Mutualist
ORGANISM_TYPE0_1 ORGANISM_TYPE0 1 100 ORN 0 Host
ORGANISM_TYPE0_1 ORGANISM_TYPE0 1 100 ORN 0 Mutualist
ORGANISM_TYPE0_1 ORGANISM_TYPE0 1 100 OR 0 Host
ORGANISM_TYPE0_1 ORGANISM_TYPE0 1 100 OR 0 Mutualist
ORGANISM_TYPE0_1 ORGANISM_TYPE0 1 100 ANDN 0 Host
ORGANISM_TYPE0_1 ORGANISM_TYPE0 1 100 ANDN 0 Mutualist
ORGANISM_TYPE0_1 ORGANISM_TYPE0 1 100 NOR 0 Host
ORGANISM_TYPE0_1 ORGANISM_TYPE0 1 100 NOR 0 Mutualist
ORGANISM_TYPE0_1 ORGANISM_TYPE0 1 100 XOR 0 Host
ORGANISM_TYPE0_1 ORGANISM_TYPE0 1 100 XOR 0 Mutualist
ORGANISM_TYPE0_1 ORGANISM_TYPE0 1 100 EQU 0 Host
ORGANISM_TYPE0_1 ORGANISM_TYPE0 1 100 EQU 0 Mutualist
ORGANISM_TYPE0_1 ORGANISM_TYPE0 1 200 NOT 10000 Host
