uid treatment rep update task count partner
CPU_CHANCE0.6_1 CPU_CHANCE0.6 1 0 NOT 0 Host
CPU_CHANCE0.6_1 CPU_CHANCE0.6 1 0 NOT 0 Mutualist
CPU_CHANCE0.6_1 CPU_CHANCE0.6 1 0 NAND 0 Host
CPU_CHANCE0.6_1 CPU_CHANCE0.6 1 0 NAND 0 Mutualist
CPU_CHANCE0.6_1 CPU_CHANCE0.6 1 0 AND 0 Host
CPU_CHANCE0.6_1 CPU_CHANCE0.6 1 0 AND 0 Mutualist
CPU_CHANCE0.6_1 CPU_CHANCE0.6 1 0 ORN 0 Host
CPU_CHANCE0.6_1 CPU_CHANCE0.6 1 0 ORN 0 Mutualist
CPU_CHANCE0.6_1 CPU_CHANCE0.6 1 0 OR 0 Host
CPU_CHANCE0.6_1 CPU_CHANCE0.6 1 0 OR 0 Mutualist
CPU_CHANCE0.6_1 CPU_CHANCE0.6 1 0 ANDN 0 Host
CPU_CHANCE0.6_1 CPU_CHANCE0.6 1 0 ANDN 0 Mutualist
CPU_CHANCE0.6_1 CPU_CHANCE0.6 1 0 NOR 0 Host
CPU_CHANCE0.6_1 CPU_CHANCE0.6 1 0 NOR 0 Mutualist
CPU_CHANCE0.6_1 CPU_CHANCE0.6 1 0 XOR 0 Host
CPU_CHANCE0.6_1 CPU_CHANCE0.6 1 0 XOR 0 Mutualist
CPU_CHANCE0.6_1 CPU_CHANCE0.6 1 0 EQU 0 Host
CPU_CHANCE0.6_1 CPU_CHANCE0.6 1 0 EQU 0 Mutualist
CPU_CHANCE0.6_1 CPU_CHANCE0.6 1 100 NOT 8620 Host
CPU_CHANCE0.6_1 CPU_CHANCE0.6 1 100 NOT 13603 Mutualist
CPU_CHANCE0.6_1 CPU_CHANCE0.6 1 100 NAND 0 Host
CPU_CHANCE0.6_1 CPU_CHANCE0.6 1 100 NAND 0 Mutualist
CPU_CHANCE0.6_1 CPU_CHANCE0.6 1 100 AND 0 Host
CPU_CHANCE0.6_1 CPU_CHANCE0.6 1 100 AND 0 Mutualist
CPU_CHANCE0.6_1 CPU_CHANCE0.6 1 100 ORN 0 Host
CPU_CHANCE0.6_1 CPU_CHANCE0.6 1 100 ORN 0 Mutualist
CPU_CHANCE0.6_1 CPU_CHANCE0.6 1 100 OR 0 Host
CPU_CHANCE0.6_1 CPU_CHANCE0.6 1 100 OR 0 Mutualist
CPU_CHANCE0.6_1 CPU_CHANCE0.6 1 100 ANDN 0 Host
CPU_CHANCE0.6_1 CPU_CHANCE0.6 1 100 ANDN 0 Mutualist
CPU_CHANCE0.6_1 CPU_CHANCE0.6 1 100 NOR 0 Host
CPU_CHANCE0.6_1 CPU_CHANCE0.6 1 100 NOR 0 Mutualist
CPU_CHANCE0.6_1 CPU_CHANCE0.6 1 100 XOR 0 Host
CPU_CHANCE0.6_1 CPU_CHANCE0.6 1 100 XOR 0 Mutualist
CPU_CHANCE0.6_1 CPU_CHANCE0.6 1 100 EQU 0 Host
CPU_CHANCE0.6_1 CPU_CHANCE0.6 1 100 EQU 0 Mutualist
CPU_CHANCE0.6_1 CPU_CHANCE0.6 1 200 NOT 11382 Host
CPU_CHANCE0.6_1 CPU_CHANCE0.6 1 200 NOT 14614 Mutualist
CPU_CHANCE0.6_1 CPU_CHANCE0.6 1 200 NAND 0 Host
CPU_CHANCE0.6_1 CPU_CHANCE0.6 1 200 NAND 0 Mutualist
CPU_CHANCE0.6_1 CPU_CHANCE0.6 1 200 AND 0 Host
CPU_CHANCE0.6_1 CPU_CHANCE0.6 1 200 AND 0 Mutualist
CPU_CHANCE0.6_1 CPU_CHANCE0.6 1 200 ORN 0 Host
CPU_CHANCE0.6_1 CPU_CHANCE0.6 1 200 ORN 0 Mutualist
CPU_CHANCE0.6_1 CPU_CHANCE0.6 1 200 OR 0 Host
CPU_CHANCE0.6_1 CPU_CHANCE0.6 1 200 OR 0 Mutualist
CPU_CHANCE0.6_1 CPU_CHANCE0.6 1 200 ANDN 0 Host
CPU_CHANCE0.6_1 CPU_CHANCE0.6 1 200 ANDN 0 Mutualist
CPU_CHANCE0.6_1 CPU_CHANCE0.6 1 200 NOR 0 Host
CPU_CHANCE0.6_1 CPU_CHANCE0.6 1 200 NOR 0 Mutualist
CPU_CHANCE0.6_1 CPU_CHANCE0.6 1 200 XOR 0 Host
CPU_CHANCE0.6_1 CPU_CHANCE0.6 1 200 XOR 0 Mutualist
CPU_CHANCE0.6_1 CPU_CHANCE0.6 1 200 EQU 0 Host
CPU_CHANCE0.6_1 CPU_CHANCE0.6 1 200 EQU 0 Mutualist
CPU_CHANCE0.6_1 CPU_CHANCE0.6 1 300 NOT 10000 Host
CPU_CHANCE0.6_1 CPU_CHANCE0.6 1 300 NOT 15093 Mutualist
CPU_CHANCE0.6_1 CPU_CHANCE0.6 1 300 NAND 0 Host
CPU_CHANCE0.6_1 CPU_CHANCE0.6 1 300 NAND 0 Mutualist
CPU_CHANCE0.6_1 CPU_CHANCE0.6 1 300 AND 0 Host
CPU_CHANCE0.6_1 CPU_CHANCE0.6 1 300 AND 0 Mutualist
CPU_CHANCE0.6_1 CPU_CHANCE0.6 1 300 ORN 0 Host
CPU_CHANCE0.6_1 CPU_CHANCE0.6 1 300 ORN 1 Mutualist
CPU_CHANCE0.6_1 CPU_CHANCE0.6 1 300 OR 0 Host
CPU_CHANCE0.6_1 CPU_CHANCE0.6 1 300 OR 0 Mutualist
CPU_CHANCE0.6_1 CPU_CHANCE0.6 1 300 ANDN 0 Host
