uid treatment rep update task count partner
MOI0.0_1 MOI0.0 1 0 NOT 0 Host
MOI0.0_1 MOI0.0 1 0 NOT 0 Parasite
MOI0.0_1 MOI0.0 1 0 NAND 0 Host
MOI0.0_1 MOI0.0 1 0 NAND 0 Parasite
MOI0.0_1 MOI0.0 1 0 AND 0 Host
MOI0.0_1 MOI0.0 1 0 AND 0 Parasite
MOI0.0_1 MOI0.0 1 0 ORN 0 Host
MOI0.0_1 MOI0.0 1 0 ORN 0 Parasite
MOI0.0_1 MOI0.0 1 0 OR 0 Host
MOI0.0_1 MOI0.0 1 0 OR 0 Parasite
MOI0.0_1 MOI0.0 1 0 ANDN 0 Host
MOI0.0_1 MOI0.0 1 0 ANDN 0 Parasite
MOI0.0_1 MOI0.0 1 0 NOR 0 Host
MOI0.0_1 MOI0.0 1 0 NOR 0 Parasite
MOI0.0_1 MOI0.0 1 0 XOR 0 Host
MOI0.0_1 MOI0.0 1 0 XOR 0 Parasite
MOI0.0_1 MOI0.0 1 0 EQU 0 Host
MOI0.0_1 MOI0.0 1 0 EQU 0 Parasite
MOI0.0_1 MOI0.0 1 1000 NOT 99994 Host
MOI0.0_1 MOI0.0 1 1000 NOT 0 Parasite
MOI0.0_1 MOI0.0 1 1000 NAND 0 Host
MOI0.0_1 MOI0.0 1 1000 NAND 0 Parasite
MOI0.0_1 MOI0.0 1 1000 AND 2 Host
MOI0.0_1 MOI0.0 1 1000 AND 0 Parasite
MOI0.0_1 MOI0.0 1 1000 ORN 2 Host
MOI0.0_1 MOI0.0 1 1000 ORN 0 Parasite
MOI0.0_1 MOI0.0 1 1000 OR 2 Host
MOI0.0_1 MOI0.0 1 1000 OR 0 Parasite
MOI0.0_1 MOI0.0 1 1000 ANDN 2 Host
MOI0.0_1 MOI0.0 1 1000 ANDN 0 Parasite
MOI0.0_1 MOI0.0 1 1000 NOR 0 Host
MOI0.0_1 MOI0.0 1 1000 NOR 0 Parasite
MOI0.0_1 MOI0.0 1 1000 XOR 0 Host
MOI0.0_1 MOI0.0 1 1000 XOR 0 Parasite
MOI0.0_1 MOI0.0 1 1000 EQU 0 Host
MOI0.0_1 MOI0.0 1 1000 EQU 0 Parasite
MOI0.0_1 MOI0.0 1 2000 NOT 99977 Host
MOI0.0_1 MOI0.0 1 2000 NOT 0 Parasite
MOI0.0_1 MOI0.0 1 2000 NAND 18 Host
MOI0.0_1 MOI0.0 1 2000 NAND 0 Parasite
MOI0.0_1 MOI0.0 1 2000 AND 1 Host
MOI0.0_1 MOI0.0 1 2000 AND 0 Parasite
MOI0.0_1 MOI0.0 1 2000 ORN 4 Host
MOI0.0_1 MOI0.0 1 2000 ORN 0 Parasite
MOI0.0_1 MOI0.0 1 2000 OR 0 Host
MOI0.0_1 MOI0.0 1 2000 OR 0 Parasite
MOI0.0_1 MOI0.0 1 2000 ANDN 0 Host
MOI0.0_1 MOI0.0 1 2000 ANDN 0 Parasite
MOI0.0_1 MOI0.0 1 2000 NOR 0 Host
MOI0.0_1 MOI0.0 1 2000 NOR 0 Parasite
MOI0.0_1 MOI0.0 1 2000 XOR 0 Host
MOI0.0_1 MOI0.0 1 2000 XOR 0 Parasite
MOI0.0_1 MOI0.0 1 2000 EQU 0 Host
MOI0.0_1 MOI0.0 1 2000 EQU 0 Parasite
MOI0.0_1 MOI0.0 1 3000 NOT 99298 Host
MOI0.0_1 MOI0.0 1 3000 NOT 0 Parasite
MOI0.0_1 MOI0.0 1 3000 NAND 660 Host
MOI0.0_1 MOI0.0 1 3000 NAND 0 Parasite
MOI0.0_1 MOI0.0 1 3000 AND 41 Host
MOI0.0_1 MOI0.0 1 3000 AND 0 Parasite
MOI0.0_1 MOI0.0 1 3000 ORN 0 Host
MOI0.0_1 MOI0.0 1 3000 ORN 0 Parasite
MOI0.0_1 MOI0.0 1 3000 OR 0 Host
MOI0.0_1 MOI0.0 1 3000 OR 0 Parasite
MOI0.0_1 MOI0.0 1 3000 ANDN 1 Host
MOI0.0_1 MOI0.0 1 3000 ANDN 0 Parasite
MOI0.0_1 MOI0.0 1 3000 NOR 0 Host
MOI0.0_1 MOI0.0 1 3000 NOR 0 Parasite
MOI0.0_1 MOI0.0 1 3000 XOR 0 Host
MOI0.0_1 MOI0.0 1 3000 XOR 0 Parasite
MOI0.0_1 MOI0.0 1 3000 EQU 0 Host
MOI0.0_1 MOI0.0 1 3000 EQU 0 Parasite
MOI0.0_1 MOI0.0 1 4000 NOT 98910 Host
MOI0.0_1 MOI0.0 1 4000 NOT 0 Parasite
MOI0.0_1 MOI0.0 1 4000 NAND 916 Host
MOI0.0_1 MOI0.0 1 4000 NAND 0 Parasite
MOI0.0_1 MOI0.0 1 4000 AND 170 Host
MOI0.0_1 MOI0.0 1 4000 AND 0 Parasite
MOI0.0_1 MOI0.0 1 4000 ORN 3 Host
MOI0.0_1 MOI0.0 1 4000 ORN 0 Parasite
MOI0.0_1 MOI0.0 1 4000 OR 0 Host
MOI0.0_1 MOI0.0 1 4000 OR 0 Parasite
MOI0.0_1 MOI0.0 1 4000 ANDN 1 Host
MOI0.0_1 MOI0.0 1 4000 ANDN 0 Parasite
MOI0.0_1 MOI0.0 1 4000 NOR 0 Host
MOI0.0_1 MOI0.0 1 4000 NOR 0 Parasite
MOI0.0_1 MOI0.0 1 4000 XOR 0 Host
MOI0.0_1 MOI0.0 1 4000 XOR 0 Parasite
MOI0.0_1 MOI0.0 1 4000 EQU 0 Host
MOI0.0_1 MOI0.0 1 4000 EQU 0 Parasite
MOI0.0_1 MOI0.0 1 5000 NOT 98585 Host
MOI0.0_1 MOI0.0 1 5000 NOT 0 Parasite
MOI0.0_1 MOI0.0 1 5000 NAND 1411 Host
MOI0.0_1 MOI0.0 1 5000 NAND 0 Parasite
MOI0.0_1 MOI0.0 1 5000 AND 0 Host
MOI0.0_1 MOI0.0 1 5000 AND 0 Parasite
MOI0.0_1 MOI0.0 1 5000 ORN 3 Host
MOI0.0_1 MOI0.0 1 5000 ORN 0 Parasite
MOI0.0_1 MOI0.0 1 5000 OR 1 Host
MOI0.0_1 MOI0.0 1 5000 OR 0 Parasite
MOI0.0_1 MOI0.0 1 5000 ANDN 0 Host
MOI0.0_1 MOI0.0 1 5000 ANDN 0 Parasite
MOI0.0_1 MOI0.0 1 5000 NOR 0 Host
MOI0.0_1 MOI0.0 1 5000 NOR 0 Parasite
MOI0.0_1 MOI0.0 1 5000 XOR 0 Host
MOI0.0_1 MOI0.0 1 5000 XOR 0 Parasite
MOI0.0_1 MOI0.0 1 5000 EQU 0 Host
MOI0.0_1 MOI0.0 1 5000 EQU 0 Parasite
MOI0.0_1 MOI0.0 1 6000 NOT 95705 Host
MOI0.0_1 MOI0.0 1 6000 NOT 0 Parasite
MOI0.0_1 MOI0.0 1 6000 NAND 4290 Host
MOI0.0_1 MOI0.0 1 6000 NAND 0 Parasite
MOI0.0_1 MOI0.0 1 6000 AND 1 Host
MOI0.0_1 MOI0.0 1 6000 AND 0 Parasite
MOI0.0_1 MOI0.0 1 6000 ORN 3 Host
MOI0.0_1 MOI0.0 1 6000 ORN 0 Parasite
MOI0.0_1 MOI0.0 1 6000 OR 1 Host
MOI0.0_1 MOI0.0 1 6000 OR 0 Parasite
MOI0.0_1 MOI0.0 1 6000 ANDN 0 Host
MOI0.0_1 MOI0.0 1 6000 ANDN 0 Parasite
MOI0.0_1 MOI0.0 1 6000 NOR 0 Host
MOI0.0_1 MOI0.0 1 6000 NOR 0 Parasite
MOI0.0_1 MOI0.0 1 6000 XOR 0 Host
MOI0.0_1 MOI0.0 1 6000 XOR 0 Parasite
MOI0.0_1 MOI0.0 1 6000 EQU 0 Host
MOI0.0_1 MOI0.0 1 6000 EQU 0 Parasite
MOI0.0_1 MOI0.0 1 7000 NOT 99142 Host
MOI0.0_1 MOI0.0 1 7000 NOT 0 Parasite
MOI0.0_1 MOI0.0 1 7000 NAND 840 Host
MOI0.0_1 MOI0.0 1 7000 NAND 0 Parasite
MOI0.0_1 MOI0.0 1 7000 AND 0 Host
MOI0.0_1 MOI0.0 1 7000 AND 0 Parasite
MOI0.0_1 MOI0.0 1 7000 ORN 9 Host
MOI0.0_1 MOI0.0 1 7000 ORN 0 Parasite
MOI0.0_1 MOI0.0 1 7000 OR 3 Host
MOI0.0_1 MOI0.0 1 7000 OR 0 Parasite
MOI0.0_1 MOI0.0 1 7000 ANDN 6 Host
MOI0.0_1 MOI0.0 1 7000 ANDN 0 Parasite
MOI0.0_1 MOI0.0 1 7000 NOR 0 Host
MOI0.0_1 MOI0.0 1 7000 NOR 0 Parasite
MOI0.0_1 MOI0.0 1 7000 XOR 0 Host
MOI0.0_1 MOI0.0 1 7000 XOR 0 Parasite
MOI0.0_1 MOI0.0 1 7000 EQU 0 Host
MOI0.0_1 MOI0.0 1 7000 EQU 0 Parasite
MOI0.0_1 MOI0.0 1 8000 NOT 99971 Host
MOI0.0_1 MOI0.0 1 8000 NOT 0 Parasite
MOI0.0_1 MOI0.0 1 8000 NAND 8 Host
MOI0.0_1 MOI0.0 1 8000 NAND 0 Parasite
MOI0.0_1 MOI0.0 1 8000 AND 0 Host
MOI0.0_1 MOI0.0 1 8000 AND 0 Parasite
MOI0.0_1 MOI0.0 1 8000 ORN 21 Host
MOI0.0_1 MOI0.0 1 8000 ORN 0 Parasite
MOI0.0_1 MOI0.0 1 8000 OR 0 Host
MOI0.0_1 MOI0.0 1 8000 OR 0 Parasite
MOI0.0_1 MOI0.0 1 8000 ANDN 0 Host
MOI0.0_1 MOI0.0 1 8000 ANDN 0 Parasite
MOI0.0_1 MOI0.0 1 8000 NOR 0 Host
MOI0.0_1 MOI0.0 1 8000 NOR 0 Parasite
MOI0.0_1 MOI0.0 1 8000 XOR 0 Host
MOI0.0_1 MOI0.0 1 8000 XOR 0 Parasite
MOI0.0_1 MOI0.0 1 8000 EQU 0 Host
MOI0.0_1 MOI0.0 1 8000 EQU 0 Parasite
MOI0.0_1 MOI0.0 1 9000 NOT 99858 Host
MOI0.0_1 MOI0.0 1 9000 NOT 0 Parasite
MOI0.0_1 MOI0.0 1 9000 NAND 139 Host
MOI0.0_1 MOI0.0 1 9000 NAND 0 Parasite
MOI0.0_1 MOI0.0 1 9000 AND 0 Host
MOI0.0_1 MOI0.0 1 9000 AND 0 Parasite
MOI0.0_1 MOI0.0 1 9000 ORN 2 Host
MOI0.0_1 MOI0.0 1 9000 ORN 0 Parasite
MOI0.0_1 MOI0.0 1 9000 OR 0 Host
MOI0.0_1 MOI0.0 1 9000 OR 0 Parasite
MOI0.0_1 MOI0.0 1 9000 ANDN 1 Host
MOI0.0_1 MOI0.0 1 9000 ANDN 0 Parasite
MOI0.0_1 MOI0.0 1 9000 NOR 0 Host
MOI0.0_1 MOI0.0 1 9000 NOR 0 Parasite
MOI0.0_1 MOI0.0 1 9000 XOR 0 Host
MOI0.0_1 MOI0.0 1 9000 XOR 0 Parasite
MOI0.0_1 MOI0.0 1 9000 EQU 0 Host
MOI0.0_1 MOI0.0 1 9000 EQU 0 Parasite
MOI0.0_1 MOI0.0 1 10000 NOT 97319 Host
MOI0.0_1 MOI0.0 1 10000 NOT 0 Parasite
MOI0.0_1 MOI0.0 1 10000 NAND 2679 Host
MOI0.0_1 MOI0.0 1 10000 NAND 0 Parasite
MOI0.0_1 MOI0.0 1 10000 AND 0 Host
MOI0.0_1 MOI0.0 1 10000 AND 0 Parasite
MOI0.0_1 MOI0.0 1 10000 ORN 0 Host
MOI0.0_1 MOI0.0 1 10000 ORN 0 Parasite
MOI0.0_1 MOI0.0 1 10000 OR 2 Host
MOI0.0_1 MOI0.0 1 10000 OR 0 Parasite
MOI0.0_1 MOI0.0 1 10000 ANDN 0 Host
MOI0.0_1 MOI0.0 1 10000 ANDN 0 Parasite
MOI0.0_1 MOI0.0 1 10000 NOR 0 Host
MOI0.0_1 MOI0.0 1 10000 NOR 0 Parasite
MOI0.0_1 MOI0.0 1 10000 XOR 0 Host
MOI0.0_1 MOI0.0 1 10000 XOR 0 Parasite
MOI0.0_1 MOI0.0 1 10000 EQU 0 Host
MOI0.0_1 MOI0.0 1 10000 EQU 0 Parasite
MOI0.0_1 MOI0.0 1 11000 NOT 98043 Host
MOI0.0_1 MOI0.0 1 11000 NOT 0 Parasite
MOI0.0_1 MOI0.0 1 11000 NAND 1934 Host
MOI0.0_1 MOI0.0 1 11000 NAND 0 Parasite
MOI0.0_1 MOI0.0 1 11000 AND 0 Host
MOI0.0_1 MOI0.0 1 11000 AND 0 Parasite
MOI0.0_1 MOI0.0 1 11000 ORN 23 Host
MOI0.0_1 MOI0.0 1 11000 ORN 0 Parasite
MOI0.0_1 MOI0.0 1 11000 OR 0 Host
MOI0.0_1 MOI0.0 1 11000 OR 0 Parasite
MOI0.0_1 MOI0.0 1 11000 ANDN 0 Host
MOI0.0_1 MOI0.0 1 11000 ANDN 0 Parasite
MOI0.0_1 MOI0.0 1 11000 NOR 0 Host
MOI0.0_1 MOI0.0 1 11000 NOR 0 Parasite
MOI0.0_1 MOI0.0 1 11000 XOR 0 Host
MOI0.0_1 MOI0.0 1 11000 XOR 0 Parasite
MOI0.0_1 MOI0.0 1 11000 EQU 0 Host
MOI0.0_1 MOI0.0 1 11000 EQU 0 Parasite
MOI0.0_1 MOI0.0 1 12000 NOT 99377 Host
MOI0.0_1 MOI0.0 1 12000 NOT 0 Parasite
MOI0.0_1 MOI0.0 1 12000 NAND 623 Host
MOI0.0_1 MOI0.0 1 12000 NAND 0 Parasite
MOI0.0_1 MOI0.0 1 12000 AND 0 Host
MOI0.0_1 MOI0.0 1 12000 AND 0 Parasite
MOI0.0_1 MOI0.0 1 12000 ORN 0 Host
MOI0.0_1 MOI0.0 1 12000 ORN 0 Parasite
MOI0.0_1 MOI0.0 1 12000 OR 0 Host
MOI0.0_1 MOI0.0 1 12000 OR 0 Parasite
MOI0.0_1 MOI0.0 1 12000 ANDN 0 Host
MOI0.0_1 MOI0.0 1 12000 ANDN 0 Parasite
MOI0.0_1 MOI0.0 1 12000 NOR 0 Host
MOI0.0_1 MOI0.0 1 12000 NOR 0 Parasite
MOI0.0_1 MOI0.0 1 12000 XOR 0 Host
MOI0.0_1 MOI0.0 1 12000 XOR 0 Parasite
MOI0.0_1 MOI0.0 1 12000 EQU 0 Host
MOI0.0_1 MOI0.0 1 12000 EQU 0 Parasite
MOI0.0_1 MOI0.0 1 13000 NOT 95344 Host
MOI0.0_1 MOI0.0 1 13000 NOT 0 Parasite
MOI0.0_1 MOI0.0 1 13000 NAND 4655 Host
MOI0.0_1 MOI0.0 1 13000 NAND 0 Parasite
MOI0.0_1 MOI0.0 1 13000 AND 1 Host
MOI0.0_1 MOI0.0 1 13000 AND 0 Parasite
MOI0.0_1 MOI0.0 1 13000 ORN 0 Host
MOI0.0_1 MOI0.0 1 13000 ORN 0 Parasite
MOI0.0_1 MOI0.0 1 13000 OR 0 Host
MOI0.0_1 MOI0.0 1 13000 OR 0 Parasite
MOI0.0_1 MOI0.0 1 13000 ANDN 0 Host
MOI0.0_1 MOI0.0 1 13000 ANDN 0 Parasite
MOI0.0_1 MOI0.0 1 13000 NOR 0 Host
MOI0.0_1 MOI0.0 1 13000 NOR 0 Parasite
MOI0.0_1 MOI0.0 1 13000 XOR 0 Host
MOI0.0_1 MOI0.0 1 13000 XOR 0 Parasite
MOI0.0_1 MOI0.0 1 13000 EQU 0 Host
MOI0.0_1 MOI0.0 1 13000 EQU 0 Parasite
MOI0.0_1 MOI0.0 1 14000 NOT 99643 Host
MOI0.0_1 MOI0.0 1 14000 NOT 0 Parasite
MOI0.0_1 MOI0.0 1 14000 NAND 356 Host
MOI0.0_1 MOI0.0 1 14000 NAND 0 Parasite
MOI0.0_1 MOI0.0 1 14000 AND 0 Host
MOI0.0_1 MOI0.0 1 14000 AND 0 Parasite
MOI0.0_1 MOI0.0 1 14000 ORN 1 Host
MOI0.0_1 MOI0.0 1 14000 ORN 0 Parasite
MOI0.0_1 MOI0.0 1 14000 OR 0 Host
MOI0.0_1 MOI0.0 1 14000 OR 0 Parasite
MOI0.0_1 MOI0.0 1 14000 ANDN 0 Host
MOI0.0_1 MOI0.0 1 14000 ANDN 0 Parasite
MOI0.0_1 MOI0.0 1 14000 NOR 0 Host
MOI0.0_1 MOI0.0 1 14000 NOR 0 Parasite
MOI0.0_1 MOI0.0 1 14000 XOR 0 Host
MOI0.0_1 MOI0.0 1 14000 XOR 0 Parasite
MOI0.0_1 MOI0.0 1 14000 EQU 0 Host
MOI0.0_1 MOI0.0 1 14000 EQU 0 Parasite
MOI0.0_1 MOI0.0 1 15000 NOT 98714 Host
MOI0.0_1 MOI0.0 1 15000 NOT 0 Parasite
MOI0.0_1 MOI0.0 1 15000 NAND 1264 Host
MOI0.0_1 MOI0.0 1 15000 NAND 0 Parasite
MOI0.0_1 MOI0.0 1 15000 AND 0 Host
MOI0.0_1 MOI0.0 1 15000 AND 0 Parasite
MOI0.0_1 MOI0.0 1 15000 ORN 22 Host
MOI0.0_1 MOI0.0 1 15000 ORN 0 Parasite
MOI0.0_1 MOI0.0 1 15000 OR 0 Host
MOI0.0_1 MOI0.0 1 15000 OR 0 Parasite
MOI0.0_1 MOI0.0 1 15000 ANDN 0 Host
MOI0.0_1 MOI0.0 1 15000 ANDN 0 Parasite
MOI0.0_1 MOI0.0 1 15000 NOR 0 Host
MOI0.0_1 MOI0.0 1 15000 NOR 0 Parasite
MOI0.0_1 MOI0.0 1 15000 XOR 0 Host
MOI0.0_1 MOI0.0 1 15000 XOR 0 Parasite
MOI0.0_1 MOI0.0 1 15000 EQU 0 Host
MOI0.0_1 MOI0.0 1 15000 EQU 0 Parasite
MOI0.0_1 MOI0.0 1 16000 NOT 92634 Host
MOI0.0_1 MOI0.0 1 16000 NOT 0 Parasite
MOI0.0_1 MOI0.0 1 16000 NAND 7346 Host
MOI0.0_1 MOI0.0 1 16000 NAND 0 Parasite
MOI0.0_1 MOI0.0 1 16000 AND 0 Host
MOI0.0_1 MOI0.0 1 16000 AND 0 Parasite
MOI0.0_1 MOI0.0 1 16000 ORN 16 Host
MOI0.0_1 MOI0.0 1 16000 ORN 0 Parasite
MOI0.0_1 MOI0.0 1 16000 OR 4 Host
MOI0.0_1 MOI0.0 1 16000 OR 0 Parasite
MOI0.0_1 MOI0.0 1 16000 ANDN 0 Host
MOI0.0_1 MOI0.0 1 16000 ANDN 0 Parasite
MOI0.0_1 MOI0.0 1 16000 NOR 0 Host
MOI0.0_1 MOI0.0 1 16000 NOR 0 Parasite
MOI0.0_1 MOI0.0 1 16000 XOR 0 Host
