uid treatment rep update steal_count donate_count
AMOUNT15_1 AMOUNT15 1 0 0 0
AMOUNT15_1 AMOUNT15 1 100 345060 0
AMOUNT15_1 AMOUNT15 1 200 304948 0
AMOUNT15_1 AMOUNT15 1 300 271688 0
AMOUNT15_1 AMOUNT15 1 400 253349 0
AMOUNT15_1 AMOUNT15 1 500 237377 0
AMOUNT15_1 AMOUNT15 1 600 146145 0
AMOUNT15_1 AMOUNT15 1 700 141936 0
AMOUNT15_1 AMOUNT15 1 800 156270 0
AMOUNT15_1 AMOUNT15 1 900 203436 0
AMOUNT15_1 AMOUNT15 1 1000 258237 0
AMOUNT15_1 AMOUNT15 1 1100 377605 0
AMOUNT15_1 AMOUNT15 1 1200 425904 0
AMOUNT15_1 AMOUNT15 1 1300 465677 0
AMOUNT15_1 AMOUNT15 1 1400 497253 0
AMOUNT15_1 AMOUNT15 1 1500 519854 0
AMOUNT15_1 AMOUNT15 1 1600 533170 0
AMOUNT15_1 AMOUNT15 1 1700 512566 0
AMOUNT15_1 AMOUNT15 1 1800 419011 0
AMOUNT15_1 AMOUNT15 1 1900 372508 0
AMOUNT15_1 AMOUNT15 1 2000 365271 0
AMOUNT15_1 AMOUNT15 1 2100 367671 0
AMOUNT15_1 AMOUNT15 1 2200 382768 0
AMOUNT15_1 AMOUNT15 1 2300 376335 0
AMOUNT15_1 AMOUNT15 1 2400 422068 0
AMOUNT15_1 AMOUNT15 1 2500 481902 0
AMOUNT15_1 AMOUNT15 1 2600 488557 0
AMOUNT15_1 AMOUNT15 1 2700 495821 0
AMOUNT15_1 AMOUNT15 1 2800 493783 0
AMOUNT15_1 AMOUNT15 1 2900 496107 0
AMOUNT15_1 AMOUNT15 1 3000 517811 0
AMOUNT15_1 AMOUNT15 1 3100 503047 0
AMOUNT15_1 AMOUNT15 1 3200 502296 0
AMOUNT15_1 AMOUNT15 1 3300 502446 0
AMOUNT15_1 AMOUNT15 1 3400 509690 0
AMOUNT15_1 AMOUNT15 1 3500 518630 0
AMOUNT15_1 AMOUNT15 1 3600 504848 0
AMOUNT15_1 AMOUNT15 1 3700 498411 0
AMOUNT15_1 AMOUNT15 1 3800 498229 0
AMOUNT15_1 AMOUNT15 1 3900 502004 0
AMOUNT15_1 AMOUNT15 1 4000 499595 0
AMOUNT15_1 AMOUNT15 1 4100 498983 0
AMOUNT15_1 AMOUNT15 1 4200 502751 0
AMOUNT15_1 AMOUNT15 1 4300 499701 0
AMOUNT15_1 AMOUNT15 1 4400 511776 0
AMOUNT15_1 AMOUNT15 1 4500 499858 0
AMOUNT15_1 AMOUNT15 1 4600 496569 0
AMOUNT15_1 AMOUNT15 1 4700 492387 0
AMOUNT15_1 AMOUNT15 1 4800 486730 0
AMOUNT15_1 AMOUNT15 1 4900 501668 0
AMOUNT15_1 AMOUNT15 1 5000 497486 0
AMOUNT15_1 AMOUNT15 1 5100 503016 0
AMOUNT15_1 AMOUNT15 1 5200 508405 0
AMOUNT15_1 AMOUNT15 1 5300 500262 0
AMOUNT15_1 AMOUNT15 1 5400 504198 0
AMOUNT15_1 AMOUNT15 1 5500 505788 0
AMOUNT15_1 AMOUNT15 1 5600 518534 0
AMOUNT15_1 AMOUNT15 1 5700 529868 0
AMOUNT15_1 AMOUNT15 1 5800 544136 0
AMOUNT15_1 AMOUNT15 1 5900 542070 0
AMOUNT15_1 AMOUNT15 1 6000 544610 0
AMOUNT15_1 AMOUNT15 1 6100 547954 0
AMOUNT15_1 AMOUNT15 1 6200 550110 0
AMOUNT15_1 AMOUNT15 1 6300 545407 0
AMOUNT15_1 AMOUNT15 1 6400 546193 0
AMOUNT15_1 AMOUNT15 1 6500 543697 0
AMOUNT15_1 AMOUNT15 1 6600 542869 0
AMOUNT15_1 AMOUNT15 1 6700 542794 0
AMOUNT15_1 AMOUNT15 1 6800 551441 0
AMOUNT15_1 AMOUNT15 1 6900 553247 0
AMOUNT15_1 AMOUNT15 1 7000 549738 0
AMOUNT15_1 AMOUNT15 1 7100 550238 0
AMOUNT15_1 AMOUNT15 1 7200 550963 0
AMOUNT15_1 AMOUNT15 1 7300 553588 0
AMOUNT15_1 AMOUNT15 1 7400 547642 0
AMOUNT15_1 AMOUNT15 1 7500 544875 0
AMOUNT15_1 AMOUNT15 1 7600 541262 0
AMOUNT15_1 AMOUNT15 1 7700 533870 0
AMOUNT15_1 AMOUNT15 1 7800 537204 0
AMOUNT15_1 AMOUNT15 1 7900 544156 0
AMOUNT15_1 AMOUNT15 1 8000 544797 0
AMOUNT15_1 AMOUNT15 1 8100 543813 0
AMOUNT15_1 AMOUNT15 1 8200 547575 0
AMOUNT15_1 AMOUNT15 1 8300 544209 0
AMOUNT15_1 AMOUNT15 1 8400 539437 0
AMOUNT15_1 AMOUNT15 1 8500 548463 0
AMOUNT15_1 AMOUNT15 1 8600 544481 0
AMOUNT15_1 AMOUNT15 1 8700 549070 0
AMOUNT15_1 AMOUNT15 1 8800 550304 0
AMOUNT15_1 AMOUNT15 1 8900 546954 0
AMOUNT15_1 AMOUNT15 1 9000 546608 0
AMOUNT15_1 AMOUNT15 1 9100 548839 0
AMOUNT15_1 AMOUNT15 1 9200 551710 0
AMOUNT15_1 AMOUNT15 1 9300 547703 0
AMOUNT15_1 AMOUNT15 1 9400 539115 0
AMOUNT15_1 AMOUNT15 1 9500 543635 0
AMOUNT15_1 AMOUNT15 1 9600 545585 0
AMOUNT15_1 AMOUNT15 1 9700 537890 0
AMOUNT15_1 AMOUNT15 1 9800 544288 0
AMOUNT15_1 AMOUNT15 1 9900 540168 0
AMOUNT15_1 AMOUNT15 1 10000 549114 0
AMOUNT15_1 AMOUNT15 1 10100 544001 0
AMOUNT15_1 AMOUNT15 1 10200 542529 0
AMOUNT15_1 AMOUNT15 1 10300 548535 0
AMOUNT15_1 AMOUNT15 1 10400 542563 0
AMOUNT15_1 AMOUNT15 1 10500 546014 0
AMOUNT15_1 AMOUNT15 1 10600 543251 0
AMOUNT15_1 AMOUNT15 1 10700 540506 0
AMOUNT15_1 AMOUNT15 1 10800 533337 0
AMOUNT15_1 AMOUNT15 1 10900 541221 0
AMOUNT15_1 AMOUNT15 1 11000 551911 0
AMOUNT15_1 AMOUNT15 1 11100 546021 0
AMOUNT15_1 AMOUNT15 1 11200 544694 0
AMOUNT15_1 AMOUNT15 1 11300 544823 0
AMOUNT15_1 AMOUNT15 1 11400 541462 0
AMOUNT15_1 AMOUNT15 1 11500 536666 0
AMOUNT15_1 AMOUNT15 1 11600 536784 0
AMOUNT15_1 AMOUNT15 1 11700 545842 0
AMOUNT15_1 AMOUNT15 1 11800 548013 0
AMOUNT15_1 AMOUNT15 1 11900 550420 0
AMOUNT15_1 AMOUNT15 1 12000 547507 0
AMOUNT15_1 AMOUNT15 1 12100 551134 0
AMOUNT15_1 AMOUNT15 1 12200 552922 0
AMOUNT15_1 AMOUNT15 1 12300 549739 0
AMOUNT15_1 AMOUNT15 1 12400 549483 0
AMOUNT15_1 AMOUNT15 1 12500 550343 0
AMOUNT15_1 AMOUNT15 1 12600 541092 0
AMOUNT15_1 AMOUNT15 1 12700 546406 0
AMOUNT15_1 AMOUNT15 1 12800 539393 0
AMOUNT15_1 AMOUNT15 1 12900 550274 0
AMOUNT15_1 AMOUNT15 1 13000 547947 0
AMOUNT15_1 AMOUNT15 1 13100 543874 0
AMOUNT15_1 AMOUNT15 1 13200 533346 0
AMOUNT15_1 AMOUNT15 1 13300 539595 0
AMOUNT15_1 AMOUNT15 1 13400 548186 0
AMOUNT15_1 AMOUNT15 1 13500 544729 0
AMOUNT15_1 AMOUNT15 1 13600 544861 0
AMOUNT15_1 AMOUNT15 1 13700 543923 0
AMOUNT15_1 AMOUNT15 1 13800 533878 0
AMOUNT15_1 AMOUNT15 1 13900 543638 0
AMOUNT15_1 AMOUNT15 1 14000 547068 0
AMOUNT15_1 AMOUNT15 1 14100 550320 0
AMOUNT15_1 AMOUNT15 1 14200 549908 0
AMOUNT15_1 AMOUNT15 1 14300 543729 0
AMOUNT15_1 AMOUNT15 1 14400 532067 0
AMOUNT15_1 AMOUNT15 1 14500 542560 0
AMOUNT15_1 AMOUNT15 1 14600 541880 0
AMOUNT15_1 AMOUNT15 1 14700 546391 0
AMOUNT15_1 AMOUNT15 1 14800 542044 0
AMOUNT15_1 AMOUNT15 1 14900 533271 0
AMOUNT15_1 AMOUNT15 1 15000 548772 0
AMOUNT15_1 AMOUNT15 1 15100 544114 0
AMOUNT15_1 AMOUNT15 1 15200 539960 0
AMOUNT15_1 AMOUNT15 1 15300 543360 0
AMOUNT15_1 AMOUNT15 1 15400 540795 0
AMOUNT15_1 AMOUNT15 1 15500 543416 0
AMOUNT15_1 AMOUNT15 1 15600 539961 0
AMOUNT15_1 AMOUNT15 1 15700 544272 0
AMOUNT15_1 AMOUNT15 1 15800 546021 0
AMOUNT15_1 AMOUNT15 1 15900 547465 0
AMOUNT15_1 AMOUNT15 1 16000 545789 0
AMOUNT15_1 AMOUNT15 1 16100 538487 0
AMOUNT15_1 AMOUNT15 1 16200 544815 0
AMOUNT15_1 AMOUNT15 1 16300 544707 0
AMOUNT15_1 AMOUNT15 1 16400 547775 0
AMOUNT15_1 AMOUNT15 1 16500 540731 0
AMOUNT15_1 AMOUNT15 1 16600 545582 0
AMOUNT15_1 AMOUNT15 1 16700 536766 0
AMOUNT15_1 AMOUNT15 1 16800 544265 0
AMOUNT15_1 AMOUNT15 1 16900 543330 0
AMOUNT15_1 AMOUNT15 1 17000 547622 0
AMOUNT15_1 AMOUNT15 1 17100 546857 0
AMOUNT15_1 AMOUNT15 1 17200 551405 0
AMOUNT15_1 AMOUNT15 1 17300 546275 0
AMOUNT15_1 AMOUNT15 1 17400 550958 0
AMOUNT15_1 AMOUNT15 1 17500 546187 0
AMOUNT15_1 AMOUNT15 1 17600 538449 0
AMOUNT15_1 AMOUNT15 1 17700 543193 0
AMOUNT15_1 AMOUNT15 1 17800 552353 0
AMOUNT15_1 AMOUNT15 1 17900 548068 0
AMOUNT15_1 AMOUNT15 1 18000 542546 0
AMOUNT15_1 AMOUNT15 1 18100 538747 0
AMOUNT15_1 AMOUNT15 1 18200 540956 0
AMOUNT15_1 AMOUNT15 1 18300 544780 0
AMOUNT15_1 AMOUNT15 1 18400 540616 0
AMOUNT15_1 AMOUNT15 1 18500 551727 0
AMOUNT15_1 AMOUNT15 1 18600 545966 0
AMOUNT15_1 AMOUNT15 1 18700 552121 0
AMOUNT15_1 AMOUNT15 1 18800 550216 0
AMOUNT15_1 AMOUNT15 1 18900 537932 0
AMOUNT15_1 AMOUNT15 1 19000 550147 0
AMOUNT15_1 AMOUNT15 1 19100 542574 0
AMOUNT15_1 AMOUNT15 1 19200 540640 0
AMOUNT15_1 AMOUNT15 1 19300 544597 0
AMOUNT15_1 AMOUNT15 1 19400 543503 0
AMOUNT15_1 AMOUNT15 1 19500 540614 0
AMOUNT15_1 AMOUNT15 1 19600 546157 0
AMOUNT15_1 AMOUNT15 1 19700 548941 0
AMOUNT15_1 AMOUNT15 1 19800 548166 0
AMOUNT15_1 AMOUNT15 1 19900 550171 0
AMOUNT15_1 AMOUNT15 1 20000 543437 0
AMOUNT15_1 AMOUNT15 1 20100 539008 0
AMOUNT15_1 AMOUNT15 1 20200 548098 0
AMOUNT15_1 AMOUNT15 1 20300 545298 0
AMOUNT15_1 AMOUNT15 1 20400 543025 0
AMOUNT15_1 AMOUNT15 1 20500 544356 0
AMOUNT15_1 AMOUNT15 1 20600 537201 0
AMOUNT15_1 AMOUNT15 1 20700 545515 0
AMOUNT15_1 AMOUNT15 1 20800 542637 0
AMOUNT15_1 AMOUNT15 1 20900 549460 0
AMOUNT15_1 AMOUNT15 1 21000 541989 0
AMOUNT15_1 AMOUNT15 1 21100 542139 0
AMOUNT15_1 AMOUNT15 1 21200 544491 0
AMOUNT15_1 AMOUNT15 1 21300 538663 0
AMOUNT15_1 AMOUNT15 1 21400 542195 0
AMOUNT15_1 AMOUNT15 1 21500 543412 0
AMOUNT15_1 AMOUNT15 1 21600 546123 0
AMOUNT15_1 AMOUNT15 1 21700 541016 0
AMOUNT15_1 AMOUNT15 1 21800 537859 0
AMOUNT15_1 AMOUNT15 1 21900 536767 0
AMOUNT15_1 AMOUNT15 1 22000 544367 0
AMOUNT15_1 AMOUNT15 1 22100 554631 0
AMOUNT15_1 AMOUNT15 1 22200 549758 0
AMOUNT15_1 AMOUNT15 1 22300 548793 0
AMOUNT15_1 AMOUNT15 1 22400 546385 0
AMOUNT15_1 AMOUNT15 1 22500 552574 0
AMOUNT15_1 AMOUNT15 1 22600 546624 0
AMOUNT15_1 AMOUNT15 1 22700 546438 0
AMOUNT15_1 AMOUNT15 1 22800 553085 0
AMOUNT15_1 AMOUNT15 1 22900 545384 0
AMOUNT15_1 AMOUNT15 1 23000 548549 0
AMOUNT15_1 AMOUNT15 1 23100 548453 0
AMOUNT15_1 AMOUNT15 1 23200 547756 0
AMOUNT15_1 AMOUNT15 1 23300 546028 0
AMOUNT15_1 AMOUNT15 1 23400 546847 0
AMOUNT15_1 AMOUNT15 1 23500 545734 0
AMOUNT15_1 AMOUNT15 1 23600 546636 0
AMOUNT15_1 AMOUNT15 1 23700 543371 0
AMOUNT15_1 AMOUNT15 1 23800 542918 0
AMOUNT15_1 AMOUNT15 1 23900 543955 0
AMOUNT15_1 AMOUNT15 1 24000 538097 0
AMOUNT15_1 AMOUNT15 1 24100 542431 0
AMOUNT15_1 AMOUNT15 1 24200 545074 0
AMOUNT15_1 AMOUNT15 1 24300 545157 0
AMOUNT15_1 AMOUNT15 1 24400 543643 0
AMOUNT15_1 AMOUNT15 1 24500 543011 0
AMOUNT15_1 AMOUNT15 1 24600 544988 0
AMOUNT15_1 AMOUNT15 1 24700 541073 0
AMOUNT15_1 AMOUNT15 1 24800 542310 0
AMOUNT15_1 AMOUNT15 1 24900 541901 0
AMOUNT15_1 AMOUNT15 1 25000 542087 0
AMOUNT15_1 AMOUNT15 1 25100 543640 0
AMOUNT15_1 AMOUNT15 1 25200 540943 0
AMOUNT15_1 AMOUNT15 1 25300 545338 0
AMOUNT15_1 AMOUNT15 1 25400 546152 0
AMOUNT15_1 AMOUNT15 1 25500 544460 0
AMOUNT15_1 AMOUNT15 1 25600 540732 0
AMOUNT15_1 AMOUNT15 1 25700 542488 0
AMOUNT15_1 AMOUNT15 1 25800 543885 0
AMOUNT15_1 AMOUNT15 1 25900 539069 0
AMOUNT15_1 AMOUNT15 1 26000 541533 0
AMOUNT15_1 AMOUNT15 1 26100 540338 0
AMOUNT15_1 AMOUNT15 1 26200 540931 0
AMOUNT15_1 AMOUNT15 1 26300 544453 0
AMOUNT15_1 AMOUNT15 1 26400 537298 0
AMOUNT15_1 AMOUNT15 1 26500 542736 0
AMOUNT15_1 AMOUNT15 1 26600 543563 0
AMOUNT15_1 AMOUNT15 1 26700 543510 0
AMOUNT15_1 AMOUNT15 1 26800 536673 0
AMOUNT15_1 AMOUNT15 1 26900 542608 0
AMOUNT15_1 AMOUNT15 1 27000 543896 0
AMOUNT15_1 AMOUNT15 1 27100 540036 0
AMOUNT15_1 AMOUNT15 1 27200 543180 0
AMOUNT15_1 AMOUNT15 1 27300 547192 0
AMOUNT15_1 AMOUNT15 1 27400 545377 0
AMOUNT15_1 AMOUNT15 1 27500 542649 0
AMOUNT15_1 AMOUNT15 1 27600 547856 0
AMOUNT15_1 AMOUNT15 1 27700 546797 0
AMOUNT15_1 AMOUNT15 1 27800 546291 0
AMOUNT15_1 AMOUNT15 1 27900 541047 0
AMOUNT15_1 AMOUNT15 1 28000 543411 0
AMOUNT15_1 AMOUNT15 1 28100 540246 0
AMOUNT15_1 AMOUNT15 1 28200 540596 0
AMOUNT15_1 AMOUNT15 1 28300 545955 0
AMOUNT15_1 AMOUNT15 1 28400 547399 0
AMOUNT15_1 AMOUNT15 1 28500 545242 0
AMOUNT15_1 AMOUNT15 1 28600 552094 0
AMOUNT15_1 AMOUNT15 1 28700 543924 0
AMOUNT15_1 AMOUNT15 1 28800 550098 0
AMOUNT15_1 AMOUNT15 1 28900 547350 0
AMOUNT15_1 AMOUNT15 1 29000 543786 0
AMOUNT15_1 AMOUNT15 1 29100 546659 0
AMOUNT15_1 AMOUNT15 1 29200 537050 0
AMOUNT15_1 AMOUNT15 1 29300 536082 0
AMOUNT15_1 AMOUNT15 1 29400 540617 0
AMOUNT15_1 AMOUNT15 1 29500 534363 0
AMOUNT15_1 AMOUNT15 1 29600 533243 0
AMOUNT15_1 AMOUNT15 1 29700 531563 0
AMOUNT15_1 AMOUNT15 1 29800 519395 0
AMOUNT15_1 AMOUNT15 1 29900 512540 0
AMOUNT15_1 AMOUNT15 1 30000 510834 0
AMOUNT15_1 AMOUNT15 1 30100 498172 0
AMOUNT15_1 AMOUNT15 1 30200 488696 0
AMOUNT15_1 AMOUNT15 1 30300 477060 0
AMOUNT15_1 AMOUNT15 1 30400 460548 0
AMOUNT15_1 AMOUNT15 1 30500 447032 0
AMOUNT15_1 AMOUNT15 1 30600 427355 0
AMOUNT15_1 AMOUNT15 1 30700 410420 0
AMOUNT15_1 AMOUNT15 1 30800 401970 0
AMOUNT15_1 AMOUNT15 1 30900 397435 0
AMOUNT15_1 AMOUNT15 1 31000 388375 0
AMOUNT15_1 AMOUNT15 1 31100 382007 0
AMOUNT15_1 AMOUNT15 1 31200 374802 0
AMOUNT15_1 AMOUNT15 1 31300 372785 0
AMOUNT15_1 AMOUNT15 1 31400 364914 0
AMOUNT15_1 AMOUNT15 1 31500 361720 0
AMOUNT15_1 AMOUNT15 1 31600 357115 0
AMOUNT15_1 AMOUNT15 1 31700 353386 0
AMOUNT15_1 AMOUNT15 1 31800 356422 0
AMOUNT15_1 AMOUNT15 1 31900 355478 0
AMOUNT15_1 AMOUNT15 1 32000 344628 0
AMOUNT15_1 AMOUNT15 1 32100 338602 0
AMOUNT15_1 AMOUNT15 1 32200 335561 0
AMOUNT15_1 AMOUNT15 1 32300 338406 0
AMOUNT15_1 AMOUNT15 1 32400 336166 0
AMOUNT15_1 AMOUNT15 1 32500 334589 0
AMOUNT15_1 AMOUNT15 1 32600 335827 0
AMOUNT15_1 AMOUNT15 1 32700 338115 0
AMOUNT15_1 AMOUNT15 1 32800 337694 0
AMOUNT15_1 AMOUNT15 1 32900 336171 0
AMOUNT15_1 AMOUNT15 1 33000 333955 0
AMOUNT15_1 AMOUNT15 1 33100 336859 0
AMOUNT15_1 AMOUNT15 1 33200 338868 0
AMOUNT15_1 AMOUNT15 1 33300 339732 0
AMOUNT15_1 AMOUNT15 1 33400 340384 0
AMOUNT15_1 AMOUNT15 1 33500 339941 0
AMOUNT15_1 AMOUNT15 1 33600 343202 0
AMOUNT15_1 AMOUNT15 1 33700 345845 0
AMOUNT15_1 AMOUNT15 1 33800 346517 0
AMOUNT15_1 AMOUNT15 1 33900 341296 0
AMOUNT15_1 AMOUNT15 1 34000 340582 0
AMOUNT15_1 AMOUNT15 1 34100 338596 0
AMOUNT15_1 AMOUNT15 1 34200 339073 0
AMOUNT15_1 AMOUNT15 1 34300 336826 0
AMOUNT15_1 AMOUNT15 1 34400 338750 0
AMOUNT15_1 AMOUNT15 1 34500 340156 0
AMOUNT15_1 AMOUNT15 1 34600 343066 0
AMOUNT15_1 AMOUNT15 1 34700 338910 0
AMOUNT15_1 AMOUNT15 1 34800 338048 0
AMOUNT15_1 AMOUNT15 1 34900 338682 0
AMOUNT15_1 AMOUNT15 1 35000 338072 0
AMOUNT15_1 AMOUNT15 1 35100 332328 0
AMOUNT15_1 AMOUNT15 1 35200 333233 0
AMOUNT15_1 AMOUNT15 1 35300 333419 0
AMOUNT15_1 AMOUNT15 1 35400 336324 0
AMOUNT15_1 AMOUNT15 1 35500 338751 0
AMOUNT15_1 AMOUNT15 1 35600 343155 0
AMOUNT15_1 AMOUNT15 1 35700 337593 0
AMOUNT15_1 AMOUNT15 1 35800 338615 0
AMOUNT15_1 AMOUNT15 1 35900 338142 0
AMOUNT15_1 AMOUNT15 1 36000 339063 0
AMOUNT15_1 AMOUNT15 1 36100 346242 0
AMOUNT15_1 AMOUNT15 1 36200 346874 0
AMOUNT15_1 AMOUNT15 1 36300 346395 0
AMOUNT15_1 AMOUNT15 1 36400 344569 0
AMOUNT15_1 AMOUNT15 1 36500 346304 0
AMOUNT15_1 AMOUNT15 1 36600 345904 0
AMOUNT15_1 AMOUNT15 1 36700 346441 0
AMOUNT15_1 AMOUNT15 1 36800 346982 0
AMOUNT15_1 AMOUNT15 1 36900 351966 0
AMOUNT15_1 AMOUNT15 1 37000 349509 0
AMOUNT15_1 AMOUNT15 1 37100 342572 0
AMOUNT15_1 AMOUNT15 1 37200 341573 0
AMOUNT15_1 AMOUNT15 1 37300 342028 0
AMOUNT15_1 AMOUNT15 1 37400 339486 0
AMOUNT15_1 AMOUNT15 1 37500 341989 0
AMOUNT15_1 AMOUNT15 1 37600 343561 0
AMOUNT15_1 AMOUNT15 1 37700 349267 0
AMOUNT15_1 AMOUNT15 1 37800 350790 0
AMOUNT15_1 AMOUNT15 1 37900 345355 0
AMOUNT15_1 AMOUNT15 1 38000 340060 0
AMOUNT15_1 AMOUNT15 1 38100 339007 0
AMOUNT15_1 AMOUNT15 1 38200 338484 0
AMOUNT15_1 AMOUNT15 1 38300 335777 0
AMOUNT15_1 AMOUNT15 1 38400 336910 0
AMOUNT15_1 AMOUNT15 1 38500 335132 0
AMOUNT15_1 AMOUNT15 1 38600 333636 0
AMOUNT15_1 AMOUNT15 1 38700 332757 0
AMOUNT15_1 AMOUNT15 1 38800 336598 0
AMOUNT15_1 AMOUNT15 1 38900 339245 0
AMOUNT15_1 AMOUNT15 1 39000 336206 0
AMOUNT15_1 AMOUNT15 1 39100 338298 0
AMOUNT15_1 AMOUNT15 1 39200 335368 0
AMOUNT15_1 AMOUNT15 1 39300 337398 0
AMOUNT15_1 AMOUNT15 1 39400 342744 0
AMOUNT15_1 AMOUNT15 1 39500 345882 0
AMOUNT15_1 AMOUNT15 1 39600 346598 0
AMOUNT15_1 AMOUNT15 1 39700 344583 0
AMOUNT15_1 AMOUNT15 1 39800 343386 0
AMOUNT15_1 AMOUNT15 1 39900 338285 0
AMOUNT15_1 AMOUNT15 1 40000 337145 0
AMOUNT15_1 AMOUNT15 1 40100 339386 0
AMOUNT15_1 AMOUNT15 1 40200 337704 0
AMOUNT15_1 AMOUNT15 1 40300 337409 0
AMOUNT15_1 AMOUNT15 1 40400 336476 0
AMOUNT15_1 AMOUNT15 1 40500 338839 0
AMOUNT15_1 AMOUNT15 1 40600 336058 0
AMOUNT15_1 AMOUNT15 1 40700 333082 0
AMOUNT15_1 AMOUNT15 1 40800 335243 0
AMOUNT15_1 AMOUNT15 1 40900 337398 0
AMOUNT15_1 AMOUNT15 1 41000 341564 0
AMOUNT15_1 AMOUNT15 1 41100 351090 0
AMOUNT15_1 AMOUNT15 1 41200 348953 0
AMOUNT15_1 AMOUNT15 1 41300 347671 0
AMOUNT15_1 AMOUNT15 1 41400 342338 0
AMOUNT15_1 AMOUNT15 1 41500 339145 0
AMOUNT15_1 AMOUNT15 1 41600 337604 0
AMOUNT15_1 AMOUNT15 1 41700 336896 0
AMOUNT15_1 AMOUNT15 1 41800 338613 0
AMOUNT15_1 AMOUNT15 1 41900 339667 0
AMOUNT15_1 AMOUNT15 1 42000 341165 0
AMOUNT15_1 AMOUNT15 1 42100 338660 0
AMOUNT15_1 AMOUNT15 1 42200 338791 0
AMOUNT15_1 AMOUNT15 1 42300 334456 0
AMOUNT15_1 AMOUNT15 1 42400 336900 0
AMOUNT15_1 AMOUNT15 1 42500 334118 0
AMOUNT15_1 AMOUNT15 1 42600 335577 0
AMOUNT15_1 AMOUNT15 1 42700 336850 0
AMOUNT15_1 AMOUNT15 1 42800 344357 0
AMOUNT15_1 AMOUNT15 1 42900 354791 0
AMOUNT15_1 AMOUNT15 1 43000 364339 0
AMOUNT15_1 AMOUNT15 1 43100 365682 0
AMOUNT15_1 AMOUNT15 1 43200 362013 0
AMOUNT15_1 AMOUNT15 1 43300 359692 0
AMOUNT15_1 AMOUNT15 1 43400 356451 0
