seed,sym_type,update,count,hosted_syms
1,0,0,10000,0
1,0,200,10000,0
1,0,400,10000,0
1,0,600,7684,0
1,0,800,7722,0
1,0,1000,7497,0
1,0,1200,7610,0
1,0,1400,7653,0
1,0,1600,7700,0
1,0,1800,7427,0
1,0,2000,7573,0
1,0,2200,7508,0
1,0,2400,7479,0
1,0,2600,7574,0
1,0,2800,7566,0
1,0,3000,7676,0
1,0,3200,7728,0
1,0,3400,7800,0
1,0,3600,7897,0
1,0,3800,7886,0
1,0,4000,7883,0
1,0,4200,7928,0
1,0,4400,7957,0
1,0,4600,7965,0
1,0,4800,7926,0
1,0,5000,7902,0
1,0,5200,7936,0
1,0,5400,7921,0
1,0,5600,7896,0
1,0,5800,7854,0
1,0,6000,7968,0
1,0,6200,7957,0
1,0,6400,7896,0
1,0,6600,7942,0
1,0,6800,7997,0
1,0,7000,7961,0
1,0,7200,7922,0
1,0,7400,7933,0
1,0,7600,7964,0
1,0,7800,7932,0
1,0,8000,7916,0
1,0,8200,7989,0
1,0,8400,7950,0
1,0,8600,7917,0
1,0,8800,7905,0
1,0,9000,7962,0
1,0,9200,7916,0
1,0,9400,7987,0
1,0,9600,7984,0
1,0,9800,7987,0
1,0,10000,7991,0
1,0,10200,7990,0
1,0,10400,7934,0
1,0,10600,7955,0
1,0,10800,7961,0
1,0,11000,7931,0
1,0,11200,7915,0
1,0,11400,7994,0
1,0,11600,7945,0
1,0,11800,7951,0
1,0,12000,7977,0
1,0,12200,8062,0
1,0,12400,8031,0
1,0,12600,7998,0
1,0,12800,7927,0
1,0,13000,7978,0
1,0,13200,7943,0
1,0,13400,7866,0
1,0,13600,7923,0
1,0,13800,7937,0
1,0,14000,7972,0
1,0,14200,7991,0
1,0,14400,7962,0
1,0,14600,7951,0
1,0,14800,7982,0
1,0,15000,7960,0
1,0,15200,7998,0
1,0,15400,7961,0
1,0,15600,8006,0
1,0,15800,7957,0
1,0,16000,7955,0
1,0,16200,7944,0
1,0,16400,7951,0
1,0,16600,7965,0
1,0,16800,7969,0
1,0,17000,7994,0
1,0,17200,8061,0
1,0,17400,8008,0
1,0,17600,7964,0
1,0,17800,7968,0
1,0,18000,7957,0
1,0,18200,8003,0
1,0,18400,7996,0
1,0,18600,7959,0
1,0,18800,7981,0
1,0,19000,7954,0
1,0,19200,8058,0
1,0,19400,8035,0
1,0,19600,7960,0
1,0,19800,8003,0
1,0,20000,7958,0
1,0,20200,7957,0
1,0,20400,8036,0
1,0,20600,8046,0
1,0,20800,8009,0
1,0,21000,7951,0
1,0,21200,7924,0
1,0,21400,7995,0
1,0,21600,8021,0
1,0,21800,8016,0
1,0,22000,7975,0
1,0,22200,7890,0
1,0,22400,7894,0
1,0,22600,7972,0
1,0,22800,7972,0
1,0,23000,7965,0
1,0,23200,8046,0
1,0,23400,8013,0
1,0,23600,7962,0
1,0,23800,7937,0
1,0,24000,7897,0
1,0,24200,7906,0
1,0,24400,7937,0
1,0,24600,8001,0
1,0,24800,7980,0
1,0,25000,7986,0
1,0,25200,7993,0
1,0,25400,7930,0
1,0,25600,7975,0
1,0,25800,7935,0
1,0,26000,7975,0
1,0,26200,7956,0
1,0,26400,7928,0
1,0,26600,7978,0
1,0,26800,7952,0
1,0,27000,7982,0
1,0,27200,7946,0
1,0,27400,7954,0
1,0,27600,7915,0
1,0,27800,7930,0
1,0,28000,7901,0
1,0,28200,7932,0
1,0,28400,7968,0
1,0,28600,7859,0
1,0,28800,7839,0
1,0,29000,7930,0
1,0,29200,7910,0
1,0,29400,7873,0
1,0,29600,7890,0
1,0,29800,7972,0
1,0,30000,7974,0
1,0,30200,7965,0
1,0,30400,7983,0
1,0,30600,7905,0
1,0,30800,7859,0
1,0,31000,7931,0
1,0,31200,7901,0
1,0,31400,7964,0
1,0,31600,7984,0
1,0,31800,7975,0
1,0,32000,7981,0
1,0,32200,8029,0
1,0,32400,8030,0
1,0,32600,7962,0
1,0,32800,8019,0
1,0,33000,8033,0
1,0,33200,7947,0
1,0,33400,7991,0
1,0,33600,7949,0
1,0,33800,7982,0
1,0,34000,8058,0
1,0,34200,8065,0
1,0,34400,8060,0
1,0,34600,8019,0
1,0,34800,8014,0
1,0,35000,8015,0
1,0,35200,8016,0
1,0,35400,8001,0
1,0,35600,8009,0
1,0,35800,7951,0
1,0,36000,7898,0
1,0,36200,7901,0
1,0,36400,7934,0
1,0,36600,7950,0
1,0,36800,7995,0
1,0,37000,7971,0
1,0,37200,7915,0
1,0,37400,7941,0
1,0,37600,7906,0
1,0,37800,7910,0
1,0,38000,7991,0
1,0,38200,7937,0
1,0,38400,7996,0
1,0,38600,8027,0
1,0,38800,7989,0
1,0,39000,7962,0
1,0,39200,7989,0
1,0,39400,8030,0
1,0,39600,8055,0
1,0,39800,8035,0
1,0,40000,7983,0
1,0,40200,7943,0
1,0,40400,8011,0
1,0,40600,7994,0
1,0,40800,8007,0
1,0,41000,7957,0
1,0,41200,7969,0
1,0,41400,7921,0
1,0,41600,7880,0
1,0,41800,7937,0
1,0,42000,7986,0
1,0,42200,7967,0
1,0,42400,7950,0
1,0,42600,7964,0
1,0,42800,7997,0
1,0,43000,7974,0
1,0,43200,7979,0
1,0,43400,7988,0
1,0,43600,7982,0
1,0,43800,8004,0
1,0,44000,7984,0
1,0,44200,8029,0
1,0,44400,8032,0
1,0,44600,8062,0
1,0,44800,8025,0
1,0,45000,8033,0
1,0,45200,8025,0
1,0,45400,8050,0
1,0,45600,8079,0
1,0,45800,8015,0
1,0,46000,8034,0
1,0,46200,8027,0
1,0,46400,7980,0
1,0,46600,8014,0
1,0,46800,8003,0
1,0,47000,8046,0
1,0,47200,7953,0
1,0,47400,7922,0
1,0,47600,7949,0
1,0,47800,7980,0
1,0,48000,8025,0
1,0,48200,8060,0
1,0,48400,7981,0
1,0,48600,8032,0
1,0,48800,8009,0
1,0,49000,7965,0
1,0,49200,7968,0
1,0,49400,8058,0
1,0,49600,8014,0
1,0,49800,8021,0
1,0,50000,7995,0
1,0,50200,7936,0
1,0,50400,7986,0
1,0,50600,8007,0
1,0,50800,7988,0
1,0,51000,7948,0
1,0,51200,7994,0
1,0,51400,7970,0
1,0,51600,8029,0
1,0,51800,7994,0
1,0,52000,8010,0
1,0,52200,8005,0
1,0,52400,8048,0
1,0,52600,7990,0
1,0,52800,8023,0
1,0,53000,8034,0
1,0,53200,8059,0
1,0,53400,8062,0
1,0,53600,8048,0
1,0,53800,8049,0
1,0,54000,8022,0
1,0,54200,8041,0
1,0,54400,8059,0
1,0,54600,8005,0
1,0,54800,8032,0
1,0,55000,8019,0
1,0,55200,8027,0
1,0,55400,8054,0
1,0,55600,7965,0
1,0,55800,8003,0
1,0,56000,7969,0
1,0,56200,8046,0
1,0,56400,8056,0
1,0,56600,8039,0
1,0,56800,8040,0
1,0,57000,8006,0
1,0,57200,7998,0
1,0,57400,8024,0
1,0,57600,8075,0
1,0,57800,8044,0
1,0,58000,8027,0
1,0,58200,8027,0
1,0,58400,8017,0
1,0,58600,7969,0
1,0,58800,7949,0
1,0,59000,8069,0
1,0,59200,8063,0
1,0,59400,8040,0
1,0,59600,8022,0
1,0,59800,8025,0
1,0,60000,8011,0
1,0,60200,7984,0
1,0,60400,8015,0
1,0,60600,8018,0
1,0,60800,8057,0
1,0,61000,8066,0
1,0,61200,8044,0
1,0,61400,8018,0
1,0,61600,7979,0
1,0,61800,8000,0
1,0,62000,7957,0
1,0,62200,7966,0
1,0,62400,8002,0
1,0,62600,8049,0
1,0,62800,7996,0
1,0,63000,7987,0
1,0,63200,8023,0
1,0,63400,8076,0
1,0,63600,8052,0
1,0,63800,7969,0
1,0,64000,7983,0
1,0,64200,7967,0
1,0,64400,7913,0
1,0,64600,7950,0
1,0,64800,7967,0
1,0,65000,7965,0
1,0,65200,7994,0
1,0,65400,7933,0
1,0,65600,7988,0
1,0,65800,7992,0
1,0,66000,7954,0
1,0,66200,7901,0
1,0,66400,7968,0
1,0,66600,7970,0
1,0,66800,7938,0
1,0,67000,7930,0
1,0,67200,7850,0
1,0,67400,7956,0
1,0,67600,7962,0
1,0,67800,8001,0
1,0,68000,7933,0
1,0,68200,7996,0
1,0,68400,7948,0
1,0,68600,7910,0
1,0,68800,7934,0
1,0,69000,7921,0
1,0,69200,7910,0
1,0,69400,7943,0
1,0,69600,8026,0
1,0,69800,8035,0
1,0,70000,8039,0
1,0,70200,8015,0
1,0,70400,7974,0
1,0,70600,7945,0
1,0,70800,7931,0
1,0,71000,7991,0
1,0,71200,7955,0
1,0,71400,7918,0
1,0,71600,8003,0
1,0,71800,8056,0
1,0,72000,7954,0
1,0,72200,7920,0
1,0,72400,7902,0
1,0,72600,7910,0
1,0,72800,8028,0
1,0,73000,8024,0
1,0,73200,7963,0
1,0,73400,7931,0
1,0,73600,7989,0
1,0,73800,7971,0
1,0,74000,7900,0
1,0,74200,7961,0
1,0,74400,7974,0
1,0,74600,7910,0
1,0,74800,7884,0
1,0,75000,7964,0
1,0,75200,8075,0
1,0,75400,8038,0
1,0,75600,7936,0
1,0,75800,7922,0
1,0,76000,8014,0
1,0,76200,8010,0
1,0,76400,8007,0
1,0,76600,7983,0
1,0,76800,8016,0
1,0,77000,7954,0
1,0,77200,8021,0
1,0,77400,8031,0
1,0,77600,8028,0
1,0,77800,8065,0
1,0,78000,8021,0
1,0,78200,8000,0
1,0,78400,7962,0
1,0,78600,8014,0
1,0,78800,7999,0
1,0,79000,8015,0
1,0,79200,8004,0
1,0,79400,7970,0
1,0,79600,7945,0
1,0,79800,7934,0
1,0,80000,7958,0
1,0,80200,7992,0
1,0,80400,8031,0
1,0,80600,7990,0
1,0,80800,8036,0
1,0,81000,7987,0
1,0,81200,7933,0
1,0,81400,7916,0
1,0,81600,7919,0
1,0,81800,7914,0
1,0,82000,7925,0
1,0,82200,7990,0
1,0,82400,8003,0
1,0,82600,8011,0
1,0,82800,8048,0
1,0,83000,8046,0
1,0,83200,8019,0
1,0,83400,8000,0
1,0,83600,7975,0
1,0,83800,7972,0
1,0,84000,8035,0
1,0,84200,7977,0
