seed,sym_type,update,host_task_NOT,sym_task_NOT,host_task_NAND,sym_task_NAND,host_task_AND,sym_task_AND,host_task_ORN,sym_task_ORN,host_task_OR,sym_task_OR,host_task_ANDN,sym_task_ANDN,host_task_NOR,sym_task_NOR,host_task_XOR,sym_task_XOR,host_task_EQU,sym_task_EQU
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,200,20002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,400,19999,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1,0,600,19994,0,4,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
1,0,800,19991,0,1,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0
1,0,1000,19996,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0
1,0,1200,19982,0,9,0,1,0,4,0,4,0,0,0,0,0,0,0,0,0
1,0,1400,19995,0,2,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0
1,0,1600,19994,0,2,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0
1,0,1800,19988,0,11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,2000,19983,0,14,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0
1,0,2200,19968,0,29,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0
1,0,2400,19969,0,29,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,2600,19966,0,33,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,2800,19952,0,44,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0
1,0,3000,19974,0,22,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0
1,0,3200,19974,0,24,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
1,0,3400,19983,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,3600,19994,0,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1,0,3800,19997,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1,0,4000,19995,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1,0,4200,19997,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
1,0,4400,19974,0,21,0,2,0,1,0,1,0,1,0,0,0,0,0,0,0
1,0,4600,19924,0,75,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,4800,19835,0,163,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
1,0,5000,19920,0,79,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1,0,5200,19970,0,26,0,1,0,0,0,2,0,1,0,0,0,0,0,0,0
1,0,5400,19998,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1,0,5600,19955,0,2,0,0,0,42,0,1,0,0,0,0,0,0,0,0,0
1,0,5800,19948,0,0,0,3,0,49,0,0,0,0,0,0,0,0,0,0,0
1,0,6000,19970,0,2,0,0,0,25,0,2,0,1,0,0,0,0,0,0,0
1,0,6200,19903,0,60,0,0,0,36,0,1,0,0,0,0,0,0,0,0,0
1,0,6400,19845,0,102,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0
1,0,6600,19808,0,191,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1,0,6800,19813,0,184,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0
1,0,7000,19791,0,196,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0
1,0,7200,19686,0,186,0,0,0,127,0,1,0,0,0,0,0,0,0,0,0
1,0,7400,19914,0,10,0,0,0,75,0,1,0,0,0,0,0,0,0,0,0
1,0,7600,19985,0,1,0,0,0,12,0,2,0,0,0,0,0,0,0,0,0
1,0,7800,19960,0,36,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
1,0,8000,19964,0,34,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
1,0,8200,19998,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
1,0,8400,19995,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1,0,8600,19975,0,23,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
1,0,8800,19898,0,101,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1,0,9000,19712,0,288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,9200,19651,0,349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,9400,19878,0,121,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,9600,19978,0,19,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0
1,0,9800,19980,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,10000,19985,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,10200,19880,0,118,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
1,0,10400,19996,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,10600,19985,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,10800,19829,0,171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,11000,19775,0,225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,11200,19814,0,185,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1,0,11400,19807,0,191,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
1,0,11600,19997,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,11800,19997,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0
1,0,12000,20000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,12200,19998,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,12400,19999,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,12600,19999,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,12800,19999,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1,0,13000,19997,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1,0,13200,20000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,13400,19994,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
1,0,13600,19992,0,2,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
1,0,13800,19996,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
1,0,14000,19997,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
1,0,14200,19998,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1,0,14400,19996,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
1,0,14600,19999,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,14800,19999,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,15000,19999,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,15200,19998,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,15400,19996,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0
1,0,15600,20000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,15800,20000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,16000,19997,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
1,0,16200,19998,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,16400,20000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,16600,20000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,16800,19999,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,17000,20000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,17200,20000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,17400,19987,0,12,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,0,17600,19976,0,0,0,0,0,12,0,12,0,0,0,0,0,0,0,0,0
1,0,17800,19967,0,4,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0
1,0,18000,19963,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0
1,0,18200,20000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,18400,19997,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
1,0,18600,19999,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1,0,18800,19998,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1,0,19000,19999,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1,0,19200,20000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,19400,19999,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,19600,19999,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,19800,19993,0,0,0,0,0,6,0,1,0,0,0,0,0,0,0,0,0
1,0,20000,19999,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1,0,20200,20000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,20400,19998,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1,0,20600,20000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,20800,19999,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,21000,19994,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,21200,19994,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,21400,19991,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,21600,20000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,21800,19998,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1,0,22000,20000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
