uid treatment rep update steal_count donate_count difference
STRESS0_1 STRESS0 1 0 0 0 0
STRESS0_1 STRESS0 1 100 0 121306 121306
STRESS0_1 STRESS0 1 200 149 105611 105462
STRESS0_1 STRESS0 1 300 314 92068 91754
STRESS0_1 STRESS0 1 400 386 90322 89936
STRESS0_1 STRESS0 1 500 473 82505 82032
STRESS0_1 STRESS0 1 600 412 51331 50919
STRESS0_1 STRESS0 1 700 540 39626 39086
STRESS0_1 STRESS0 1 800 600 33235 32635
STRESS0_1 STRESS0 1 900 920 30877 29957
STRESS0_1 STRESS0 1 1000 2678 38906 36228
STRESS0_1 STRESS0 1 1100 6495 55159 48664
STRESS0_1 STRESS0 1 1200 10675 64308 53633
STRESS0_1 STRESS0 1 1300 18579 64210 45631
STRESS0_1 STRESS0 1 1400 36403 55133 18730
STRESS0_1 STRESS0 1 1500 76580 37537 -39043
STRESS0_1 STRESS0 1 1600 207159 13847 -193312
STRESS0_1 STRESS0 1 1700 492169 7645 -484524
STRESS0_1 STRESS0 1 1800 508963 6388 -502575
STRESS0_1 STRESS0 1 1900 496162 6296 -489866
STRESS0_1 STRESS0 1 2000 488228 6444 -481784
STRESS0_1 STRESS0 1 2100 492602 6394 -486208
STRESS0_1 STRESS0 1 2200 483059 7306 -475753
STRESS0_1 STRESS0 1 2300 464362 7952 -456410
STRESS0_1 STRESS0 1 2400 459687 7741 -451946
STRESS0_1 STRESS0 1 2500 462895 7321 -455574
STRESS0_1 STRESS0 1 2600 462767 7843 -454924
STRESS0_1 STRESS0 1 2700 467808 7952 -459856
STRESS0_1 STRESS0 1 2800 466021 9058 -456963
STRESS0_1 STRESS0 1 2900 464733 8891 -455842
STRESS0_1 STRESS0 1 3000 466034 8848 -457186
STRESS0_1 STRESS0 1 3100 471633 8604 -463029
STRESS0_1 STRESS0 1 3200 469557 8097 -461460
STRESS0_1 STRESS0 1 3300 466354 8701 -457653
STRESS0_1 STRESS0 1 3400 463407 9396 -454011
STRESS0_1 STRESS0 1 3500 459669 10426 -449243
STRESS0_1 STRESS0 1 3600 458427 10222 -448205
STRESS0_1 STRESS0 1 3700 462125 9882 -452243
STRESS0_1 STRESS0 1 3800 460069 9871 -450198
STRESS0_1 STRESS0 1 3900 458764 9786 -448978
STRESS0_1 STRESS0 1 4000 459353 9094 -450259
STRESS0_1 STRESS0 1 4100 463626 9385 -454241
STRESS0_1 STRESS0 1 4200 467626 9173 -458453
STRESS0_1 STRESS0 1 4300 466546 9763 -456783
STRESS0_1 STRESS0 1 4400 469279 9336 -459943
STRESS0_1 STRESS0 1 4500 467935 8247 -459688
STRESS0_1 STRESS0 1 4600 470532 7994 -462538
STRESS0_1 STRESS0 1 4700 468054 8521 -459533
STRESS0_1 STRESS0 1 4800 467200 8567 -458633
STRESS0_1 STRESS0 1 4900 465986 8420 -457566
