uid treatment rep update steal_count donate_count difference
VT0.25_1 VT0.25 1 0 0 0 0
VT0.25_1 VT0.25 1 100 0 0 0
VT0.25_1 VT0.25 1 200 5 1046 1041
VT0.25_1 VT0.25 1 300 64 1809 1745
VT0.25_1 VT0.25 1 400 89 2288 2199
VT0.25_1 VT0.25 1 500 108 2707 2599
VT0.25_1 VT0.25 1 600 27 2822 2795
VT0.25_1 VT0.25 1 700 80 2812 2732
VT0.25_1 VT0.25 1 800 61 2872 2811
VT0.25_1 VT0.25 1 900 82 2892 2810
VT0.25_1 VT0.25 1 1000 96 3059 2963
VT0.25_1 VT0.25 1 1100 167 3561 3394
VT0.25_1 VT0.25 1 1200 257 4503 4246
VT0.25_1 VT0.25 1 1300 418 7000 6582
VT0.25_1 VT0.25 1 1400 780 12418 11638
VT0.25_1 VT0.25 1 1500 1441 18539 17098
VT0.25_1 VT0.25 1 1600 150332 21844 -128488
VT0.25_1 VT0.25 1 1700 517059 17556 -499503
VT0.25_1 VT0.25 1 1800 524797 12072 -512725
VT0.25_1 VT0.25 1 1900 528573 9422 -519151
VT0.25_1 VT0.25 1 2000 519046 7734 -511312
VT0.25_1 VT0.25 1 2100 516791 7442 -509349
VT0.25_1 VT0.25 1 2200 521764 7963 -513801
VT0.25_1 VT0.25 1 2300 524840 8223 -516617
VT0.25_1 VT0.25 1 2400 524796 8633 -516163
VT0.25_1 VT0.25 1 2500 531153 8939 -522214
VT0.25_1 VT0.25 1 2600 518946 9065 -509881
VT0.25_1 VT0.25 1 2700 526462 9192 -517270
VT0.25_1 VT0.25 1 2800 519116 8927 -510189
VT0.25_1 VT0.25 1 2900 519110 9673 -509437
VT0.25_1 VT0.25 1 3000 521915 9688 -512227
VT0.25_1 VT0.25 1 3100 516317 9211 -507106
VT0.25_1 VT0.25 1 3200 505163 9088 -496075
VT0.25_1 VT0.25 1 3300 516149 8923 -507226
VT0.25_1 VT0.25 1 3400 524786 9199 -515587
VT0.25_1 VT0.25 1 3500 518800 8517 -510283
VT0.25_1 VT0.25 1 3600 521669 8710 -512959
VT0.25_1 VT0.25 1 3700 511078 9222 -501856
VT0.25_1 VT0.25 1 3800 513531 9212 -504319
VT0.25_1 VT0.25 1 3900 513322 9051 -504271
VT0.25_1 VT0.25 1 4000 523009 8553 -514456
VT0.25_1 VT0.25 1 4100 515553 9486 -506067
VT0.25_1 VT0.25 1 4200 517039 8775 -508264
VT0.25_1 VT0.25 1 4300 525579 8512 -517067
VT0.25_1 VT0.25 1 4400 530090 8973 -521117
VT0.25_1 VT0.25 1 4500 513566 9086 -504480
VT0.25_1 VT0.25 1 4600 514547 9094 -505453
VT0.25_1 VT0.25 1 4700 518431 9000 -509431
VT0.25_1 VT0.25 1 4800 510476 8523 -501953
VT0.25_1 VT0.25 1 4900 522815 8008 -514807
VT0.25_1 VT0.25 1 5000 531795 7541 -524254
VT0.25_1 VT0.25 1 5100 533634 8187 -525447
VT0.25_1 VT0.25 1 5200 530133 8462 -521671
VT0.25_1 VT0.25 1 5300 529826 8172 -521654
VT0.25_1 VT0.25 1 5400 528761 8189 -520572
VT0.25_1 VT0.25 1 5500 529623 7903 -521720
VT0.25_1 VT0.25 1 5600 529985 7846 -522139
VT0.25_1 VT0.25 1 5700 533323 7589 -525734
VT0.25_1 VT0.25 1 5800 535544 7543 -528001
VT0.25_1 VT0.25 1 5900 533270 7417 -525853
VT0.25_1 VT0.25 1 6000 534413 7033 -527380
VT0.25_1 VT0.25 1 6100 533500 7150 -526350
VT0.25_1 VT0.25 1 6200 531618 7768 -523850
VT0.25_1 VT0.25 1 6300 531907 8185 -523722
VT0.25_1 VT0.25 1 6400 534468 7755 -526713
VT0.25_1 VT0.25 1 6500 532109 8177 -523932
VT0.25_1 VT0.25 1 6600 529287 8901 -520386
VT0.25_1 VT0.25 1 6700 531264 8386 -522878
VT0.25_1 VT0.25 1 6800 538141 7566 -530575
VT0.25_1 VT0.25 1 6900 540605 6877 -533728
VT0.25_1 VT0.25 1 7000 539833 7485 -532348
VT0.25_1 VT0.25 1 7100 541110 7727 -533383
VT0.25_1 VT0.25 1 7200 538243 7510 -530733
VT0.25_1 VT0.25 1 7300 535743 7692 -528051
VT0.25_1 VT0.25 1 7400 536271 7547 -528724
VT0.25_1 VT0.25 1 7500 536215 7944 -528271
VT0.25_1 VT0.25 1 7600 539420 7412 -532008
VT0.25_1 VT0.25 1 7700 540029 7094 -532935
VT0.25_1 VT0.25 1 7800 540032 7225 -532807
VT0.25_1 VT0.25 1 7900 540110 7672 -532438
VT0.25_1 VT0.25 1 8000 538141 7817 -530324
VT0.25_1 VT0.25 1 8100 536801 7159 -529642
VT0.25_1 VT0.25 1 8200 541082 7093 -533989
VT0.25_1 VT0.25 1 8300 535164 7241 -527923
VT0.25_1 VT0.25 1 8400 535469 6836 -528633
VT0.25_1 VT0.25 1 8500 539660 7039 -532621
VT0.25_1 VT0.25 1 8600 536755 7413 -529342
VT0.25_1 VT0.25 1 8700 535086 7486 -527600
VT0.25_1 VT0.25 1 8800 539311 7643 -531668
VT0.25_1 VT0.25 1 8900 538429 7410 -531019
VT0.25_1 VT0.25 1 9000 540135 7585 -532550
VT0.25_1 VT0.25 1 9100 537659 8001 -529658
VT0.25_1 VT0.25 1 9200 537913 7386 -530527
VT0.25_1 VT0.25 1 9300 540875 7018 -533857
VT0.25_1 VT0.25 1 9400 542029 7356 -534673
VT0.25_1 VT0.25 1 9500 539011 8057 -530954
