uid treatment rep update steal_count donate_count difference
VT0_1 VT0 1 0 0 0 0
VT0_1 VT0 1 100 2 811 809
VT0_1 VT0 1 200 307 7998 7691
VT0_1 VT0 1 300 547 14038 13491
VT0_1 VT0 1 400 729 18075 17346
VT0_1 VT0 1 500 3776 24235 20459
VT0_1 VT0 1 600 42671 32241 -10430
VT0_1 VT0 1 700 128789 36412 -92377
VT0_1 VT0 1 800 169830 32554 -137276
VT0_1 VT0 1 900 192594 23832 -168762
VT0_1 VT0 1 1000 260656 21445 -239211
VT0_1 VT0 1 1100 365374 18556 -346818
VT0_1 VT0 1 1200 455883 17157 -438726
VT0_1 VT0 1 1300 493094 16746 -476348
VT0_1 VT0 1 1400 526309 15383 -510926
VT0_1 VT0 1 1500 531534 15244 -516290
VT0_1 VT0 1 1600 513410 14090 -499320
VT0_1 VT0 1 1700 495313 12676 -482637
VT0_1 VT0 1 1800 459777 12205 -447572
VT0_1 VT0 1 1900 484789 12811 -471978
VT0_1 VT0 1 2000 520017 13452 -506565
VT0_1 VT0 1 2100 509214 13241 -495973
VT0_1 VT0 1 2200 478597 12714 -465883
VT0_1 VT0 1 2300 434214 11664 -422550
VT0_1 VT0 1 2400 396170 11709 -384461
VT0_1 VT0 1 2500 390227 11788 -378439
VT0_1 VT0 1 2600 418342 12978 -405364
VT0_1 VT0 1 2700 477175 14585 -462590
VT0_1 VT0 1 2800 478528 15524 -463004
VT0_1 VT0 1 2900 488694 16103 -472591
VT0_1 VT0 1 3000 479500 16575 -462925
VT0_1 VT0 1 3100 470998 17208 -453790
VT0_1 VT0 1 3200 448127 16738 -431389
VT0_1 VT0 1 3300 435804 16350 -419454
VT0_1 VT0 1 3400 427118 16580 -410538
VT0_1 VT0 1 3500 423885 18236 -405649
VT0_1 VT0 1 3600 405122 18612 -386510
VT0_1 VT0 1 3700 387328 17062 -370266
VT0_1 VT0 1 3800 367936 16528 -351408
VT0_1 VT0 1 3900 384093 17339 -366754
VT0_1 VT0 1 4000 378362 17565 -360797
VT0_1 VT0 1 4100 382025 17647 -364378
VT0_1 VT0 1 4200 400783 17863 -382920
VT0_1 VT0 1 4300 400774 18020 -382754
VT0_1 VT0 1 4400 387298 15755 -371543
VT0_1 VT0 1 4500 328620 13363 -315257
VT0_1 VT0 1 4600 200060 8178 -191882
VT0_1 VT0 1 4700 102836 4064 -98772
VT0_1 VT0 1 4800 83372 3188 -80184
VT0_1 VT0 1 4900 74369 2683 -71686
VT0_1 VT0 1 5000 65706 2488 -63218
VT0_1 VT0 1 5100 64698 3070 -61628
VT0_1 VT0 1 5200 77672 4488 -73184
VT0_1 VT0 1 5300 84070 5065 -79005
VT0_1 VT0 1 5400 73673 3836 -69837
VT0_1 VT0 1 5500 59679 2492 -57187
VT0_1 VT0 1 5600 47862 1807 -46055
VT0_1 VT0 1 5700 35070 1436 -33634
VT0_1 VT0 1 5800 37695 1523 -36172
VT0_1 VT0 1 5900 36782 1486 -35296
VT0_1 VT0 1 6000 35902 1332 -34570
VT0_1 VT0 1 6100 34835 1274 -33561
