uid treatment rep update steal_count donate_count difference
VT0_1 VT0 1 0 0 0 0
VT0_1 VT0 1 100 51 867 816
VT0_1 VT0 1 200 432 9116 8684
VT0_1 VT0 1 300 744 17338 16594
VT0_1 VT0 1 400 851 22906 22055
VT0_1 VT0 1 500 995 30403 29408
VT0_1 VT0 1 600 1021 30795 29774
VT0_1 VT0 1 700 995 11392 10397
VT0_1 VT0 1 800 54946 32350 -22596
VT0_1 VT0 1 900 415067 36116 -378951
VT0_1 VT0 1 1000 485662 33381 -452281
VT0_1 VT0 1 1100 499139 30437 -468702
VT0_1 VT0 1 1200 503955 28300 -475655
VT0_1 VT0 1 1300 517244 27601 -489643
VT0_1 VT0 1 1400 527764 25850 -501914
VT0_1 VT0 1 1500 526910 25763 -501147
VT0_1 VT0 1 1600 524784 24829 -499955
VT0_1 VT0 1 1700 514448 23620 -490828
VT0_1 VT0 1 1800 502402 22186 -480216
VT0_1 VT0 1 1900 496438 22738 -473700
VT0_1 VT0 1 2000 485914 22518 -463396
VT0_1 VT0 1 2100 477560 22074 -455486
VT0_1 VT0 1 2200 456303 22386 -433917
VT0_1 VT0 1 2300 454405 23272 -431133
VT0_1 VT0 1 2400 437632 26057 -411575
VT0_1 VT0 1 2500 423177 24768 -398409
VT0_1 VT0 1 2600 428219 23874 -404345
VT0_1 VT0 1 2700 431503 25524 -405979
VT0_1 VT0 1 2800 430034 26772 -403262
VT0_1 VT0 1 2900 437953 26543 -411410
VT0_1 VT0 1 3000 449984 26819 -423165
VT0_1 VT0 1 3100 432510 24270 -408240
VT0_1 VT0 1 3200 433725 26436 -407289
VT0_1 VT0 1 3300 452496 27496 -425000
VT0_1 VT0 1 3400 474440 26800 -447640
VT0_1 VT0 1 3500 470960 26564 -444396
VT0_1 VT0 1 3600 471291 27659 -443632
VT0_1 VT0 1 3700 462872 28863 -434009
VT0_1 VT0 1 3800 460238 28521 -431717
VT0_1 VT0 1 3900 467160 28667 -438493
VT0_1 VT0 1 4000 467977 29061 -438916
VT0_1 VT0 1 4100 475939 28392 -447547
VT0_1 VT0 1 4200 471154 28468 -442686
VT0_1 VT0 1 4300 459014 27726 -431288
VT0_1 VT0 1 4400 476425 26668 -449757
VT0_1 VT0 1 4500 470089 26474 -443615
VT0_1 VT0 1 4600 459234 26788 -432446
VT0_1 VT0 1 4700 433074 26195 -406879
VT0_1 VT0 1 4800 435055 26628 -408427
VT0_1 VT0 1 4900 410310 27730 -382580
VT0_1 VT0 1 5000 366085 28781 -337304
VT0_1 VT0 1 5100 359458 29093 -330365
VT0_1 VT0 1 5200 375602 30815 -344787
VT0_1 VT0 1 5300 431565 29828 -401737
VT0_1 VT0 1 5400 438772 30015 -408757
VT0_1 VT0 1 5500 440396 28554 -411842
VT0_1 VT0 1 5600 413747 27621 -386126
VT0_1 VT0 1 5700 386644 26622 -360022
VT0_1 VT0 1 5800 370403 29889 -340514
VT0_1 VT0 1 5900 373554 26958 -346596
VT0_1 VT0 1 6000 351320 24035 -327285
VT0_1 VT0 1 6100 361514 24132 -337382
VT0_1 VT0 1 6200 398614 25724 -372890
VT0_1 VT0 1 6300 392813 26708 -366105
VT0_1 VT0 1 6400 392625 25938 -366687
VT0_1 VT0 1 6500 380735 26434 -354301
VT0_1 VT0 1 6600 339562 26616 -312946
VT0_1 VT0 1 6700 341739 25612 -316127
VT0_1 VT0 1 6800 358803 25168 -333635
VT0_1 VT0 1 6900 415178 26478 -388700
VT0_1 VT0 1 7000 454421 28230 -426191
VT0_1 VT0 1 7100 480990 28646 -452344
VT0_1 VT0 1 7200 487601 28876 -458725
VT0_1 VT0 1 7300 502982 28059 -474923
VT0_1 VT0 1 7400 515946 28785 -487161
VT0_1 VT0 1 7500 563564 30330 -533234
VT0_1 VT0 1 7600 593473 27554 -565919
VT0_1 VT0 1 7700 602063 27914 -574149
VT0_1 VT0 1 7800 606389 26904 -579485
VT0_1 VT0 1 7900 603400 26957 -576443
VT0_1 VT0 1 8000 594293 27103 -567190
VT0_1 VT0 1 8100 594899 28711 -566188
VT0_1 VT0 1 8200 596751 26973 -569778
VT0_1 VT0 1 8300 615357 28062 -587295
VT0_1 VT0 1 8400 627606 28303 -599303
VT0_1 VT0 1 8500 624992 28907 -596085
VT0_1 VT0 1 8600 616784 28398 -588386
VT0_1 VT0 1 8700 610434 28853 -581581
VT0_1 VT0 1 8800 620544 27879 -592665
VT0_1 VT0 1 8900 607344 29078 -578266
VT0_1 VT0 1 9000 608416 30873 -577543
VT0_1 VT0 1 9100 623288 30234 -593054
VT0_1 VT0 1 9200 602083 31550 -570533
VT0_1 VT0 1 9300 597318 29093 -568225
VT0_1 VT0 1 9400 605400 26929 -578471
VT0_1 VT0 1 9500 600439 27375 -573064
VT0_1 VT0 1 9600 595874 27198 -568676
VT0_1 VT0 1 9700 590729 25892 -564837
VT0_1 VT0 1 9800 585894 25495 -560399
VT0_1 VT0 1 9900 597914 27565 -570349
VT0_1 VT0 1 10000 601353 26375 -574978
VT0_1 VT0 1 10100 604541 24852 -579689
VT0_1 VT0 1 10200 588529 25741 -562788
VT0_1 VT0 1 10300 589852 26150 -563702
VT0_1 VT0 1 10400 594839 25753 -569086
VT0_1 VT0 1 10500 591321 26129 -565192
VT0_1 VT0 1 10600 596659 26455 -570204
VT0_1 VT0 1 10700 604689 25899 -578790
VT0_1 VT0 1 10800 590908 26040 -564868
VT0_1 VT0 1 10900 590342 24355 -565987
VT0_1 VT0 1 11000 594140 25793 -568347
VT0_1 VT0 1 11100 597305 26404 -570901
VT0_1 VT0 1 11200 593689 27686 -566003
VT0_1 VT0 1 11300 606550 28239 -578311
VT0_1 VT0 1 11400 605104 27497 -577607
VT0_1 VT0 1 11500 581832 26163 -555669
VT0_1 VT0 1 11600 585388 26367 -559021
VT0_1 VT0 1 11700 587187 25779 -561408
VT0_1 VT0 1 11800 599254 26213 -573041
VT0_1 VT0 1 11900 582571 27430 -555141
VT0_1 VT0 1 12000 572567 25659 -546908
VT0_1 VT0 1 12100 574516 27516 -547000
VT0_1 VT0 1 12200 581210 25710 -555500
VT0_1 VT0 1 12300 593841 25322 -568519
VT0_1 VT0 1 12400 611062 26868 -584194
VT0_1 VT0 1 12500 612995 30060 -582935
VT0_1 VT0 1 12600 591945 29800 -562145
VT0_1 VT0 1 12700 583521 27917 -555604
VT0_1 VT0 1 12800 589418 27197 -562221
VT0_1 VT0 1 12900 594141 27619 -566522
VT0_1 VT0 1 13000 596458 25038 -571420
VT0_1 VT0 1 13100 607443 26094 -581349
VT0_1 VT0 1 13200 616103 26417 -589686
VT0_1 VT0 1 13300 606979 27795 -579184
VT0_1 VT0 1 13400 608955 26859 -582096
VT0_1 VT0 1 13500 601044 26624 -574420
VT0_1 VT0 1 13600 620057 28364 -591693
VT0_1 VT0 1 13700 598594 27240 -571354
