uid treatment rep update task count partner
VT0_1 VT0 1 0 NOT 0 Host
VT0_1 VT0 1 0 NOT 0 Parasite
VT0_1 VT0 1 0 NAND 0 Host
VT0_1 VT0 1 0 NAND 0 Parasite
VT0_1 VT0 1 0 AND 0 Host
VT0_1 VT0 1 0 AND 0 Parasite
VT0_1 VT0 1 0 ORN 0 Host
VT0_1 VT0 1 0 ORN 0 Parasite
VT0_1 VT0 1 0 OR 0 Host
VT0_1 VT0 1 0 OR 0 Parasite
VT0_1 VT0 1 0 ANDN 0 Host
VT0_1 VT0 1 0 ANDN 0 Parasite
VT0_1 VT0 1 0 NOR 0 Host
VT0_1 VT0 1 0 NOR 0 Parasite
VT0_1 VT0 1 0 XOR 0 Host
VT0_1 VT0 1 0 XOR 0 Parasite
VT0_1 VT0 1 0 EQU 0 Host
VT0_1 VT0 1 0 EQU 0 Parasite
VT0_1 VT0 1 100 NOT 37037 Host
VT0_1 VT0 1 100 NOT 28636 Parasite
VT0_1 VT0 1 100 NAND 0 Host
VT0_1 VT0 1 100 NAND 1 Parasite
VT0_1 VT0 1 100 AND 0 Host
VT0_1 VT0 1 100 AND 0 Parasite
VT0_1 VT0 1 100 ORN 0 Host
VT0_1 VT0 1 100 ORN 0 Parasite
VT0_1 VT0 1 100 OR 0 Host
VT0_1 VT0 1 100 OR 0 Parasite
VT0_1 VT0 1 100 ANDN 0 Host
VT0_1 VT0 1 100 ANDN 0 Parasite
VT0_1 VT0 1 100 NOR 0 Host
VT0_1 VT0 1 100 NOR 0 Parasite
VT0_1 VT0 1 100 XOR 0 Host
VT0_1 VT0 1 100 XOR 0 Parasite
VT0_1 VT0 1 100 EQU 0 Host
VT0_1 VT0 1 100 EQU 0 Parasite
VT0_1 VT0 1 200 NOT 33102 Host
VT0_1 VT0 1 200 NOT 19901 Parasite
VT0_1 VT0 1 200 NAND 0 Host
VT0_1 VT0 1 200 NAND 0 Parasite
VT0_1 VT0 1 200 AND 0 Host
VT0_1 VT0 1 200 AND 0 Parasite
VT0_1 VT0 1 200 ORN 0 Host
VT0_1 VT0 1 200 ORN 0 Parasite
VT0_1 VT0 1 200 OR 0 Host
VT0_1 VT0 1 200 OR 0 Parasite
VT0_1 VT0 1 200 ANDN 1 Host
VT0_1 VT0 1 200 ANDN 1 Parasite
VT0_1 VT0 1 200 NOR 0 Host
VT0_1 VT0 1 200 NOR 0 Parasite
VT0_1 VT0 1 200 XOR 0 Host
VT0_1 VT0 1 200 XOR 0 Parasite
VT0_1 VT0 1 200 EQU 0 Host
VT0_1 VT0 1 200 EQU 0 Parasite
VT0_1 VT0 1 300 NOT 29566 Host
VT0_1 VT0 1 300 NOT 52584 Parasite
VT0_1 VT0 1 300 NAND 0 Host
VT0_1 VT0 1 300 NAND 2 Parasite
VT0_1 VT0 1 300 AND 1 Host
VT0_1 VT0 1 300 AND 2 Parasite
VT0_1 VT0 1 300 ORN 0 Host
VT0_1 VT0 1 300 ORN 0 Parasite
VT0_1 VT0 1 300 OR 0 Host
VT0_1 VT0 1 300 OR 0 Parasite
VT0_1 VT0 1 300 ANDN 0 Host
VT0_1 VT0 1 300 ANDN 2 Parasite
VT0_1 VT0 1 300 NOR 0 Host
VT0_1 VT0 1 300 NOR 0 Parasite
VT0_1 VT0 1 300 XOR 0 Host
VT0_1 VT0 1 300 XOR 0 Parasite
VT0_1 VT0 1 300 EQU 0 Host
VT0_1 VT0 1 300 EQU 0 Parasite
VT0_1 VT0 1 400 NOT 20066 Host
VT0_1 VT0 1 400 NOT 325276 Parasite
VT0_1 VT0 1 400 NAND 0 Host
VT0_1 VT0 1 400 NAND 272 Parasite
VT0_1 VT0 1 400 AND 0 Host
VT0_1 VT0 1 400 AND 8 Parasite
