uid treatment rep update steal_count donate_count difference
VT0_1 VT0 1 0 0 0 0
VT0_1 VT0 1 100 329 9968 9639
VT0_1 VT0 1 200 860 28720 27860
VT0_1 VT0 1 300 6321 55396 49075
VT0_1 VT0 1 400 404677 52432 -352245
VT0_1 VT0 1 500 405987 33011 -372976
VT0_1 VT0 1 600 377231 27802 -349429
VT0_1 VT0 1 700 357046 22754 -334292
VT0_1 VT0 1 800 314990 21546 -293444
VT0_1 VT0 1 900 354851 26111 -328740
VT0_1 VT0 1 1000 350912 31829 -319083
VT0_1 VT0 1 1100 329095 28842 -300253
VT0_1 VT0 1 1200 376030 28328 -347702
VT0_1 VT0 1 1300 371546 28717 -342829
VT0_1 VT0 1 1400 297731 29090 -268641
VT0_1 VT0 1 1500 293813 30868 -262945
VT0_1 VT0 1 1600 257715 33849 -223866
VT0_1 VT0 1 1700 258482 24871 -233611
VT0_1 VT0 1 1800 188688 23182 -165506
VT0_1 VT0 1 1900 130060 22352 -107708
VT0_1 VT0 1 2000 57016 20403 -36613
VT0_1 VT0 1 2100 25691 18165 -7526
VT0_1 VT0 1 2200 23365 16384 -6981
VT0_1 VT0 1 2300 22694 16472 -6222
VT0_1 VT0 1 2400 22649 16486 -6163
VT0_1 VT0 1 2500 23531 14943 -8588
VT0_1 VT0 1 2600 21966 14405 -7561
VT0_1 VT0 1 2700 21352 13845 -7507
VT0_1 VT0 1 2800 20896 13098 -7798
VT0_1 VT0 1 2900 20385 14205 -6180
VT0_1 VT0 1 3000 20383 13387 -6996
VT0_1 VT0 1 3100 19014 12556 -6458
VT0_1 VT0 1 3200 18354 12824 -5530
VT0_1 VT0 1 3300 18578 13171 -5407
VT0_1 VT0 1 3400 19937 13936 -6001
VT0_1 VT0 1 3500 18781 13008 -5773
VT0_1 VT0 1 3600 17738 14500 -3238
VT0_1 VT0 1 3700 17099 14429 -2670
VT0_1 VT0 1 3800 17615 12788 -4827
VT0_1 VT0 1 3900 18011 11682 -6329
VT0_1 VT0 1 4000 17978 12816 -5162
VT0_1 VT0 1 4100 17912 12393 -5519
VT0_1 VT0 1 4200 17903 12446 -5457
VT0_1 VT0 1 4300 17782 11932 -5850
VT0_1 VT0 1 4400 16995 12125 -4870
VT0_1 VT0 1 4500 17231 12031 -5200
VT0_1 VT0 1 4600 17652 11797 -5855
VT0_1 VT0 1 4700 17620 11985 -5635
VT0_1 VT0 1 4800 16490 11858 -4632
VT0_1 VT0 1 4900 17495 11918 -5577
VT0_1 VT0 1 5000 17224 12286 -4938
VT0_1 VT0 1 5100 16742 13060 -3682
VT0_1 VT0 1 5200 16749 13094 -3655
VT0_1 VT0 1 5300 16055 11847 -4208
VT0_1 VT0 1 5400 16630 13011 -3619
VT0_1 VT0 1 5500 16906 12603 -4303
VT0_1 VT0 1 5600 16221 12266 -3955
VT0_1 VT0 1 5700 16399 11895 -4504
VT0_1 VT0 1 5800 16858 11736 -5122
VT0_1 VT0 1 5900 17055 11241 -5814
VT0_1 VT0 1 6000 16533 11349 -5184
VT0_1 VT0 1 6100 16240 12183 -4057
VT0_1 VT0 1 6200 17467 12047 -5420
VT0_1 VT0 1 6300 16789 12170 -4619
VT0_1 VT0 1 6400 16862 12388 -4474
VT0_1 VT0 1 6500 16546 12420 -4126
VT0_1 VT0 1 6600 16302 12071 -4231
VT0_1 VT0 1 6700 15910 12461 -3449
VT0_1 VT0 1 6800 16721 12628 -4093
VT0_1 VT0 1 6900 16615 12598 -4017
VT0_1 VT0 1 7000 16614 12300 -4314
VT0_1 VT0 1 7100 16549 11791 -4758
VT0_1 VT0 1 7200 15673 11878 -3795
VT0_1 VT0 1 7300 16374 11799 -4575
VT0_1 VT0 1 7400 18514 12415 -6099
VT0_1 VT0 1 7500 17514 12076 -5438
VT0_1 VT0 1 7600 16902 11661 -5241
VT0_1 VT0 1 7700 16877 11999 -4878
VT0_1 VT0 1 7800 15043 12061 -2982
VT0_1 VT0 1 7900 15846 12621 -3225
VT0_1 VT0 1 8000 15763 13109 -2654
VT0_1 VT0 1 8100 15956 12383 -3573
VT0_1 VT0 1 8200 16337 11470 -4867
VT0_1 VT0 1 8300 16558 12412 -4146
VT0_1 VT0 1 8400 16290 11616 -4674
VT0_1 VT0 1 8500 16780 11838 -4942
VT0_1 VT0 1 8600 17393 11920 -5473
VT0_1 VT0 1 8700 16401 11611 -4790
VT0_1 VT0 1 8800 16883 11551 -5332
VT0_1 VT0 1 8900 16115 11958 -4157
VT0_1 VT0 1 9000 16323 11356 -4967
VT0_1 VT0 1 9100 16010 12375 -3635
VT0_1 VT0 1 9200 16445 12124 -4321
VT0_1 VT0 1 9300 16451 11594 -4857
VT0_1 VT0 1 9400 17764 12298 -5466
VT0_1 VT0 1 9500 16341 12163 -4178
VT0_1 VT0 1 9600 15456 12361 -3095
VT0_1 VT0 1 9700 16522 12166 -4356
VT0_1 VT0 1 9800 17294 12552 -4742
VT0_1 VT0 1 9900 17584 12807 -4777
VT0_1 VT0 1 10000 17315 11603 -5712
VT0_2 VT0 2 0 0 0 0
VT0_2 VT0 2 100 332 9927 9595
VT0_2 VT0 2 200 807 27579 26772
VT0_2 VT0 2 300 1892 52217 50325
VT0_2 VT0 2 400 20515 95764 75249
VT0_2 VT0 2 500 183254 37778 -145476
VT0_2 VT0 2 600 253143 29271 -223872
VT0_2 VT0 2 700 274079 23233 -250846
VT0_2 VT0 2 800 294449 22348 -272101
VT0_2 VT0 2 900 300781 22126 -278655
VT0_2 VT0 2 1000 274070 23038 -251032
VT0_2 VT0 2 1100 247921 23294 -224627
VT0_2 VT0 2 1200 252358 24613 -227745
VT0_2 VT0 2 1300 241456 24285 -217171
VT0_2 VT0 2 1400 210135 23195 -186940
VT0_2 VT0 2 1500 205678 23823 -181855
VT0_2 VT0 2 1600 197402 24197 -173205
VT0_2 VT0 2 1700 208495 23608 -184887
VT0_2 VT0 2 1800 230671 22795 -207876
VT0_2 VT0 2 1900 209780 21457 -188323
VT0_2 VT0 2 2000 204507 21002 -183505
VT0_2 VT0 2 2100 175199 21963 -153236
VT0_2 VT0 2 2200 164629 21764 -142865
VT0_2 VT0 2 2300 164238 20936 -143302
VT0_2 VT0 2 2400 196754 22755 -173999
VT0_2 VT0 2 2500 166549 22718 -143831
VT0_2 VT0 2 2600 159997 21792 -138205
VT0_2 VT0 2 2700 166499 20165 -146334
VT0_2 VT0 2 2800 183998 20669 -163329
VT0_2 VT0 2 2900 183983 19979 -164004
VT0_2 VT0 2 3000 175010 19557 -155453
VT0_2 VT0 2 3100 162052 18923 -143129
VT0_2 VT0 2 3200 156359 20089 -136270
VT0_2 VT0 2 3300 223016 19432 -203584
VT0_2 VT0 2 3400 210204 19768 -190436
VT0_2 VT0 2 3500 175925 19118 -156807
VT0_2 VT0 2 3600 213862 21723 -192139
VT0_2 VT0 2 3700 228803 22918 -205885
VT0_2 VT0 2 3800 227544 22083 -205461
VT0_2 VT0 2 3900 204168 21140 -183028
VT0_2 VT0 2 4000 194827 21323 -173504
VT0_2 VT0 2 4100 226412 20812 -205600
VT0_2 VT0 2 4200 220024 21646 -198378
VT0_2 VT0 2 4300 210455 22125 -188330
VT0_2 VT0 2 4400 210265 22474 -187791
VT0_2 VT0 2 4500 195252 21193 -174059
VT0_2 VT0 2 4600 200542 20275 -180267
VT0_2 VT0 2 4700 184167 19579 -164588
VT0_2 VT0 2 4800 168977 18107 -150870
VT0_2 VT0 2 4900 177208 19405 -157803
VT0_2 VT0 2 5000 196656 20254 -176402
VT0_2 VT0 2 5100 214650 18908 -195742
VT0_2 VT0 2 5200 203900 20346 -183554
VT0_2 VT0 2 5300 224284 20927 -203357
VT0_2 VT0 2 5400 219681 20557 -199124
VT0_2 VT0 2 5500 206395 19040 -187355
VT0_2 VT0 2 5600 230678 18865 -211813
VT0_2 VT0 2 5700 221522 17458 -204064
VT0_2 VT0 2 5800 217082 19064 -198018
VT0_2 VT0 2 5900 173062 17880 -155182
VT0_2 VT0 2 6000 186934 18366 -168568
VT0_2 VT0 2 6100 150794 17670 -133124
VT0_2 VT0 2 6200 172285 17501 -154784
VT0_2 VT0 2 6300 196799 17298 -179501
VT0_2 VT0 2 6400 201737 18149 -183588
VT0_2 VT0 2 6500 180397 18165 -162232
VT0_2 VT0 2 6600 167929 18322 -149607
VT0_2 VT0 2 6700 203354 19663 -183691
VT0_2 VT0 2 6800 273700 20976 -252724
VT0_2 VT0 2 6900 319874 20513 -299361
VT0_2 VT0 2 7000 296548 19949 -276599
VT0_2 VT0 2 7100 231455 18043 -213412
VT0_2 VT0 2 7200 204762 18484 -186278
VT0_2 VT0 2 7300 208550 17949 -190601
VT0_2 VT0 2 7400 214779 17783 -196996
VT0_2 VT0 2 7500 226547 17451 -209096
VT0_2 VT0 2 7600 232935 20088 -212847
VT0_2 VT0 2 7700 199920 20084 -179836
VT0_2 VT0 2 7800 217320 19484 -197836
VT0_2 VT0 2 7900 197858 18230 -179628
VT0_2 VT0 2 8000 181895 17092 -164803
VT0_2 VT0 2 8100 182920 17331 -165589
VT0_2 VT0 2 8200 185066 18159 -166907
VT0_2 VT0 2 8300 233091 20104 -212987
VT0_2 VT0 2 8400 230518 19747 -210771
VT0_2 VT0 2 8500 209684 19479 -190205
VT0_2 VT0 2 8600 196513 17851 -178662
VT0_2 VT0 2 8700 252825 20666 -232159
VT0_2 VT0 2 8800 249145 20616 -228529
VT0_2 VT0 2 8900 234541 18906 -215635
VT0_2 VT0 2 9000 256554 20442 -236112
VT0_2 VT0 2 9100 248105 22081 -226024
VT0_2 VT0 2 9200 213678 19803 -193875
VT0_2 VT0 2 9300 219574 19313 -200261
VT0_2 VT0 2 9400 235510 19067 -216443
VT0_2 VT0 2 9500 257255 19348 -237907
VT0_2 VT0 2 9600 229722 18511 -211211
VT0_2 VT0 2 9700 186486 16910 -169576
VT0_2 VT0 2 9800 207200 17618 -189582
VT0_2 VT0 2 9900 188734 18018 -170716
VT0_2 VT0 2 10000 159372 17515 -141857
VT0_3 VT0 3 0 0 0 0
VT0_3 VT0 3 100 365 9877 9512
VT0_3 VT0 3 200 815 27800 26985
VT0_3 VT0 3 300 7047 50896 43849
VT0_3 VT0 3 400 115973 50916 -65057
VT0_3 VT0 3 500 461754 38736 -423018
VT0_3 VT0 3 600 548044 29403 -518641
VT0_3 VT0 3 700 469993 22380 -447613
VT0_3 VT0 3 800 425218 23519 -401699
VT0_3 VT0 3 900 407043 26129 -380914
VT0_3 VT0 3 1000 431925 26878 -405047
VT0_3 VT0 3 1100 403249 26257 -376992
VT0_3 VT0 3 1200 329591 26338 -303253
VT0_3 VT0 3 1300 304037 27321 -276716
VT0_3 VT0 3 1400 294703 27620 -267083
VT0_3 VT0 3 1500 291996 24064 -267932
VT0_3 VT0 3 1600 317077 24701 -292376
VT0_3 VT0 3 1700 344622 27367 -317255
VT0_3 VT0 3 1800 361196 29814 -331382
VT0_3 VT0 3 1900 349784 26386 -323398
VT0_3 VT0 3 2000 305068 25981 -279087
VT0_3 VT0 3 2100 267816 24157 -243659
VT0_3 VT0 3 2200 267840 25245 -242595
VT0_3 VT0 3 2300 322928 24284 -298644
VT0_3 VT0 3 2400 330053 25620 -304433
VT0_3 VT0 3 2500 335909 28061 -307848
VT0_3 VT0 3 2600 311129 23344 -287785
VT0_3 VT0 3 2700 291298 21397 -269901
VT0_3 VT0 3 2800 299701 23695 -276006
VT0_3 VT0 3 2900 271683 20752 -250931
VT0_3 VT0 3 3000 248170 20050 -228120
VT0_3 VT0 3 3100 272266 24782 -247484
VT0_3 VT0 3 3200 281308 25694 -255614
VT0_3 VT0 3 3300 248279 20600 -227679
VT0_3 VT0 3 3400 223313 21010 -202303
VT0_3 VT0 3 3500 244926 21890 -223036
VT0_3 VT0 3 3600 259220 22080 -237140
VT0_3 VT0 3 3700 215339 21348 -193991
VT0_3 VT0 3 3800 205652 25096 -180556
VT0_3 VT0 3 3900 211243 29927 -181316
VT0_3 VT0 3 4000 206713 30879 -175834
VT0_3 VT0 3 4100 227116 26323 -200793
VT0_3 VT0 3 4200 277641 28940 -248701
VT0_3 VT0 3 4300 281304 31072 -250232
VT0_3 VT0 3 4400 271731 26562 -245169
VT0_3 VT0 3 4500 297571 24525 -273046
VT0_3 VT0 3 4600 313434 23821 -289613
VT0_3 VT0 3 4700 268798 22355 -246443
VT0_3 VT0 3 4800 235743 22491 -213252
VT0_3 VT0 3 4900 250630 21327 -229303
VT0_3 VT0 3 5000 232083 22516 -209567
VT0_3 VT0 3 5100 210231 21719 -188512
VT0_3 VT0 3 5200 209105 20459 -188646
VT0_3 VT0 3 5300 214946 22378 -192568
VT0_3 VT0 3 5400 229782 20736 -209046
VT0_3 VT0 3 5500 195497 22622 -172875
VT0_3 VT0 3 5600 154881 23734 -131147
VT0_3 VT0 3 5700 55843 16154 -39689
VT0_3 VT0 3 5800 21365 14040 -7325
VT0_3 VT0 3 5900 19898 13796 -6102
VT0_3 VT0 3 6000 19222 13499 -5723
VT0_3 VT0 3 6100 18740 13712 -5028
