uid treatment rep update steal_count donate_count difference diff_per_org
VT0_1 VT0 1 0 0 0 0 0.0
VT0_1 VT0 1 100 329 9968 9639 1.2503567259047865
VT0_1 VT0 1 200 860 28720 27860 3.4017094017094016
VT0_1 VT0 1 300 6321 55396 49075 5.653801843317972
VT0_1 VT0 1 400 404677 52432 -352245 -36.18707622765564
VT0_1 VT0 1 500 405987 33011 -372976 -38.08597978147657
VT0_1 VT0 1 600 377231 27802 -349429 -37.043252411745996
VT0_1 VT0 1 700 357046 22754 -334292 -35.749331622286384
VT0_1 VT0 1 800 314990 21546 -293444 -32.08791689447786
VT0_1 VT0 1 900 354851 26111 -328740 -36.0935441370224
VT0_1 VT0 1 1000 350912 31829 -319083 -36.91808399861159
VT0_1 VT0 1 1100 329095 28842 -300253 -36.249305807074734
VT0_1 VT0 1 1200 376030 28328 -347702 -42.3923433308949
VT0_1 VT0 1 1300 371546 28717 -342829 -42.60862540392742
VT0_1 VT0 1 1400 297731 29090 -268641 -34.15217391304348
VT0_1 VT0 1 1500 293813 30868 -262945 -33.819292604501605
VT0_1 VT0 1 1600 257715 33849 -223866 -29.137836782506835
VT0_1 VT0 1 1700 258482 24871 -233611 -31.319345756803862
VT0_1 VT0 1 1800 188688 23182 -165506 -22.7624810892587
VT0_1 VT0 1 1900 130060 22352 -107708 -14.940768483839644
VT0_1 VT0 1 2000 57016 20403 -36613 -5.196281578200398
VT0_1 VT0 1 2100 25691 18165 -7526 -1.0817881270662641
VT0_1 VT0 1 2200 23365 16384 -6981 -1.0064878892733564
VT0_1 VT0 1 2300 22694 16472 -6222 -0.8958963282937366
VT0_1 VT0 1 2400 22649 16486 -6163 -0.8859976998274871
VT0_1 VT0 1 2500 23531 14943 -8588 -1.2230133864995727
VT0_1 VT0 1 2600 21966 14405 -7561 -1.0807604345340194
VT0_1 VT0 1 2700 21352 13845 -7507 -1.0874981891931044
VT0_1 VT0 1 2800 20896 13098 -7798 -1.1557729361197568
VT0_1 VT0 1 2900 20385 14205 -6180 -0.9218377088305489
VT0_1 VT0 1 3000 20383 13387 -6996 -1.0409165302782324
VT0_1 VT0 1 3100 19014 12556 -6458 -0.9498455655243419
VT0_1 VT0 1 3200 18354 12824 -5530 -0.8236520703008638
VT0_1 VT0 1 3300 18578 13171 -5407 -0.8172611850060459
VT0_1 VT0 1 3400 19937 13936 -6001 -0.9283725247524752
VT0_1 VT0 1 3500 18781 13008 -5773 -0.9270916974466035
VT0_1 VT0 1 3600 17738 14500 -3238 -0.5201606425702812
VT0_1 VT0 1 3700 17099 14429 -2670 -0.44648829431438125
VT0_1 VT0 1 3800 17615 12788 -4827 -0.8104432505036937
VT0_1 VT0 1 3900 18011 11682 -6329 -1.0378812725483766
VT0_1 VT0 1 4000 17978 12816 -5162 -0.8611945278611945
VT0_1 VT0 1 4100 17912 12393 -5519 -0.9044575549000328
VT0_1 VT0 1 4200 17903 12446 -5457 -0.8970902515206313
VT0_1 VT0 1 4300 17782 11932 -5850 -0.9648688767936665
VT0_1 VT0 1 4400 16995 12125 -4870 -0.8213864058019902
VT0_1 VT0 1 4500 17231 12031 -5200 -0.8863132776546787
VT0_1 VT0 1 4600 17652 11797 -5855 -1.0126253891387063
VT0_1 VT0 1 4700 17620 11985 -5635 -0.9653931814288161
VT0_1 VT0 1 4800 16490 11858 -4632 -0.8033298647242456
VT0_1 VT0 1 4900 17495 11918 -5577 -0.9743186582809225
VT0_1 VT0 1 5000 17224 12286 -4938 -0.8464175522797395
VT0_1 VT0 1 5100 16742 13060 -3682 -0.6450595655220743
VT0_1 VT0 1 5200 16749 13094 -3655 -0.6308249913703832
VT0_1 VT0 1 5300 16055 11847 -4208 -0.7267702936096718
VT0_1 VT0 1 5400 16630 13011 -3619 -0.6277536860364267
VT0_1 VT0 1 5500 16906 12603 -4303 -0.7520097867878365
VT0_1 VT0 1 5600 16221 12266 -3955 -0.6834283739415933
VT0_1 VT0 1 5700 16399 11895 -4504 -0.7795084804430599
VT0_1 VT0 1 5800 16858 11736 -5122 -0.8782578875171467
VT0_1 VT0 1 5900 17055 11241 -5814 -1.0097255991663772
VT0_1 VT0 1 6000 16533 11349 -5184 -0.9032932566649242
VT0_1 VT0 1 6100 16240 12183 -4057 -0.7051972883712846
VT0_1 VT0 1 6200 17467 12047 -5420 -0.9299931365820179
VT0_1 VT0 1 6300 16789 12170 -4619 -0.8001039320976961
VT0_1 VT0 1 6400 16862 12388 -4474 -0.7725781384907615
VT0_1 VT0 1 6500 16546 12420 -4126 -0.7285890870563305
VT0_1 VT0 1 6600 16302 12071 -4231 -0.7489821207293327
VT0_1 VT0 1 6700 15910 12461 -3449 -0.6115248226950355
VT0_1 VT0 1 6800 16721 12628 -4093 -0.7144353290277535
VT0_1 VT0 1 6900 16615 12598 -4017 -0.6970327954190526
VT0_1 VT0 1 7000 16614 12300 -4314 -0.75
VT0_1 VT0 1 7100 16549 11791 -4758 -0.8367921209989447
VT0_1 VT0 1 7200 15673 11878 -3795 -0.6560069144338807
VT0_1 VT0 1 7300 16374 11799 -4575 -0.8047493403693932
VT0_1 VT0 1 7400 18514 12415 -6099 -1.0752820874471085
VT0_1 VT0 1 7500 17514 12076 -5438 -0.9424610051993068
VT0_1 VT0 1 7600 16902 11661 -5241 -0.9172208610430521
VT0_1 VT0 1 7700 16877 11999 -4878 -0.8647402942740648
VT0_1 VT0 1 7800 15043 12061 -2982 -0.521511017838405
VT0_1 VT0 1 7900 15846 12621 -3225 -0.5635156386510571
VT0_1 VT0 1 8000 15763 13109 -2654 -0.4697345132743363
VT0_1 VT0 1 8100 15956 12383 -3573 -0.6288278775079198
VT0_1 VT0 1 8200 16337 11470 -4867 -0.8646295967312133
VT0_1 VT0 1 8300 16558 12412 -4146 -0.721294363256785
VT0_1 VT0 1 8400 16290 11616 -4674 -0.8338983050847457
VT0_1 VT0 1 8500 16780 11838 -4942 -0.8875718390804598
VT0_1 VT0 1 8600 17393 11920 -5473 -0.9513297410046933
VT0_1 VT0 1 8700 16401 11611 -4790 -0.8326090735268555
VT0_1 VT0 1 8800 16883 11551 -5332 -0.9202623403520883
VT0_1 VT0 1 8900 16115 11958 -4157 -0.7212005551700208
VT0_1 VT0 1 9000 16323 11356 -4967 -0.861130374479889
VT0_1 VT0 1 9100 16010 12375 -3635 -0.6427939876215738
VT0_1 VT0 1 9200 16445 12124 -4321 -0.7606055271959162
VT0_1 VT0 1 9300 16451 11594 -4857 -0.8554068333920395
VT0_1 VT0 1 9400 17764 12298 -5466 -0.967433628318584
VT0_1 VT0 1 9500 16341 12163 -4178 -0.7455389007851535
VT0_1 VT0 1 9600 15456 12361 -3095 -0.5528760271525545
VT0_1 VT0 1 9700 16522 12166 -4356 -0.7701555869872702
VT0_1 VT0 1 9800 17294 12552 -4742 -0.8381053375751149
VT0_1 VT0 1 9900 17584 12807 -4777 -0.8404292751583392
VT0_1 VT0 1 10000 17315 11603 -5712 -0.9984268484530676
VT0_1 VT0 1 10100 16021 12500 -3521 -0.6087482710926694
VT0_1 VT0 1 10200 15266 11556 -3710 -0.6426468040879958
VT0_1 VT0 1 10300 16585 11926 -4659 -0.8159369527145359
VT0_1 VT0 1 10400 17130 12264 -4866 -0.8506993006993007
VT0_1 VT0 1 10500 16788 12550 -4238 -0.7429873772791024
VT0_1 VT0 1 10600 16204 11346 -4858 -0.8601274787535411
VT0_1 VT0 1 10700 16300 12604 -3696 -0.6552029781953554
VT0_1 VT0 1 10800 17171 12563 -4608 -0.8016701461377871
VT0_1 VT0 1 10900 16394 12051 -4343 -0.7763675366464069
VT0_1 VT0 1 11000 17252 12276 -4976 -0.8869875222816399
VT0_1 VT0 1 11100 16228 12091 -4137 -0.7216117216117216
VT0_1 VT0 1 11200 16539 12695 -3844 -0.6605946038838288
VT0_1 VT0 1 11300 16299 12827 -3472 -0.6174639871954473
VT0_1 VT0 1 11400 16975 11756 -5219 -0.9279871977240398
VT0_1 VT0 1 11500 17247 11723 -5524 -0.9860764012852553
VT0_1 VT0 1 11600 16783 10954 -5829 -1.0300406432231843
VT0_1 VT0 1 11700 16482 11414 -5068 -0.875756004838431
VT0_1 VT0 1 11800 16933 11559 -5374 -0.9433034930665263
VT0_1 VT0 1 11900 16506 12645 -3861 -0.6699635606454971
VT0_1 VT0 1 12000 15870 12925 -2945 -0.5157618213660246
VT0_1 VT0 1 12100 15716 12847 -2869 -0.507787610619469
VT0_1 VT0 1 12200 16627 13173 -3454 -0.6036350926249563
VT0_1 VT0 1 12300 17664 11930 -5734 -0.991869918699187
VT0_1 VT0 1 12400 16516 11573 -4943 -0.8608498780912573
VT0_1 VT0 1 12500 16916 12194 -4722 -0.8316308559351885
VT0_1 VT0 1 12600 17014 12564 -4450 -0.780975780975781
VT0_1 VT0 1 12700 16965 11077 -5888 -1.0195670995670996
VT0_1 VT0 1 12800 17284 11858 -5426 -0.9441447711849661
VT0_1 VT0 1 12900 16666 12398 -4268 -0.760648725717341
VT0_1 VT0 1 13000 16202 12313 -3889 -0.6781168265039232
VT0_1 VT0 1 13100 15686 12052 -3634 -0.6327703290962912
