uid treatment rep update task count partner
CPU_TRANSFER_CHANCE0.6AMOUNT4_1 CPU_TRANSFER_CHANCE0.6AMOUNT4 1 0 NOT 0 Host
CPU_TRANSFER_CHANCE0.6AMOUNT4_1 CPU_TRANSFER_CHANCE0.6AMOUNT4 1 0 NOT 0 Parasite
CPU_TRANSFER_CHANCE0.6AMOUNT4_1 CPU_TRANSFER_CHANCE0.6AMOUNT4 1 0 NAND 0 Host
CPU_TRANSFER_CHANCE0.6AMOUNT4_1 CPU_TRANSFER_CHANCE0.6AMOUNT4 1 0 NAND 0 Parasite
CPU_TRANSFER_CHANCE0.6AMOUNT4_1 CPU_TRANSFER_CHANCE0.6AMOUNT4 1 0 AND 0 Host
CPU_TRANSFER_CHANCE0.6AMOUNT4_1 CPU_TRANSFER_CHANCE0.6AMOUNT4 1 0 AND 0 Parasite
CPU_TRANSFER_CHANCE0.6AMOUNT4_1 CPU_TRANSFER_CHANCE0.6AMOUNT4 1 0 ORN 0 Host
CPU_TRANSFER_CHANCE0.6AMOUNT4_1 CPU_TRANSFER_CHANCE0.6AMOUNT4 1 0 ORN 0 Parasite
CPU_TRANSFER_CHANCE0.6AMOUNT4_1 CPU_TRANSFER_CHANCE0.6AMOUNT4 1 0 OR 0 Host
CPU_TRANSFER_CHANCE0.6AMOUNT4_1 CPU_TRANSFER_CHANCE0.6AMOUNT4 1 0 OR 0 Parasite
CPU_TRANSFER_CHANCE0.6AMOUNT4_1 CPU_TRANSFER_CHANCE0.6AMOUNT4 1 0 ANDN 0 Host
CPU_TRANSFER_CHANCE0.6AMOUNT4_1 CPU_TRANSFER_CHANCE0.6AMOUNT4 1 0 ANDN 0 Parasite
CPU_TRANSFER_CHANCE0.6AMOUNT4_1 CPU_TRANSFER_CHANCE0.6AMOUNT4 1 0 NOR 0 Host
CPU_TRANSFER_CHANCE0.6AMOUNT4_1 CPU_TRANSFER_CHANCE0.6AMOUNT4 1 0 NOR 0 Parasite
CPU_TRANSFER_CHANCE0.6AMOUNT4_1 CPU_TRANSFER_CHANCE0.6AMOUNT4 1 0 XOR 0 Host
CPU_TRANSFER_CHANCE0.6AMOUNT4_1 CPU_TRANSFER_CHANCE0.6AMOUNT4 1 0 XOR 0 Parasite
CPU_TRANSFER_CHANCE0.6AMOUNT4_1 CPU_TRANSFER_CHANCE0.6AMOUNT4 1 0 EQU 0 Host
CPU_TRANSFER_CHANCE0.6AMOUNT4_1 CPU_TRANSFER_CHANCE0.6AMOUNT4 1 0 EQU 0 Parasite
CPU_TRANSFER_CHANCE0.6AMOUNT4_1 CPU_TRANSFER_CHANCE0.6AMOUNT4 1 100 NOT 9944 Host
CPU_TRANSFER_CHANCE0.6AMOUNT4_1 CPU_TRANSFER_CHANCE0.6AMOUNT4 1 100 NOT 31711 Parasite
CPU_TRANSFER_CHANCE0.6AMOUNT4_1 CPU_TRANSFER_CHANCE0.6AMOUNT4 1 100 NAND 0 Host
CPU_TRANSFER_CHANCE0.6AMOUNT4_1 CPU_TRANSFER_CHANCE0.6AMOUNT4 1 100 NAND 0 Parasite
CPU_TRANSFER_CHANCE0.6AMOUNT4_1 CPU_TRANSFER_CHANCE0.6AMOUNT4 1 100 AND 0 Host
CPU_TRANSFER_CHANCE0.6AMOUNT4_1 CPU_TRANSFER_CHANCE0.6AMOUNT4 1 100 AND 0 Parasite
CPU_TRANSFER_CHANCE0.6AMOUNT4_1 CPU_TRANSFER_CHANCE0.6AMOUNT4 1 100 ORN 0 Host
CPU_TRANSFER_CHANCE0.6AMOUNT4_1 CPU_TRANSFER_CHANCE0.6AMOUNT4 1 100 ORN 0 Parasite
CPU_TRANSFER_CHANCE0.6AMOUNT4_1 CPU_TRANSFER_CHANCE0.6AMOUNT4 1 100 OR 0 Host
