uid treatment rep update steal_count donate_count difference
VT0_1 VT0 1 0 0 0 0
VT0_1 VT0 1 100 0 63072 63072
VT0_1 VT0 1 200 97 47879 47782
VT0_1 VT0 1 300 182 38375 38193
VT0_1 VT0 1 400 202 31760 31558
VT0_1 VT0 1 500 224 32140 31916
VT0_1 VT0 1 600 221 21783 21562
VT0_1 VT0 1 700 212 14247 14035
VT0_1 VT0 1 800 215 10723 10508
VT0_1 VT0 1 900 247 8285 8038
VT0_1 VT0 1 1000 230 7062 6832
VT0_1 VT0 1 1100 144 5787 5643
VT0_1 VT0 1 1200 152 3831 3679
VT0_1 VT0 1 1300 100 2842 2742
VT0_1 VT0 1 1400 133 2365 2232
VT0_1 VT0 1 1500 158 2021 1863
VT0_1 VT0 1 1600 107 1976 1869
VT0_1 VT0 1 1700 118 1717 1599
VT0_1 VT0 1 1800 113 1350 1237
VT0_1 VT0 1 1900 132 1114 982
VT0_1 VT0 1 2000 125 1059 934
VT0_1 VT0 1 2100 113 985 872
VT0_1 VT0 1 2200 71 718 647
VT0_1 VT0 1 2300 81 565 484
VT0_1 VT0 1 2400 56 362 306
VT0_1 VT0 1 2500 37 188 151
VT0_1 VT0 1 2600 7 65 58
VT0_1 VT0 1 2700 10 44 34
VT0_1 VT0 1 2800 11 24 13
VT0_1 VT0 1 2900 1 6 5
VT0_1 VT0 1 3000 1 1 0
VT0_1 VT0 1 3100 0 0 0
VT0_1 VT0 1 3200 0 0 0
VT0_1 VT0 1 3300 0 0 0
VT0_1 VT0 1 3400 0 0 0
VT0_1 VT0 1 3500 0 0 0
VT0_1 VT0 1 3600 0 0 0
VT0_1 VT0 1 3700 0 0 0
VT0_1 VT0 1 3800 0 0 0
VT0_1 VT0 1 3900 0 0 0
VT0_1 VT0 1 4000 0 0 0
VT0_1 VT0 1 4100 0 0 0
VT0_1 VT0 1 4200 0 0 0
VT0_1 VT0 1 4300 0 0 0
VT0_1 VT0 1 4400 0 0 0
VT0_1 VT0 1 4500 0 0 0
VT0_1 VT0 1 4600 0 0 0
VT0_1 VT0 1 4700 0 0 0
VT0_1 VT0 1 4800 0 0 0
VT0_1 VT0 1 4900 0 0 0
VT0_1 VT0 1 5000 0 0 0
VT0_1 VT0 1 5100 0 0 0
VT0_1 VT0 1 5200 0 0 0
VT0_1 VT0 1 5300 0 0 0
VT0_1 VT0 1 5400 0 0 0
VT0_1 VT0 1 5500 0 0 0
VT0_1 VT0 1 5600 0 0 0
VT0_1 VT0 1 5700 0 0 0
VT0_1 VT0 1 5800 0 0 0
VT0_1 VT0 1 5900 0 0 0
VT0_1 VT0 1 6000 0 0 0
VT0_1 VT0 1 6100 0 0 0
VT0_1 VT0 1 6200 0 0 0
VT0_1 VT0 1 6300 0 0 0
VT0_1 VT0 1 6400 0 0 0
VT0_1 VT0 1 6500 0 0 0
VT0_1 VT0 1 6600 0 0 0
VT0_1 VT0 1 6700 0 0 0
VT0_1 VT0 1 6800 0 0 0
VT0_1 VT0 1 6900 0 0 0
VT0_1 VT0 1 7000 0 0 0
VT0_1 VT0 1 7100 0 0 0
VT0_1 VT0 1 7200 0 0 0
VT0_1 VT0 1 7300 0 0 0
VT0_1 VT0 1 7400 0 0 0
VT0_1 VT0 1 7500 0 0 0
VT0_1 VT0 1 7600 0 0 0
VT0_1 VT0 1 7700 0 0 0
VT0_1 VT0 1 7800 0 0 0
VT0_1 VT0 1 7900 0 0 0
VT0_1 VT0 1 8000 0 0 0
VT0_1 VT0 1 8100 0 0 0
VT0_1 VT0 1 8200 0 0 0
VT0_1 VT0 1 8300 0 0 0
VT0_1 VT0 1 8400 0 0 0
VT0_1 VT0 1 8500 0 0 0
VT0_1 VT0 1 8600 0 0 0
VT0_1 VT0 1 8700 0 0 0
VT0_1 VT0 1 8800 0 0 0
VT0_1 VT0 1 8900 0 0 0
VT0_1 VT0 1 9000 0 0 0
VT0_1 VT0 1 9100 0 0 0
VT0_1 VT0 1 9200 0 0 0
VT0_1 VT0 1 9300 0 0 0
VT0_1 VT0 1 9400 0 0 0
VT0_1 VT0 1 9500 0 0 0
VT0_1 VT0 1 9600 0 0 0
VT0_1 VT0 1 9700 0 0 0
VT0_1 VT0 1 9800 0 0 0
VT0_1 VT0 1 9900 0 0 0
VT0_1 VT0 1 10000 0 0 0
VT0_1 VT0 1 10100 0 0 0
VT0_1 VT0 1 10200 0 0 0
VT0_1 VT0 1 10300 0 0 0
VT0_1 VT0 1 10400 0 0 0
VT0_1 VT0 1 10500 0 0 0
VT0_1 VT0 1 10600 0 0 0
VT0_1 VT0 1 10700 0 0 0
VT0_1 VT0 1 10800 0 0 0
VT0_1 VT0 1 10900 0 0 0
VT0_1 VT0 1 11000 0 0 0
VT0_1 VT0 1 11100 0 0 0
VT0_1 VT0 1 11200 0 0 0
VT0_1 VT0 1 11300 0 0 0
VT0_1 VT0 1 11400 0 0 0
VT0_1 VT0 1 11500 0 0 0
VT0_1 VT0 1 11600 0 0 0
VT0_1 VT0 1 11700 0 0 0
VT0_1 VT0 1 11800 0 0 0
VT0_1 VT0 1 11900 0 0 0
VT0_1 VT0 1 12000 0 0 0
VT0_1 VT0 1 12100 0 0 0
VT0_1 VT0 1 12200 0 0 0
VT0_1 VT0 1 12300 0 0 0
VT0_1 VT0 1 12400 0 0 0
VT0_1 VT0 1 12500 0 0 0
VT0_1 VT0 1 12600 0 0 0
VT0_1 VT0 1 12700 0 0 0
VT0_1 VT0 1 12800 0 0 0
VT0_1 VT0 1 12900 0 0 0
VT0_1 VT0 1 13000 0 0 0
