update,host_task_NOT,sym_task_NOT,host_task_NAND,sym_task_NAND,host_task_AND,sym_task_AND,host_task_ORN,sym_task_ORN,host_task_OR,sym_task_OR,host_task_ANDN,sym_task_ANDN,host_task_NOR,sym_task_NOR,host_task_XOR,sym_task_XOR,host_task_EQU,sym_task_EQU
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,9996,40000,0,0,3,4,0,4,3,3,0,3,0,0,0,0,0,0
200,9996,40000,0,0,2,11,0,2,1,11,1,3,0,0,0,0,0,0
300,9995,40000,0,0,1,14,0,5,4,6,0,1,0,0,0,0,0,0
400,9988,40000,0,0,6,8,1,3,5,12,0,3,0,0,0,0,0,0
500,9996,39999,0,0,2,6,1,6,0,4,1,7,0,0,0,0,0,0
600,9991,34035,1,0,3,4,3,3,0,6,2,4,0,0,0,0,0,0
700,9995,32278,0,1,1,6,1,4,2,9,1,2,0,0,0,0,0,0
800,9994,32278,0,0,0,10,1,0,4,7,1,6,0,0,0,0,0,0
900,9992,32282,0,0,2,11,3,3,2,5,1,2,0,1,0,0,0,0
1000,9997,32279,0,0,1,6,2,1,0,3,0,6,0,0,0,0,0,0
