parent_task_completions,host_count,symbiont_count,can_inf_hosts,can_inf_symbionts
000010001,1,0,229,0
000010101,1,0,237,0
000011001,1,0,243,0
000010010,2,0,43,0
000000011,1,0,199,0
000000010,3,0,5,0
000111000,2,0,63,0
000011010,1,0,58,0
000000000,9740,0,0,0
000110100,2,0,60,0
000000001,180,0,13,0
000010000,15,0,25,0
000100100,1,0,39,0
000010100,8,0,45,0
000001000,12,0,11,0
000101000,1,0,37,0
000001001,1,0,213,0
000000101,4,0,209,0
000000100,7,0,19,0
000001010,1,0,28,0
000100000,5,0,13,0
000100001,3,0,204,0
000110000,3,0,48,0
000011100,2,0,66,0
000011000,2,0,53,0
000100101,1,0,223,0
