parent_task_completions,host_count,symbiont_count,can_inf_hosts,can_inf_symbionts
000000101,1,0,208,53
000001001,1,0,198,54
000001101,0,1,223,56
000100010,1,0,28,8
000011000,2,1,47,16
000010010,1,0,45,18
000101010,2,0,41,14
000010101,1,0,224,61
000010001,4,1,205,58
000001011,1,0,206,59
000000000,9754,113,0,0
000110100,3,1,57,15
000001100,2,1,46,9
000000001,169,46,10,2
000000100,13,1,19,5
000100000,4,1,15,1
000100001,1,0,196,50
000001010,0,1,31,11
000110000,3,0,41,13
000011100,1,1,63,17
000011010,1,0,56,22
000111000,1,0,55,18
000000010,6,5,7,1
000000011,1,0,189,54
000100100,1,0,43,7
000010100,7,1,45,14
000001000,8,2,14,5
000111100,3,0,67,19
000010000,8,7,27,5
