update,count,hosted_syms
0,10000,10000
100,10000,10000
200,10000,10000
300,10000,10000
400,10000,10000
500,10000,9975
600,10000,8202
700,10000,8213
800,10000,8214
900,10000,8213
1000,10000,8211
1100,10000,6815
1200,10000,6856
1300,10000,6857
1400,10000,6856
1500,10000,6856
1600,10000,5557
1700,10000,5802
1800,10000,5807
1900,10000,5809
2000,10000,5810
2100,10000,4735
2200,10000,4991
2300,10000,5006
2400,10000,5006
2500,10000,5006
2600,10000,4946
2700,10000,4360
2800,10000,4426
2900,10000,4428
3000,10000,4430
3100,10000,4417
3200,10000,3837
3300,10000,3952
3400,10000,3964
3500,10000,3964
3600,10000,3965
3700,10000,3302
3800,10000,3588
3900,10000,3632
4000,10000,3633
4100,10000,3632
4200,10000,3029
4300,10000,3307
4400,10000,3370
4500,10000,3387
4600,10000,3388
4700,10000,3330
4800,10000,3017
4900,10000,3164
5000,10000,3208
5100,10000,3216
5200,10000,3195
5300,10000,2822
5400,10000,2977
5500,10000,3033
5600,10000,3052
5700,10000,3058
5800,10000,2600
5900,10000,2836
6000,10000,2901
6100,10000,2931
6200,10000,2952
6300,10000,2550
6400,10000,2703
6500,10000,2791
6600,10000,2830
6700,10000,2837
6800,10000,2803
6900,10000,2527
7000,10000,2629
7100,10000,2646
7200,10000,2639
7300,10000,2632
7400,10000,2532
7500,10000,2525
7600,10000,2516
7700,10000,2477
7800,10000,2450
7900,10000,2373
8000,10000,2330
8100,10000,2289
8200,10000,2226
8300,10000,2179
8400,10000,2103
8500,10000,2033
8600,10000,1979
8700,10000,1926
8800,10000,1874
8900,10000,1813
9000,10000,1743
9100,10000,1710
9200,10000,1685
9300,10000,1632
9400,10000,1584
9500,10000,1530
9600,10000,1488
9700,10000,1455
9800,10000,1407
9900,10000,1371
10000,10000,1324
10100,10000,1291
10200,10000,1247
10300,10000,1217
10400,10000,1178
10500,10000,1148
10600,10000,1122
10700,10000,1098
10800,10000,1073
10900,10000,1050
11000,10000,1026
11100,10000,991
11200,10000,964
11300,10000,943
11400,10000,917
11500,10000,887
11600,10000,867
11700,10000,851
11800,10000,832
11900,10000,813
12000,10000,785
12100,10000,774
12200,10000,746
12300,10000,732
12400,10000,715
12500,10000,693
12600,10000,672
12700,10000,648
12800,10000,641
12900,10000,623
13000,10000,614
13100,10000,602
13200,10000,590
13300,10000,582
13400,10000,577
13500,10000,555
13600,10000,549
13700,10000,542
13800,10000,529
13900,10000,516
14000,10000,505
14100,10000,496
14200,10000,475
14300,10000,466
14400,10000,456
14500,10000,455
14600,10000,438
14700,10000,430
14800,10000,413
14900,10000,408
15000,10000,403
15100,10000,394
15200,10000,392
15300,10000,380
15400,10000,375
15500,10000,369
15600,10000,361
15700,10000,356
15800,10000,347
15900,10000,344
16000,10000,342
16100,10000,334
16200,10000,328
16300,10000,326
16400,10000,321
16500,10000,312
16600,10000,307
16700,10000,306
16800,10000,300
16900,10000,297
17000,10000,292
17100,10000,285
17200,10000,285
17300,10000,282
17400,10000,280
17500,10000,274
17600,10000,270
17700,10000,261
17800,10000,256
17900,10000,247
18000,10000,241
18100,10000,237
18200,10000,235
18300,10000,230
18400,10000,226
18500,10000,227
18600,10000,227
18700,10000,224
18800,10000,218
18900,10000,218
19000,10000,216
19100,10000,217
19200,10000,220
19300,10000,221
19400,10000,219
19500,10000,208
19600,10000,198
19700,10000,194
19800,10000,190
19900,10000,185
20000,10000,186
20100,10000,188
20200,10000,183
20300,10000,183
20400,10000,181
20500,10000,182
20600,10000,179
20700,10000,184
20800,10000,180
20900,10000,180
21000,10000,181
21100,10000,176
21200,10000,179
21300,10000,176
21400,10000,175
21500,10000,171
21600,10000,167
21700,10000,160
21800,10000,156
21900,10000,154
22000,10000,152
22100,10000,150
22200,10000,148
22300,10000,149
22400,10000,147
22500,10000,148
22600,10000,145
22700,10000,144
22800,10000,149
22900,10000,148
23000,10000,150
23100,10000,146
23200,10000,145
23300,10000,147
23400,10000,142
23500,10000,150
23600,10000,156
23700,10000,153
23800,10000,157
23900,10000,158
24000,10000,167
24100,10000,175
24200,10000,173
24300,10000,173
24400,10000,176
24500,10000,172
24600,10000,178
24700,10000,177
24800,10000,180
24900,10000,187
25000,10000,185
25100,10000,183
25200,10000,189
25300,10000,188
25400,10000,196
25500,10000,200
25600,10000,199
25700,10000,199
25800,10000,197
25900,10000,197
26000,10000,204
26100,10000,201
26200,10000,192
26300,10000,190
26400,10000,199
26500,10000,200
26600,10000,199
26700,10000,196
26800,10000,193
26900,10000,192
27000,10000,196
27100,10000,192
27200,10000,193
27300,10000,189
27400,10000,188
27500,10000,186
27600,10000,190
27700,10000,189
27800,10000,194
27900,10000,192
28000,10000,197
28100,10000,189
28200,10000,196
28300,10000,200
28400,10000,196
28500,10000,195
28600,10000,185
28700,10000,176
