update,count,hosted_syms
0,10000,10000
100,10000,10000
200,10000,10000
300,10000,10000
400,10000,10000
500,10000,9963
600,10000,8215
700,10000,8221
800,10000,8220
900,10000,8220
1000,10000,8219
1100,10000,6761
1200,10000,6794
1300,10000,6793
1400,10000,6792
1500,10000,6791
1600,10000,5497
1700,10000,5708
1800,10000,5709
1900,10000,5712
2000,10000,5711
2100,10000,4647
2200,10000,4912
2300,10000,4926
2400,10000,4923
2500,10000,4925
2600,10000,4861
2700,10000,4222
2800,10000,4304
2900,10000,4305
3000,10000,4299
3100,10000,4290
3200,10000,3767
3300,10000,3894
3400,10000,3910
3500,10000,3909
3600,10000,3909
3700,10000,3267
3800,10000,3529
3900,10000,3568
4000,10000,3575
4100,10000,3572
4200,10000,2987
4300,10000,3269
4400,10000,3345
4500,10000,3360
4600,10000,3353
4700,10000,3301
4800,10000,3017
4900,10000,3152
5000,10000,3181
5100,10000,3190
5200,10000,3178
5300,10000,2786
5400,10000,2957
5500,10000,3024
5600,10000,3040
5700,10000,3043
5800,10000,2605
5900,10000,2805
6000,10000,2901
6100,10000,2943
6200,10000,2954
6300,10000,2487
6400,10000,2693
6500,10000,2818
6600,10000,2874
6700,10000,2881
6800,10000,2817
6900,10000,2563
7000,10000,2712
7100,10000,2777
7200,10000,2810
7300,10000,2799
7400,10000,2503
7500,10000,2641
7600,10000,2718
7700,10000,2768
7800,10000,2781
7900,10000,2400
8000,10000,2575
8100,10000,2675
8200,10000,2712
8300,10000,2748
8400,10000,2422
8500,10000,2521
8600,10000,2632
8700,10000,2675
8800,10000,2708
8900,10000,2663
9000,10000,2453
9100,10000,2597
9200,10000,2665
9300,10000,2699
9400,10000,2696
9500,10000,2381
9600,10000,2483
9700,10000,2540
9800,10000,2595
9900,10000,2616
10000,10000,2308
10100,10000,2438
10200,10000,2524
10300,10000,2582
10400,10000,2615
10500,10000,2399
10600,10000,2404
10700,10000,2511
10800,10000,2570
10900,10000,2602
11000,10000,2586
11100,10000,2393
11200,10000,2486
11300,10000,2549
11400,10000,2580
11500,10000,2589
11600,10000,2397
11700,10000,2497
11800,10000,2548
11900,10000,2578
12000,10000,2598
12100,10000,2452
12200,10000,2509
12300,10000,2571
12400,10000,2606
12500,10000,2621
12600,10000,2592
12700,10000,2548
12800,10000,2605
12900,10000,2648
13000,10000,2664
13100,10000,2642
13200,10000,2553
13300,10000,2593
13400,10000,2626
13500,10000,2631
13600,10000,2633
13700,10000,2565
13800,10000,2570
13900,10000,2585
14000,10000,2562
14100,10000,2527
14200,10000,2452
14300,10000,2418
14400,10000,2413
14500,10000,2407
14600,10000,2403
14700,10000,2355
14800,10000,2290
14900,10000,2291
15000,10000,2290
15100,10000,2265
15200,10000,2249
15300,10000,2182
15400,10000,2162
15500,10000,2156
15600,10000,2155
15700,10000,2127
15800,10000,2075
15900,10000,2063
16000,10000,2052
16100,10000,2029
16200,10000,2001
16300,10000,1977
16400,10000,1960
16500,10000,1949
16600,10000,1948
16700,10000,1941
16800,10000,1905
16900,10000,1864
17000,10000,1838
17100,10000,1807
17200,10000,1792
17300,10000,1782
17400,10000,1758
17500,10000,1736
17600,10000,1733
17700,10000,1725
17800,10000,1706
17900,10000,1675
18000,10000,1655
18100,10000,1645
18200,10000,1644
18300,10000,1634
18400,10000,1607
18500,10000,1596
18600,10000,1583
18700,10000,1570
18800,10000,1553
18900,10000,1543
19000,10000,1526
19100,10000,1507
19200,10000,1488
19300,10000,1493
19400,10000,1486
19500,10000,1466
19600,10000,1460
19700,10000,1432
19800,10000,1421
19900,10000,1432
20000,10000,1424
20100,10000,1429
20200,10000,1420
20300,10000,1399
20400,10000,1365
20500,10000,1359
20600,10000,1341
20700,10000,1334
20800,10000,1312
20900,10000,1290
21000,10000,1274
21100,10000,1254
21200,10000,1247
21300,10000,1236
21400,10000,1238
21500,10000,1239
21600,10000,1246
21700,10000,1230
21800,10000,1225
21900,10000,1219
22000,10000,1224
22100,10000,1203
22200,10000,1197
22300,10000,1213
22400,10000,1194
22500,10000,1191
22600,10000,1158
22700,10000,1138
22800,10000,1124
22900,10000,1121
23000,10000,1102
23100,10000,1097
23200,10000,1085
23300,10000,1086
23400,10000,1079
23500,10000,1078
23600,10000,1060
23700,10000,1054
23800,10000,1050
23900,10000,1038
24000,10000,1015
24100,10000,1007
24200,10000,1017
24300,10000,1010
24400,10000,1007
24500,10000,1006
24600,10000,983
24700,10000,975
24800,10000,965
24900,10000,969
25000,10000,962
25100,10000,948
25200,10000,936
25300,10000,934
25400,10000,926
25500,10000,921
25600,10000,896
25700,10000,905
25800,10000,905
25900,10000,911
26000,10000,899
26100,10000,895
26200,10000,879
26300,10000,890
26400,10000,900
26500,10000,902
26600,10000,892
26700,10000,897
26800,10000,902
26900,10000,902
27000,10000,890
