update,sym_points_earned,sym_donate_calls,sym_points_donated,sym_steal_calls,sym_points_stolen
0,0,0,0,0,0
100,200020,0,0,0,0
200,200145,0,0,0,0
300,200090,0,0,0,0
400,200090,0,0,0,0
500,200070,0,0,0,0
600,170050,0,0,0,0
700,160950,0,0,0,0
800,160880,0,0,0,0
900,160880,0,0,0,0
1000,160890,0,0,0,0
1100,145345,0,0,0,0
1200,131040,0,0,0,0
1300,131105,0,0,0,0
1400,131105,0,0,0,0
1500,131075,0,0,0,0
1600,124310,0,0,0,0
1700,106770,0,0,0,0
1800,107210,0,0,0,0
1900,107235,0,0,0,0
2000,107255,0,0,0,0
2100,106915,0,0,0,0
2200,87585,0,0,0,0
2300,88250,0,0,0,0
2400,88240,0,0,0,0
2500,88220,0,0,0,0
2600,88155,0,0,0,0
2700,76020,0,0,0,0
2800,73740,0,0,0,0
2900,73960,0,0,0,0
3000,74025,0,0,0,0
3100,73995,0,0,0,0
3200,67090,0,0,0,0
3300,62215,0,0,0,0
3400,62515,0,0,0,0
3500,62515,0,0,0,0
3600,62480,0,0,0,0
3700,59335,0,0,0,0
3800,52525,0,0,0,0
3900,53585,0,0,0,0
4000,53550,0,0,0,0
4100,53510,0,0,0,0
4200,53205,0,0,0,0
4300,45095,0,0,0,0
4400,46350,0,0,0,0
4500,46625,0,0,0,0
4600,46680,0,0,0,0
4700,46655,0,0,0,0
4800,40550,0,0,0,0
4900,40310,0,0,0,0
5000,40865,0,0,0,0
5100,41005,0,0,0,0
5200,40970,0,0,0,0
5300,37510,0,0,0,0
5400,35625,0,0,0,0
5500,36330,0,0,0,0
5600,36555,0,0,0,0
5700,36550,0,0,0,0
5800,34790,0,0,0,0
5900,31635,0,0,0,0
6000,32575,0,0,0,0
6100,32820,0,0,0,0
6200,32895,0,0,0,0
6300,32600,0,0,0,0
6400,27800,0,0,0,0
6500,28795,0,0,0,0
6600,29085,0,0,0,0
6700,29225,0,0,0,0
6800,29320,0,0,0,0
6900,26215,0,0,0,0
7000,26535,0,0,0,0
7100,27115,0,0,0,0
7200,27355,0,0,0,0
7300,27430,0,0,0,0
7400,25065,0,0,0,0
7500,23810,0,0,0,0
7600,24595,0,0,0,0
7700,25125,0,0,0,0
7800,25245,0,0,0,0
7900,24240,0,0,0,0
8000,22200,0,0,0,0
8100,23010,0,0,0,0
8200,23485,0,0,0,0
8300,23695,0,0,0,0
8400,23390,0,0,0,0
8500,20525,0,0,0,0
8600,21570,0,0,0,0
8700,22110,0,0,0,0
8800,22280,0,0,0,0
8900,22310,0,0,0,0
9000,19980,0,0,0,0
9100,19950,0,0,0,0
9200,20330,0,0,0,0
9300,20635,0,0,0,0
9400,20710,0,0,0,0
9500,19435,0,0,0,0
9600,18545,0,0,0,0
9700,19385,0,0,0,0
9800,19770,0,0,0,0
9900,20030,0,0,0,0
10000,19610,0,0,0,0
10100,18355,0,0,0,0
10200,18915,0,0,0,0
10300,19295,0,0,0,0
10400,19620,0,0,0,0
10500,19585,0,0,0,0
10600,18315,0,0,0,0
10700,18820,0,0,0,0
10800,19190,0,0,0,0
10900,19490,0,0,0,0
11000,19745,0,0,0,0
11100,18595,0,0,0,0
11200,18365,0,0,0,0
11300,18800,0,0,0,0
11400,19130,0,0,0,0
11500,19465,0,0,0,0
11600,18900,0,0,0,0
