update,sym_points_earned,sym_donate_calls,sym_points_donated,sym_steal_calls,sym_points_stolen
0,0,0,0,0,0
100,200075,0,0,0,0
200,200085,0,0,0,0
300,200060,0,0,0,0
400,200115,0,0,0,0
500,200160,0,0,0,0
600,170395,0,0,0,0
700,161490,0,0,0,0
800,161470,0,0,0,0
900,161485,0,0,0,0
1000,161440,0,0,0,0
1100,145580,0,0,0,0
1200,130900,0,0,0,0
1300,130935,0,0,0,0
1400,130920,0,0,0,0
1500,130895,0,0,0,0
1600,124265,0,0,0,0
1700,106575,0,0,0,0
1800,106975,0,0,0,0
1900,106935,0,0,0,0
2000,106895,0,0,0,0
2100,106605,0,0,0,0
2200,87940,0,0,0,0
2300,88810,0,0,0,0
2400,88825,0,0,0,0
2500,88795,0,0,0,0
2600,88675,0,0,0,0
2700,76405,0,0,0,0
2800,73975,0,0,0,0
2900,74235,0,0,0,0
3000,74145,0,0,0,0
3100,74075,0,0,0,0
3200,67570,0,0,0,0
3300,62715,0,0,0,0
3400,62915,0,0,0,0
3500,62885,0,0,0,0
3600,62825,0,0,0,0
3700,59705,0,0,0,0
3800,52890,0,0,0,0
3900,53760,0,0,0,0
4000,53935,0,0,0,0
4100,53865,0,0,0,0
4200,53515,0,0,0,0
4300,44615,0,0,0,0
4400,45550,0,0,0,0
4500,45825,0,0,0,0
4600,45775,0,0,0,0
4700,45630,0,0,0,0
4800,39750,0,0,0,0
4900,39415,0,0,0,0
5000,39830,0,0,0,0
5100,39980,0,0,0,0
5200,39985,0,0,0,0
5300,36555,0,0,0,0
5400,34765,0,0,0,0
5500,35455,0,0,0,0
5600,35580,0,0,0,0
5700,35580,0,0,0,0
5800,33880,0,0,0,0
5900,30615,0,0,0,0
6000,31605,0,0,0,0
6100,31890,0,0,0,0
6200,32010,0,0,0,0
6300,31870,0,0,0,0
6400,27720,0,0,0,0
6500,28590,0,0,0,0
6600,28875,0,0,0,0
6700,28955,0,0,0,0
6800,29015,0,0,0,0
6900,25630,0,0,0,0
7000,25710,0,0,0,0
7100,26305,0,0,0,0
7200,26560,0,0,0,0
7300,26665,0,0,0,0
7400,24825,0,0,0,0
7500,23805,0,0,0,0
7600,24570,0,0,0,0
7700,24800,0,0,0,0
7800,24920,0,0,0,0
7900,23700,0,0,0,0
8000,21800,0,0,0,0
