update,host_task_NOT,sym_task_NOT,host_task_NAND,sym_task_NAND,host_task_AND,sym_task_AND,host_task_ORN,sym_task_ORN,host_task_OR,sym_task_OR,host_task_ANDN,sym_task_ANDN,host_task_NOR,sym_task_NOR,host_task_XOR,sym_task_XOR,host_task_EQU,sym_task_EQU
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,10001,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
200,9991,0,0,0,3,0,0,0,4,0,2,0,0,0,0,0,0,0
300,9996,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0
400,9995,0,0,0,3,0,1,0,1,0,0,0,0,0,0,0,0,0
500,9990,0,0,0,4,0,0,0,3,0,3,0,0,0,0,0,0,0
600,9993,0,0,0,4,0,1,0,1,0,1,0,0,0,0,0,0,0
700,9993,0,1,0,2,0,1,0,2,0,1,0,0,0,0,0,0,0
800,9985,0,3,0,5,0,0,0,6,0,1,0,0,0,0,0,0,0
900,9990,0,2,0,2,0,1,0,3,0,2,0,0,0,0,0,0,0
1000,9992,0,2,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0
1100,9998,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
1200,9993,0,2,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0
1300,9988,0,3,0,1,0,2,0,4,0,2,0,0,0,0,0,0,0
1400,9992,0,1,0,1,0,2,0,3,0,1,0,0,0,0,0,0,0
1500,9990,0,0,0,3,0,2,0,4,0,1,0,0,0,0,0,0,0
1600,9983,0,2,0,8,0,3,0,2,0,2,0,0,0,0,0,0,0
1700,9988,0,4,0,2,0,0,0,3,0,3,0,0,0,0,0,0,0
1800,9991,0,4,0,0,0,3,0,1,0,1,0,0,0,0,0,0,0
1900,9989,0,4,0,2,0,2,0,1,0,2,0,0,0,0,0,0,0
2000,9986,0,6,0,2,0,4,0,1,0,1,0,0,0,0,0,0,0
2100,9990,0,6,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
2200,9974,0,16,0,2,0,0,0,8,0,0,0,0,0,0,0,0,0
2300,9970,0,16,0,2,0,5,0,5,0,2,0,0,0,0,0,0,0
2400,9979,0,16,0,1,0,1,0,3,0,0,0,0,0,0,0,0,0
2500,9967,0,16,0,8,0,3,0,5,0,1,0,0,0,0,0,0,0
2600,9978,0,19,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0
2700,9980,0,15,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0
2800,9979,0,12,0,4,0,1,0,2,0,2,0,0,0,0,0,0,0
2900,9973,0,14,0,3,0,4,0,5,0,1,0,0,0,0,0,0,0
3000,9971,0,15,0,4,0,0,0,8,0,2,0,0,0,0,0,0,0
3100,9981,0,13,0,2,0,1,0,2,0,1,0,0,0,0,0,0,0
3200,9977,0,14,0,4,0,3,0,2,0,0,0,0,0,0,0,0,0
3300,9973,0,19,0,3,0,2,0,3,0,0,0,0,0,0,0,0,0
3400,9972,0,17,0,3,0,2,0,6,0,0,0,0,0,0,0,0,0
3500,9974,0,18,0,2,0,3,0,2,0,1,0,0,0,0,0,0,0
3600,9975,0,20,0,0,0,2,0,2,0,1,0,0,0,0,0,0,0
3700,9978,0,18,0,0,0,1,0,2,0,1,0,0,0,0,0,0,0
3800,9969,0,16,0,3,0,2,0,10,0,0,0,0,0,0,0,0,0
3900,9978,0,18,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0
4000,9980,0,14,0,0,0,2,0,3,0,1,0,0,0,0,0,0,0
4100,9975,0,16,0,1,0,3,0,3,0,2,0,0,0,0,0,0,0
4200,9974,0,16,0,1,0,2,0,4,0,3,0,0,0,0,0,0,0
4300,9968,0,21,0,2,0,5,0,4,0,0,0,0,0,0,0,0,0
4400,9975,0,19,0,2,0,0,0,2,0,2,0,0,0,0,0,0,0
4500,9975,0,17,0,1,0,1,0,6,0,0,0,0,0,0,0,0,0
4600,9975,0,19,0,2,0,1,0,2,0,1,0,0,0,0,0,0,0
4700,9979,0,15,0,2,0,1,0,3,0,0,0,0,0,0,0,0,0
4800,9971,0,18,0,1,0,6,0,3,0,1,0,0,0,0,0,0,0
4900,9951,0,37,0,3,0,3,0,6,0,0,0,0,0,0,0,0,0
5000,9956,0,32,0,4,0,2,0,5,0,1,0,0,0,0,0,0,0
5100,9955,0,34,0,3,0,1,0,5,0,2,0,0,0,0,0,0,0
5200,9954,0,34,0,3,0,4,0,4,0,1,0,0,0,0,0,0,0
5300,9955,0,30,0,5,0,3,0,4,0,3,0,0,0,0,0,0,0
5400,9952,0,35,0,2,0,6,0,3,0,2,0,0,0,0,0,0,0
5500,9920,0,69,0,5,0,2,0,3,0,0,0,1,0,0,0,0,0
5600,9900,0,86,0,5,0,8,0,0,0,1,0,0,0,0,0,0,0
5700,9902,0,86,0,2,0,4,0,4,0,1,0,1,0,0,0,0,0
5800,9871,0,121,0,1,0,3,0,2,0,2,0,0,0,0,0,0,0
5900,9857,0,134,0,1,0,4,0,2,0,2,0,0,0,0,0,0,0
6000,9797,0,187,0,4,0,4,0,6,0,2,0,0,0,0,0,0,0
6100,9813,0,179,0,1,0,3,0,3,0,1,0,0,0,0,0,0,0
6200,9827,0,162,0,3,0,4,0,2,0,2,0,0,0,0,0,0,0
6300,9843,0,141,0,4,0,6,0,4,0,2,0,0,0,0,0,0,0
6400,9842,0,146,0,2,0,5,0,2,0,3,0,0,0,0,0,0,0
6500,9822,0,161,0,10,0,3,0,3,0,1,0,0,0,0,0,0,0
6600,9853,0,129,0,5,0,4,0,7,0,2,0,0,0,0,0,0,0
6700,9868,0,109,0,8,0,9,0,3,0,3,0,0,0,0,0,0,0
6800,9881,0,100,0,6,0,6,0,6,0,1,0,0,0,0,0,0,0
6900,9837,0,134,0,8,0,10,0,8,0,3,0,0,0,0,0,0,0
7000,9847,0,136,0,4,0,5,0,4,0,4,0,0,0,0,0,0,0
7100,9849,0,135,0,2,0,9,0,3,0,2,0,0,0,0,0,0,0
7200,9859,0,125,0,3,0,11,0,2,0,0,0,0,0,0,0,0,0
7300,9865,0,111,0,5,0,9,0,8,0,2,0,0,0,0,0,0,0
7400,9860,0,123,0,5,0,7,0,2,0,3,0,0,0,0,0,0,0
7500,9838,0,142,0,9,0,7,0,3,0,1,0,0,0,0,0,0,0
7600,9833,0,138,0,13,0,8,0,4,0,4,0,0,0,0,0,0,0
7700,9810,0,163,0,11,0,11,0,4,0,1,0,0,0,0,0,0,0
7800,9794,0,164,0,21,0,11,0,5,0,5,0,0,0,0,0,0,0
7900,9796,0,170,0,22,0,4,0,5,0,2,0,0,0,0,0,1,0
8000,9790,0,174,0,21,0,9,0,5,0,1,0,0,0,0,0,0,0
8100,9748,0,213,0,22,0,14,0,1,0,2,0,0,0,0,0,0,0
8200,9724,0,239,0,25,0,6,0,3,0,3,0,0,0,0,0,0,0
8300,9718,0,250,0,22,0,4,0,5,0,1,0,0,0,0,0,0,0
8400,9730,0,227,0,23,0,10,0,7,0,3,0,0,0,0,0,0,0
8500,9764,0,209,0,21,0,4,0,1,0,1,0,0,0,0,0,0,0
8600,9747,0,223,0,20,0,4,0,2,0,4,0,0,0,0,0,0,0
8700,9724,0,239,0,23,0,8,0,4,0,1,0,1,0,0,0,0,0
8800,9704,0,259,0,21,0,7,0,8,0,1,0,0,0,0,0,0,0
8900,9723,0,247,0,19,0,5,0,5,0,1,0,0,0,0,0,0,0
9000,9700,0,273,0,21,0,2,0,2,0,2,0,0,0,0,0,0,0
9100,9750,0,222,0,18,0,6,0,2,0,2,0,0,0,0,0,0,0
9200,9747,0,224,0,21,0,3,0,2,0,3,0,0,0,0,0,0,0
9300,9767,0,211,0,17,0,0,0,2,0,3,0,0,0,0,0,0,0
9400,9778,0,197,0,19,0,2,0,4,0,0,0,0,0,0,0,0,0
9500,9762,0,205,0,19,0,2,0,10,0,2,0,0,0,0,0,0,0
9600,9738,0,235,0,19,0,2,0,5,0,1,0,0,0,0,0,0,0
9700,9691,0,283,0,14,0,4,0,6,0,2,0,0,0,0,0,0,0
9800,9660,0,319,0,14,0,2,0,4,0,1,0,0,0,0,0,0,0
9900,9680,0,297,0,15,0,2,0,6,0,0,0,0,0,0,0,0,0
10000,9679,0,302,0,17,0,1,0,0,0,0,0,0,0,0,0,1,0
10100,9741,0,236,0,15,0,3,0,3,0,2,0,0,0,0,0,0,0
10200,9752,0,224,0,16,0,3,0,5,0,0,0,0,0,0,0,0,0
10300,9762,0,212,0,15,0,2,0,4,0,5,0,0,0,0,0,0,0
10400,9773,0,206,0,14,0,4,0,2,0,0,0,0,0,0,0,1,0
10500,9768,0,206,0,14,0,4,0,4,0,4,0,0,0,0,0,0,0
10600,9762,0,216,0,15,0,2,0,4,0,1,0,0,0,0,0,0,0
10700,9755,0,212,0,22,0,2,0,5,0,2,0,2,0,0,0,0,0
10800,9726,0,248,0,16,0,3,0,4,0,3,0,0,0,0,0,0,0
10900,9684,0,282,0,23,0,2,0,6,0,3,0,0,0,0,0,0,0
11000,9712,0,263,0,16,0,4,0,5,0,0,0,0,0,0,0,0,0
11100,9652,0,314,0,22,0,6,0,6,0,0,0,0,0,0,0,0,0
11200,9693,0,279,0,20,0,4,0,3,0,1,0,0,0,0,0,0,0
11300,9690,0,276,0,22,0,8,0,2,0,2,0,0,0,0,0,0,0
11400,9696,0,268,0,24,0,4,0,4,0,4,0,0,0,0,0,0,0
11500,9716,0,258,0,14,0,3,0,7,0,2,0,0,0,0,0,0,0
11600,9724,0,245,0,26,0,0,0,2,0,3,0,0,0,0,0,0,0
11700,9737,0,239,0,19,0,1,0,4,0,0,0,0,0,0,0,0,0
11800,9713,0,258,0,18,0,2,0,6,0,2,0,1,0,0,0,0,0
11900,9723,0,253,0,19,0,0,0,3,0,2,0,0,0,0,0,0,0
12000,9766,0,212,0,15,0,4,0,3,0,0,0,0,0,0,0,0,0
12100,9776,0,196,0,20,0,3,0,4,0,1,0,0,0,0,0,0,0
12200,9776,0,199,0,14,0,2,0,6,0,2,0,1,0,0,0,0,0
12300,9769,0,210,0,19,0,0,0,1,0,1,0,0,0,0,0,0,0
12400,9794,0,187,0,16,0,0,0,1,0,1,0,1,0,0,0,0,0
12500,9798,0,175,0,21,0,1,0,4,0,0,0,0,0,0,0,1,0
12600,9800,0,162,0,25,0,4,0,7,0,2,0,0,0,0,0,0,0
12700,9847,0,132,0,13,0,2,0,3,0,3,0,0,0,0,0,0,0
12800,9838,0,137,0,16,0,3,0,5,0,1,0,0,0,0,0,0,0
12900,9830,0,148,0,15,0,4,0,1,0,2,0,0,0,0,0,0,0
13000,9855,0,112,0,24,0,2,0,4,0,3,0,0,0,0,0,0,0
13100,9881,0,97,0,15,0,3,0,4,0,0,0,0,0,0,0,0,0
13200,9880,0,100,0,11,0,3,0,4,0,2,0,0,0,0,0,0,0
13300,9895,0,73,0,20,0,3,0,7,0,2,0,0,0,0,0,0,0
13400,9928,0,54,0,10,0,1,0,5,0,2,0,0,0,0,0,0,0
13500,9913,0,47,0,19,0,3,0,15,0,3,0,0,0,0,0,0,0
13600,9926,0,46,0,11,0,5,0,11,0,1,0,0,0,0,0,0,0
13700,9926,0,42,0,14,0,6,0,11,0,1,0,0,0,0,0,0,0
13800,9937,0,38,0,10,0,2,0,10,0,3,0,0,0,0,0,0,0
13900,9926,0,44,0,12,0,3,0,13,0,1,0,1,0,0,0,0,0
14000,9920,0,52,0,14,0,2,0,12,0,0,0,0,0,0,0,0,0
14100,9930,0,47,0,13,0,4,0,5,0,1,0,0,0,0,0,0,0
14200,9940,0,35,0,10,0,2,0,12,0,0,0,1,0,0,0,0,0
14300,9931,0,43,0,10,0,4,0,10,0,2,0,0,0,0,0,0,0
14400,9944,0,32,0,11,0,2,0,9,0,2,0,0,0,0,0,0,0
14500,9930,0,39,0,14,0,5,0,8,0,2,0,2,0,0,0,0,0
14600,9933,0,40,0,14,0,4,0,9,0,0,0,0,0,0,0,0,0
14700,9930,0,38,0,13,0,7,0,10,0,2,0,0,0,0,0,0,0
14800,9931,0,36,0,10,0,7,0,15,0,1,0,0,0,0,0,0,0
14900,9924,0,49,0,11,0,5,0,8,0,3,0,0,0,0,0,0,0
15000,9927,0,53,0,6,0,5,0,8,0,1,0,0,0,0,0,0,0
15100,9928,0,46,0,11,0,3,0,10,0,2,0,0,0,0,0,0,0
15200,9938,0,40,0,11,0,2,0,8,0,1,0,0,0,0,0,0,0
15300,9930,0,43,0,8,0,8,0,8,0,3,0,0,0,0,0,0,0
15400,9935,0,49,0,6,0,3,0,6,0,1,0,0,0,0,0,0,0
15500,9936,0,37,0,12,0,4,0,6,0,5,0,0,0,0,0,0,0
15600,9942,0,37,0,7,0,2,0,10,0,2,0,0,0,0,0,0,0
15700,9919,0,61,0,8,0,4,0,8,0,0,0,0,0,0,0,0,0
15800,9925,0,48,0,7,0,6,0,11,0,3,0,0,0,0,0,0,0
15900,9932,0,37,0,15,0,3,0,10,0,3,0,0,0,0,0,0,0
16000,9930,0,45,0,10,0,0,0,14,0,1,0,0,0,0,0,0,0
16100,9920,0,47,0,11,0,3,0,16,0,3,0,0,0,0,0,0,0
16200,9922,0,51,0,11,0,4,0,11,0,1,0,0,0,0,0,0,0
16300,9908,0,69,0,10,0,1,0,12,0,0,0,0,0,0,0,0,0
16400,9904,0,66,0,14,0,3,0,10,0,3,0,0,0,0,0,0,0
16500,9911,0,54,0,12,0,7,0,14,0,1,0,1,0,0,0,0,0
16600,9911,0,55,0,13,0,2,0,17,0,2,0,0,0,0,0,0,0
16700,9907,0,60,0,12,0,2,0,18,0,1,0,0,0,0,0,0,0
16800,9916,0,51,0,12,0,1,0,15,0,5,0,0,0,0,0,0,0
16900,9929,0,41,0,11,0,4,0,14,0,1,0,0,0,0,0,0,0
17000,9928,0,45,0,9,0,3,0,14,0,1,0,0,0,0,0,0,0
17100,9909,0,65,0,8,0,5,0,10,0,3,0,0,0,0,0,0,0
17200,9941,0,34,0,8,0,5,0,11,0,0,0,1,0,0,0,0,0
17300,9949,0,29,0,9,0,3,0,9,0,1,0,0,0,0,0,0,0
17400,9938,0,44,0,2,0,2,0,12,0,2,0,0,0,0,0,0,0
17500,9948,0,41,0,4,0,2,0,5,0,0,0,0,0,0,0,0,0
17600,9943,0,40,0,5,0,2,0,5,0,5,0,0,0,0,0,0,0
17700,9916,0,56,0,12,0,3,0,11,0,2,0,0,0,0,0,0,0
17800,9935,0,48,0,9,0,3,0,3,0,2,0,0,0,0,0,0,0
17900,9922,0,56,0,7,0,6,0,8,0,1,0,0,0,0,0,0,0
18000,9931,0,56,0,6,0,3,0,3,0,1,0,0,0,0,0,0,0
18100,9932,0,56,0,6,0,1,0,3,0,2,0,0,0,0,0,0,0
