update,host_task_NOT,sym_task_NOT,host_task_NAND,sym_task_NAND,host_task_AND,sym_task_AND,host_task_ORN,sym_task_ORN,host_task_OR,sym_task_OR,host_task_ANDN,sym_task_ANDN,host_task_NOR,sym_task_NOR,host_task_XOR,sym_task_XOR,host_task_EQU,sym_task_EQU
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,10001,40000,0,0,0,6,0,2,1,6,0,2,0,0,0,0,0,0
200,9991,40000,0,0,3,8,0,2,3,8,3,4,0,0,0,0,0,0
300,9992,40000,0,0,4,8,3,2,1,6,0,2,0,0,0,0,0,0
400,9996,40000,0,0,1,6,1,4,1,6,1,5,0,0,0,0,0,0
500,9993,40000,0,0,3,6,1,2,2,7,1,8,0,0,0,0,0,0
600,9994,35862,0,7,2,5,2,6,0,4,2,8,0,0,0,0,0,0
700,9993,34491,0,8,4,8,1,6,2,11,0,6,0,0,0,0,0,0
800,9990,34489,0,7,4,5,1,1,1,12,4,2,0,0,0,0,0,0
900,9995,34472,0,9,1,12,2,5,1,5,1,3,0,0,0,0,0,0
1000,9993,34474,0,8,1,8,1,3,2,11,3,4,0,0,0,0,0,0
1100,9987,32263,3,10,2,4,2,8,2,6,4,1,0,0,0,0,0,0
1200,9980,30109,9,10,2,4,5,2,3,6,1,4,0,0,0,0,0,0
1300,9985,30106,8,10,0,5,4,8,3,10,0,3,0,0,0,0,0,0
1400,9983,30104,9,10,2,6,4,9,0,10,2,2,0,0,0,0,0,0
1500,9976,30099,9,9,3,6,4,6,7,6,1,4,0,0,0,0,0,0
1600,9981,29159,9,9,3,5,4,5,2,4,1,3,0,0,0,0,0,0
1700,9979,26538,8,13,4,7,9,10,0,7,0,5,0,0,0,0,0,0
1800,9979,26530,9,11,2,5,4,3,5,3,1,4,0,0,0,0,0,0
1900,9980,26507,12,11,0,3,5,5,2,2,1,0,0,0,0,0,0,0
2000,9978,26513,9,10,5,7,7,2,1,10,0,0,0,0,0,0,0,0
2100,9981,26457,11,15,0,4,5,7,3,10,0,4,0,0,0,0,0,0
2200,9977,23540,10,12,3,2,7,1,3,5,0,3,0,0,0,0,0,0
2300,9978,23533,13,17,0,1,7,8,2,7,0,3,0,0,0,0,0,0
2400,9976,23535,13,15,2,5,5,4,4,10,0,0,0,0,0,0,0,0
2500,9979,23517,11,12,1,1,5,8,3,4,1,2,0,0,0,0,0,0
2600,9978,23503,10,11,3,2,5,3,3,8,1,2,0,0,0,0,0,0
2700,9969,21531,14,16,0,2,10,7,5,4,2,0,0,0,0,0,0,0
2800,9980,20901,12,16,0,9,6,6,2,5,0,4,0,0,0,0,0,0
2900,9968,20883,18,21,4,5,6,8,2,7,2,2,0,0,0,0,0,0
3000,9973,20866,15,24,2,6,6,3,4,5,0,2,0,0,0,0,0,0
3100,9974,20858,17,15,2,3,4,5,3,8,0,4,0,0,0,0,0,0
3200,9979,19703,11,13,1,7,6,3,1,3,2,2,0,0,0,0,0,0
3300,9977,18642,15,11,1,2,5,10,1,4,1,4,0,0,0,0,0,0
3400,9975,18630,13,12,2,4,5,4,5,3,0,1,0,0,0,0,0,0
3500,9968,18621,22,11,2,1,6,2,1,2,1,4,0,1,0,0,0,0
3600,9965,18613,23,11,2,4,5,5,5,6,0,1,0,0,0,0,0,0
3700,9962,18152,27,15,1,4,7,6,2,8,1,3,0,0,0,0,0,0
3800,9970,16946,20,20,2,4,5,5,2,4,0,3,1,1,0,0,0,0
3900,9966,16914,15,14,1,0,11,7,6,5,1,1,0,0,0,0,0,0
4000,9966,16903,13,12,5,3,9,15,7,6,0,2,0,0,0,0,0,0
4100,9972,16879,16,12,0,3,6,5,3,7,3,2,0,0,0,0,0,0
4200,9971,16817,17,18,1,2,7,5,4,5,0,0,0,2,0,0,0,0
4300,9966,15298,25,22,2,2,6,13,0,6,1,2,0,0,0,0,0,0
4400,9958,15272,27,19,0,1,7,13,7,5,1,0,0,0,0,0,0,0
4500,9962,15260,21,19,3,4,6,10,8,7,0,0,0,0,0,0,0,0
4600,9959,15253,24,24,2,1,9,7,4,4,2,2,0,0,0,0,0,0
4700,9957,15224,27,16,4,4,7,5,4,9,1,2,0,0,0,0,0,0
4800,9960,14179,22,28,2,3,11,5,4,1,1,1,0,0,0,0,0,0
