update,host_task_NOT,sym_task_NOT,host_task_NAND,sym_task_NAND,host_task_AND,sym_task_AND,host_task_ORN,sym_task_ORN,host_task_OR,sym_task_OR,host_task_ANDN,sym_task_ANDN,host_task_NOR,sym_task_NOR,host_task_XOR,sym_task_XOR,host_task_EQU,sym_task_EQU
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,9999,40000,0,0,1,5,0,1,2,3,0,3,0,0,0,0,0,0
200,9992,40000,0,0,6,7,0,2,2,10,0,6,0,0,0,0,0,0
300,9994,40000,0,0,1,10,1,5,4,14,0,4,0,0,0,0,0,0
400,9998,40000,0,0,1,9,1,7,0,7,0,7,0,0,0,0,0,0
500,9997,40000,0,0,1,10,1,1,0,11,1,1,0,0,0,0,0,0
600,9992,34012,0,0,3,4,2,7,2,4,1,2,0,0,0,0,0,0
700,9994,32177,0,0,1,3,2,5,3,3,0,3,0,0,0,0,0,0
800,9995,32185,1,0,1,6,2,0,1,13,0,5,0,0,0,0,0,0
900,9993,32181,2,0,0,6,2,4,2,9,1,4,0,0,0,0,0,0
1000,9997,32184,0,0,1,3,1,4,1,8,0,1,0,0,0,0,0,0
1100,9992,28988,1,0,1,4,1,3,3,4,2,0,0,0,0,0,0,0
1200,9992,26011,0,0,3,9,1,3,4,8,0,2,0,0,0,0,0,0
1300,9979,26026,0,0,5,11,3,5,9,2,4,4,0,0,0,0,0,0
1400,9991,26025,0,0,2,4,5,4,1,10,1,0,0,0,0,0,0,0
1500,9992,26016,0,0,3,4,2,3,3,11,0,3,0,0,0,0,0,0
1600,9985,24706,1,0,3,6,6,3,5,8,0,2,0,0,0,0,0,0
1700,9986,21178,5,0,3,4,2,2,4,6,0,0,0,0,0,0,0,0
1800,9985,21258,6,0,4,2,4,2,1,3,0,0,0,0,0,0,0,0
1900,9987,21261,4,0,1,2,1,3,3,11,4,2,0,0,0,0,0,0
2000,9982,21259,4,1,4,8,3,4,6,4,1,1,0,0,0,0,0,0
2100,9985,21184,5,0,3,7,0,4,6,8,1,4,0,0,0,0,0,0
2200,9987,17562,8,0,2,8,0,6,3,3,0,0,0,0,0,0,0,0
2300,9978,17702,11,0,3,3,1,1,5,2,2,3,0,0,0,0,0,0
2400,9980,17700,10,0,1,2,2,3,2,1,5,1,0,0,0,0,0,0
2500,9979,17693,10,0,6,6,2,1,3,3,0,2,0,0,0,0,0,0
2600,9986,17677,9,0,1,5,0,3,3,3,1,2,0,0,0,0,0,0
2700,9978,15230,16,1,1,3,1,6,4,2,0,1,0,0,0,0,0,0
2800,9981,14763,16,4,0,3,1,0,2,5,0,1,0,0,0,0,0,0
2900,9976,14796,17,4,4,3,0,0,3,4,0,2,0,0,0,0,0,0
3000,9977,14795,16,4,3,1,1,1,2,1,1,0,0,0,0,0,0,0
3100,9968,14790,20,4,5,3,0,1,6,4,1,1,0,0,0,0,0,0
3200,9963,13346,23,2,6,0,3,3,4,3,1,0,0,0,0,0,0,0
3300,9958,12277,28,1,4,3,4,5,5,4,1,1,0,0,0,0,0,0
3400,9963,12341,28,2,2,6,3,1,3,4,1,1,0,0,0,0,0,0
3500,9961,12342,32,3,0,3,4,1,1,3,2,2,0,0,0,0,0,0
3600,9958,12333,29,0,4,3,5,1,4,5,0,1,0,0,0,0,0,0
3700,9964,11744,29,0,1,2,1,4,4,5,1,4,0,0,0,0,0,0
3800,9961,10567,32,0,1,3,3,3,3,3,0,0,0,0,0,0,0,0
3900,9951,10712,33,0,5,2,4,2,5,0,1,0,1,0,0,0,0,0
4000,9958,10733,33,1,2,0,3,3,2,3,2,2,0,0,0,0,0,0
4100,9959,10733,32,0,2,4,4,3,2,4,1,2,0,0,0,0,0,0
4200,9958,10687,33,0,4,1,0,1,3,2,2,0,0,0,0,0,0,0
4300,9952,9099,31,1,3,1,5,1,5,1,4,0,0,0,0,0,0,0
4400,9959,9292,31,2,2,3,3,1,4,0,1,0,0,0,0,0,0,0
4500,9955,9310,31,0,4,2,3,3,6,1,1,1,0,0,0,0,0,0
4600,9955,9306,32,0,2,1,4,3,6,3,1,0,0,0,0,0,0,0
4700,9951,9293,30,1,2,2,8,2,6,1,3,1,0,0,0,0,0,0
4800,9946,8181,36,0,2,0,9,0,4,3,3,2,0,0,0,0,0,0
4900,9947,8095,37,3,3,0,5,1,7,4,1,0,0,0,0,0,0,0
5000,9947,8191,38,5,1,1,6,0,5,2,3,1,0,0,0,0,0,0
5100,9944,8216,37,7,3,3,8,3,5,1,2,0,1,0,0,0,0,0
5200,9945,8214,37,4,6,1,7,0,4,3,1,0,0,0,0,0,0,0
5300,9952,7461,38,4,1,1,7,3,2,3,0,1,0,0,0,0,0,0
5400,9944,7122,33,5,1,1,14,1,7,0,0,2,1,0,0,0,0,0
5500,9948,7266,33,5,1,2,10,1,2,2,6,1,0,0,0,0,0,0
5600,9954,7299,31,4,3,0,8,1,3,1,1,2,0,0,0,0,0,0
5700,9952,7299,34,4,2,1,7,0,3,5,2,0,0,0,0,0,0,0
5800,9951,6940,31,7,5,4,8,1,5,1,0,0,0,0,0,0,0,0
5900,9944,6232,44,4,2,1,4,0,3,0,3,2,0,0,0,0,0,0
6000,9931,6418,46,7,1,0,12,1,9,0,1,0,0,0,0,0,0,0
6100,9936,6498,49,5,4,0,8,0,3,2,0,1,0,0,0,0,0,0
6200,9927,6528,57,8,3,1,7,3,5,1,1,0,0,0,0,0,0,0
6300,9937,6486,42,5,3,2,11,1,6,2,0,0,1,0,0,0,0,0
6400,9956,5551,34,4,3,0,3,0,2,2,2,1,0,0,0,0,0,0
6500,9955,5756,38,4,1,0,1,2,4,1,1,0,0,0,0,0,0,0
6600,9948,5877,37,6,8,0,3,1,3,1,1,1,0,0,0,0,0,0
6700,9948,5918,39,5,3,2,4,0,5,0,1,1,0,0,0,0,0,0
6800,9947,5926,36,5,5,2,7,4,4,0,0,1,1,0,0,0,0,0
6900,9942,5203,41,3,3,0,7,1,6,3,1,1,0,0,0,0,0,0
7000,9942,5201,43,1,3,0,5,0,6,3,1,0,0,0,0,0,0,0
7100,9945,5346,40,0,3,2,3,0,8,4,1,0,0,0,0,0,0,0
7200,9949,5430,40,0,4,1,4,0,3,0,0,1,0,0,0,0,0,0
7300,9936,5478,52,0,2,1,4,2,6,1,0,0,0,0,0,0,0,0
7400,9910,5005,80,0,3,1,2,2,4,2,1,0,0,0,0,0,0,0
7500,9894,4720,89,0,5,1,1,2,9,2,2,1,0,0,0,0,0,0
7600,9893,4842,89,1,2,2,11,1,4,1,1,0,0,0,0,0,0,0
7700,9894,4917,86,1,2,1,7,2,7,1,4,2,0,0,0,0,0,0
7800,9907,4943,87,0,1,1,1,3,3,3,0,1,1,0,0,0,0,0
7900,9900,4757,89,1,3,0,2,0,5,1,1,1,0,0,0,0,0,0
