update,attempts_horiztrans,successes_horiztrans,attempts_verttrans,successes_verttrans
0,0,0,0,0
100,10012,0,0,0
200,20025,0,0,0
300,20033,0,0,0
400,20029,0,0,0
500,20022,0,0,0
600,16244,168,0,0
700,16078,17,0,0
800,16093,0,0,0
900,16088,0,0,0
1000,16085,0,0,0
1100,14390,223,0,0
1200,12973,29,0,0
1300,12989,2,0,0
1400,12988,0,0,0
1500,12983,0,0,0
1600,11902,34,0,0
1700,10512,240,0,0
1800,10577,3,0,0
1900,10587,3,0,0
2000,10585,0,0,0
2100,10489,6,0,0
2200,8672,307,0,0
2300,8777,18,0,0
2400,8776,1,0,0
2500,8776,1,0,0
2600,8764,4,0,0
2700,7279,300,0,0
2800,7300,72,0,0
2900,7337,9,0,0
3000,7330,4,0,0
3100,7334,4,0,0
3200,6500,237,0,0
3300,6032,130,0,0
3400,6089,14,0,0
3500,6092,3,0,0
3600,6082,3,0,0
3700,5645,66,0,0
3800,5091,245,0,0
3900,5195,50,0,0
4000,5218,13,0,0
4100,5220,4,0,0
4200,5138,15,0,0
4300,4355,308,0,0
4400,4466,66,0,0
4500,4488,17,0,0
4600,4487,11,0,0
4700,4474,7,0,0
4800,3807,241,0,0
4900,3838,123,0,0
5000,3898,37,0,0
5100,3921,20,0,0
5200,3914,7,0,0
5300,3470,199,0,0
5400,3323,206,0,0
5500,3414,59,0,0
5600,3437,20,0,0
5700,3440,14,0,0
5800,3181,65,0,0
5900,2853,254,0,0
6000,2959,99,0,0
6100,3008,40,0,0
6200,3027,15,0,0
6300,2966,26,0,0
6400,2509,229,0,0
6500,2604,125,0,0
6600,2673,60,0,0
6700,2693,31,0,0
6800,2690,18,0,0
6900,2319,200,0,0
7000,2369,167,0,0
7100,2458,76,0,0
7200,2497,59,0,0
7300,2524,27,0,0
7400,2249,129,0,0
7500,2134,169,0,0
7600,2193,87,0,0
7700,2232,60,0,0
7800,2240,42,0,0
7900,2102,65,0,0
8000,1928,182,0,0
8100,2019,120,0,0
8200,2076,69,0,0
8300,2113,36,0,0
8400,2082,41,0,0
8500,1866,187,0,0
8600,1930,118,0,0
8700,1985,69,0,0
8800,2013,62,0,0
8900,2022,37,0,0
9000,1764,127,0,0
9100,1744,162,0,0
9200,1809,85,0,0
9300,1833,60,0,0
9400,1866,50,0,0
9500,1749,99,0,0
9600,1680,138,0,0
9700,1744,99,0,0
9800,1782,69,0,0
9900,1780,51,0,0
10000,1728,66,0,0
10100,1597,151,0,0
10200,1664,117,0,0
10300,1688,79,0,0
10400,1699,74,0,0
10500,1700,56,0,0
10600,1554,115,0,0
10700,1557,120,0,0
10800,1582,93,0,0
10900,1594,88,0,0
11000,1584,69,0,0
11100,1523,90,0,0
11200,1502,97,0,0
11300,1502,69,0,0
11400,1486,67,0,0
11500,1497,72,0,0
11600,1451,66,0,0
11700,1405,57,0,0
11800,1415,68,0,0
11900,1405,51,0,0
12000,1401,42,0,0
12100,1364,46,0,0
12200,1309,50,0,0
12300,1282,41,0,0
12400,1257,35,0,0
12500,1237,42,0,0
12600,1193,32,0,0
12700,1134,30,0,0
12800,1121,41,0,0
12900,1114,33,0,0
13000,1091,30,0,0
13100,1073,37,0,0
13200,1060,31,0,0
13300,1039,29,0,0
13400,1017,29,0,0
13500,999,24,0,0
13600,978,44,0,0
13700,972,29,0,0
13800,938,27,0,0
13900,919,42,0,0
14000,909,28,0,0
14100,900,18,0,0
14200,895,25,0,0
14300,875,22,0,0
14400,866,25,0,0
14500,841,18,0,0
14600,837,24,0,0
14700,812,20,0,0
14800,780,27,0,0
14900,773,22,0,0
15000,756,19,0,0
15100,732,21,0,0
15200,719,13,0,0
15300,699,24,0,0
15400,701,15,0,0
15500,684,21,0,0
15600,665,13,0,0
15700,652,16,0,0
15800,652,10,0,0
15900,633,12,0,0
16000,632,19,0,0
16100,615,30,0,0
16200,613,11,0,0
16300,589,23,0,0
16400,569,20,0,0
16500,553,17,0,0
16600,536,19,0,0
16700,527,16,0,0
16800,506,13,0,0
16900,488,17,0,0
17000,484,14,0,0
17100,471,12,0,0
17200,472,16,0,0
17300,459,16,0,0
17400,434,11,0,0
17500,426,20,0,0
17600,409,9,0,0
17700,406,12,0,0
17800,393,18,0,0
17900,396,11,0,0
18000,382,13,0,0
18100,379,12,0,0
18200,382,13,0,0
18300,396,14,0,0
18400,378,10,0,0
18500,376,14,0,0
18600,379,11,0,0
18700,381,16,0,0
18800,385,13,0,0
18900,377,15,0,0
19000,379,17,0,0
19100,373,11,0,0
19200,362,15,0,0
19300,352,9,0,0
19400,339,12,0,0
19500,336,17,0,0
19600,344,12,0,0
19700,351,10,0,0
19800,350,10,0,0
19900,348,18,0,0
20000,361,12,0,0
20100,346,12,0,0
20200,347,8,0,0
20300,336,18,0,0
20400,325,8,0,0
20500,312,5,0,0
20600,312,11,0,0
20700,294,13,0,0
20800,291,10,0,0
20900,281,14,0,0
21000,271,10,0,0
21100,270,10,0,0
21200,252,6,0,0
21300,249,12,0,0
21400,227,5,0,0
21500,231,11,0,0
21600,221,17,0,0
21700,214,14,0,0
21800,220,13,0,0
21900,219,7,0,0
22000,224,12,0,0
22100,214,13,0,0
22200,218,12,0,0
22300,220,12,0,0
22400,203,8,0,0
22500,201,8,0,0
22600,189,7,0,0
22700,193,15,0,0
22800,186,15,0,0
22900,189,16,0,0
23000,190,9,0,0
23100,182,10,0,0
23200,170,13,0,0
23300,161,13,0,0
23400,156,10,0,0
23500,164,9,0,0
23600,169,9,0,0
23700,168,11,0,0
23800,182,15,0,0
