update,attempts_horiztrans,successes_horiztrans,attempts_verttrans,successes_verttrans
0,0,0,0,0
100,10012,0,0,0
200,20023,0,0,0
300,20036,0,0,0
400,20026,0,0,0
500,20021,0,0,0
600,16212,175,0,0
700,16077,12,0,0
800,16072,0,0,0
900,16080,0,0,0
1000,16077,1,0,0
1100,14438,216,0,0
1200,13045,36,0,0
1300,13058,0,0,0
1400,13051,0,0,0
1500,13057,2,0,0
1600,11940,29,0,0
1700,10524,247,0,0
1800,10606,4,0,0
1900,10611,0,0,0
2000,10604,1,0,0
2100,10502,2,0,0
2200,8613,310,0,0
2300,8726,18,0,0
2400,8715,1,0,0
2500,8710,2,0,0
2600,8704,3,0,0
2700,7187,276,0,0
2800,7209,92,0,0
2900,7236,6,0,0
3000,7240,2,0,0
3100,7239,2,0,0
3200,6464,242,0,0
3300,5987,125,0,0
3400,6034,19,0,0
3500,6053,7,0,0
3600,6054,3,0,0
3700,5627,65,0,0
3800,5054,263,0,0
3900,5174,56,0,0
4000,5192,16,0,0
4100,5190,9,0,0
4200,5106,10,0,0
4300,4301,284,0,0
4400,4377,69,0,0
4500,4381,13,0,0
4600,4371,15,0,0
4700,4348,12,0,0
4800,3714,220,0,0
4900,3752,119,0,0
5000,3799,37,0,0
5100,3812,28,0,0
5200,3818,16,0,0
5300,3410,180,0,0
5400,3254,162,0,0
5500,3324,60,0,0
5600,3333,34,0,0
5700,3339,15,0,0
5800,3100,76,0,0
5900,2814,202,0,0
6000,2876,94,0,0
6100,2893,56,0,0
6200,2886,46,0,0
6300,2823,31,0,0
6400,2492,168,0,0
6500,2565,118,0,0
6600,2606,61,0,0
6700,2585,55,0,0
6800,2555,56,0,0
6900,2333,100,0,0
7000,2295,119,0,0
7100,2284,93,0,0
7200,2275,89,0,0
7300,2229,92,0,0
7400,2190,82,0,0
7500,2142,82,0,0
7600,2106,81,0,0
7700,2055,92,0,0
7800,2022,59,0,0
7900,1984,51,0,0
8000,1915,63,0,0
8100,1889,56,0,0
8200,1833,59,0,0
8300,1798,44,0,0
8400,1735,42,0,0
8500,1656,35,0,0
8600,1608,46,0,0
8700,1557,38,0,0
8800,1536,44,0,0
8900,1510,39,0,0
9000,1462,37,0,0
9100,1430,40,0,0
9200,1400,43,0,0
9300,1384,37,0,0
9400,1349,29,0,0
9500,1318,33,0,0
9600,1262,45,0,0
9700,1220,29,0,0
9800,1193,38,0,0
9900,1168,31,0,0
10000,1138,33,0,0
10100,1114,40,0,0
10200,1086,30,0,0
10300,1053,30,0,0
10400,1021,36,0,0
10500,987,20,0,0
10600,950,27,0,0
10700,936,28,0,0
10800,912,37,0,0
10900,903,29,0,0
11000,872,30,0,0
11100,841,14,0,0
11200,815,31,0,0
11300,796,20,0,0
11400,767,25,0,0
11500,757,18,0,0
11600,737,27,0,0
11700,737,24,0,0
11800,720,28,0,0
11900,712,34,0,0
12000,701,23,0,0
12100,690,25,0,0
12200,669,28,0,0
12300,664,20,0,0
12400,645,24,0,0
12500,638,23,0,0
12600,638,26,0,0
12700,622,21,0,0
12800,611,31,0,0
12900,600,26,0,0
13000,584,20,0,0
13100,569,28,0,0
13200,567,22,0,0
13300,565,30,0,0
13400,565,19,0,0
13500,553,21,0,0
13600,537,23,0,0
13700,522,23,0,0
13800,512,25,0,0
13900,502,17,0,0
14000,483,14,0,0
14100,480,20,0,0
14200,480,20,0,0
14300,465,17,0,0
14400,464,25,0,0
14500,459,16,0,0
14600,448,19,0,0
14700,437,24,0,0
14800,436,25,0,0
14900,442,16,0,0
15000,432,24,0,0
15100,423,22,0,0
15200,414,16,0,0
15300,407,30,0,0
15400,406,19,0,0
15500,411,24,0,0
15600,401,20,0,0
15700,412,25,0,0
15800,415,21,0,0
15900,407,24,0,0
16000,401,18,0,0
16100,398,23,0,0
16200,402,16,0,0
16300,386,20,0,0
16400,379,17,0,0
16500,376,18,0,0
16600,368,28,0,0
16700,369,19,0,0
16800,359,16,0,0
16900,360,15,0,0
17000,362,20,0,0
17100,363,19,0,0
17200,367,17,0,0
17300,359,24,0,0
17400,347,12,0,0
17500,330,12,0,0
17600,313,23,0,0
17700,317,16,0,0
17800,322,17,0,0
17900,328,18,0,0
18000,341,17,0,0
18100,342,28,0,0
18200,343,20,0,0
18300,334,21,0,0
18400,347,21,0,0
18500,348,26,0,0
18600,354,15,0,0
18700,345,23,0,0
18800,350,16,0,0
18900,346,17,0,0
19000,342,25,0,0
19100,359,15,0,0
19200,364,20,0,0
19300,371,24,0,0
19400,389,23,0,0
19500,390,20,0,0
19600,391,19,0,0
19700,384,26,0,0
19800,379,17,0,0
19900,388,19,0,0
20000,383,23,0,0
20100,390,22,0,0
20200,398,19,0,0
20300,404,25,0,0
20400,403,21,0,0
20500,408,14,0,0
20600,400,23,0,0
20700,417,17,0,0
20800,410,27,0,0
20900,414,17,0,0
21000,396,18,0,0
21100,388,24,0,0
21200,406,23,0,0
21300,400,20,0,0
21400,387,16,0,0
21500,361,16,0,0
21600,365,23,0,0
21700,361,19,0,0
21800,365,18,0,0
21900,376,19,0,0
22000,372,22,0,0
22100,362,10,0,0
22200,355,22,0,0
22300,366,19,0,0
22400,361,26,0,0
22500,353,24,0,0
22600,358,21,0,0
22700,374,23,0,0
22800,377,17,0,0
22900,396,32,0,0
23000,409,20,0,0
23100,392,20,0,0
23200,400,22,0,0
23300,401,13,0,0
23400,389,21,0,0
23500,375,16,0,0
23600,387,30,0,0
23700,406,23,0,0
23800,415,27,0,0
23900,416,13,0,0
24000,405,23,0,0
