update,host_task_NOT,sym_task_NOT,host_task_NAND,sym_task_NAND,host_task_AND,sym_task_AND,host_task_ORN,sym_task_ORN,host_task_OR,sym_task_OR,host_task_ANDN,sym_task_ANDN,host_task_NOR,sym_task_NOR,host_task_XOR,sym_task_XOR,host_task_EQU,sym_task_EQU
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,9998,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0
200,9993,0,0,0,4,0,0,0,1,0,2,0,0,0,0,0,0,0
300,9994,0,0,0,2,0,1,0,3,0,0,0,0,0,0,0,0,0
400,9997,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0
500,9996,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0
600,9992,0,1,0,2,0,1,0,4,0,0,0,0,0,0,0,0,0
700,9992,0,0,0,1,0,2,0,5,0,0,0,0,0,0,0,0,0
800,9994,0,0,0,1,0,0,0,4,0,1,0,0,0,0,0,0,0
900,9987,0,0,0,5,0,2,0,3,0,3,0,0,0,0,0,0,0
1000,9996,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
1100,9993,0,2,0,1,0,2,0,2,0,0,0,0,0,0,0,0,0
1200,9988,0,0,0,1,0,7,0,4,0,0,0,0,0,0,0,0,0
1300,9987,0,0,0,2,0,5,0,3,0,3,0,0,0,0,0,0,0
1400,9987,0,1,0,4,0,5,0,3,0,0,0,0,0,0,0,0,0
1500,9988,0,3,0,1,0,6,0,1,0,1,0,0,0,0,0,0,0
1600,9992,0,1,0,1,0,4,0,0,0,2,0,0,0,0,0,0,0
1700,9987,0,4,0,0,0,5,0,4,0,0,0,0,0,0,0,0,0
1800,9986,0,4,0,1,0,6,0,2,0,1,0,0,0,0,0,0,0
1900,9986,0,4,0,4,0,6,0,0,0,0,0,0,0,0,0,0,0
2000,9988,0,4,0,2,0,5,0,0,0,1,0,0,0,0,0,0,0
2100,9985,0,4,0,2,0,4,0,3,0,2,0,0,0,0,0,0,0
2200,9979,0,8,0,1,0,7,0,4,0,1,0,0,0,0,0,0,0
2300,9982,0,10,0,1,0,5,0,2,0,0,0,0,0,0,0,0,0
2400,9983,0,6,0,1,0,6,0,1,0,1,0,2,0,0,0,0,0
2500,9978,0,9,0,3,0,5,0,1,0,3,0,1,0,0,0,0,0
2600,9983,0,7,0,5,0,4,0,1,0,0,0,0,0,0,0,0,0
2700,9982,0,3,0,2,0,8,0,4,0,1,0,0,0,0,0,0,0
2800,9981,0,3,0,0,0,12,0,2,0,2,0,0,0,0,0,0,0
2900,9983,0,3,0,1,0,7,0,2,0,4,0,0,0,0,0,0,0
3000,9985,0,4,0,1,0,7,0,2,0,1,0,0,0,0,0,0,0
3100,9978,0,6,0,5,0,7,0,3,0,0,0,1,0,0,0,0,0
3200,9974,0,8,0,4,0,9,0,5,0,0,0,0,0,0,0,0,0
3300,9973,0,17,0,2,0,4,0,4,0,0,0,0,0,0,0,0,0
3400,9965,0,20,0,2,0,10,0,3,0,0,0,0,0,0,0,0,0
3500,9965,0,18,0,3,0,5,0,7,0,2,0,0,0,0,0,0,0
3600,9962,0,17,0,5,0,7,0,7,0,1,0,1,0,0,0,0,0
3700,9963,0,21,0,2,0,8,0,4,0,2,0,0,0,0,0,0,0
3800,9966,0,22,0,1,0,9,0,2,0,0,0,0,0,0,0,0,0
3900,9956,0,24,0,3,0,13,0,3,0,1,0,0,0,0,0,0,0
4000,9962,0,22,0,2,0,9,0,4,0,1,0,0,0,0,0,0,0
4100,9959,0,23,0,1,0,7,0,8,0,1,0,1,0,0,0,0,0
4200,9959,0,26,0,2,0,4,0,3,0,4,0,2,0,0,0,0,0
4300,9961,0,23,0,4,0,8,0,4,0,0,0,0,0,0,0,0,0
4400,9960,0,24,0,2,0,5,0,6,0,3,0,0,0,0,0,0,0
4500,9962,0,25,0,1,0,8,0,4,0,0,0,0,0,0,0,0,0
4600,9969,0,24,0,2,0,3,0,1,0,1,0,0,0,0,0,0,0
4700,9962,0,25,0,1,0,5,0,7,0,0,0,0,0,0,0,0,0
4800,9946,0,33,0,4,0,6,0,9,0,2,0,0,0,0,0,0,0
4900,9948,0,39,0,3,0,7,0,2,0,1,0,0,0,0,0,0,0
5000,9946,0,43,0,3,0,5,0,3,0,0,0,0,0,0,0,0,0
5100,9951,0,38,0,2,0,6,0,1,0,2,0,0,0,0,0,0,0
5200,9941,0,45,0,1,0,3,0,10,0,0,0,0,0,0,0,0,0
5300,9939,0,37,0,5,0,11,0,4,0,3,0,1,0,0,0,0,0
5400,9934,0,46,0,2,0,9,0,5,0,3,0,1,0,0,0,0,0
5500,9934,0,43,0,2,0,13,0,5,0,3,0,0,0,0,0,0,0
5600,9950,0,36,0,2,0,7,0,3,0,2,0,0,0,0,0,0,0
5700,9943,0,41,0,2,0,12,0,0,0,1,0,1,0,0,0,0,0
5800,9944,0,35,0,2,0,10,0,4,0,2,0,3,0,0,0,0,0
5900,9954,0,39,0,0,0,5,0,2,0,0,0,0,0,0,0,0,0
6000,9940,0,46,0,3,0,8,0,3,0,0,0,0,0,0,0,0,0
6100,9927,0,53,0,1,0,12,0,7,0,0,0,0,0,0,0,0,0
6200,9907,0,70,0,1,0,11,0,7,0,3,0,1,0,0,0,0,0
6300,9916,0,70,0,1,0,7,0,5,0,1,0,0,0,0,0,0,0
6400,9943,0,40,0,3,0,8,0,5,0,1,0,0,0,0,0,0,0
6500,9945,0,35,0,2,0,8,0,8,0,2,0,0,0,0,0,0,0
6600,9940,0,45,0,2,0,9,0,3,0,1,0,0,0,0,0,0,0
6700,9947,0,38,0,4,0,10,0,0,0,1,0,0,0,0,0,0,0
6800,9937,0,40,0,1,0,11,0,9,0,2,0,0,0,0,0,0,0
6900,9935,0,42,0,4,0,9,0,8,0,2,0,0,0,0,0,0,0
7000,9935,0,48,0,2,0,10,0,3,0,0,0,2,0,0,0,0,0
7100,9945,0,44,0,0,0,7,0,3,0,1,0,0,0,0,0,0,0
7200,9940,0,42,0,1,0,13,0,3,0,1,0,0,0,0,0,0,0
7300,9942,0,46,0,1,0,8,0,2,0,1,0,0,0,0,0,0,0
7400,9943,0,45,0,1,0,5,0,5,0,1,0,0,0,0,0,0,0
7500,9917,0,66,0,0,0,9,0,6,0,2,0,0,0,0,0,0,0
7600,9911,0,67,0,4,0,6,0,7,0,5,0,0,0,0,0,0,0
7700,9901,0,82,0,3,0,5,0,6,0,3,0,0,0,0,0,0,0
7800,9894,0,94,0,3,0,5,0,1,0,3,0,0,0,0,0,0,0
7900,9873,0,108,0,3,0,9,0,5,0,1,0,1,0,0,0,0,0
8000,9846,0,135,0,5,0,8,0,5,0,1,0,0,0,0,0,0,0
8100,9827,0,152,0,2,0,11,0,7,0,1,0,0,0,0,0,0,0
8200,9838,0,144,0,3,0,9,0,4,0,2,0,0,0,0,0,0,0
8300,9820,0,161,0,2,0,10,0,5,0,2,0,0,0,0,0,0,0
8400,9763,0,211,0,3,0,13,0,7,0,3,0,0,0,0,0,0,0
8500,9771,0,212,0,6,0,10,0,1,0,0,0,0,0,0,0,0,0
8600,9684,0,294,0,7,0,9,0,4,0,2,0,0,0,0,0,0,0
8700,9665,0,294,0,5,0,29,0,7,0,0,0,0,0,0,0,0,0
8800,9644,0,301,0,1,0,45,0,7,0,2,0,0,0,0,0,0,0
8900,9618,0,327,0,5,0,45,0,4,0,1,0,0,0,0,0,0,0
9000,9612,0,339,0,6,0,39,0,2,0,1,0,1,0,0,0,0,0
9100,9608,0,337,0,2,0,42,0,7,0,4,0,0,0,0,0,0,0
9200,9596,0,345,0,5,0,47,0,3,0,4,0,0,0,0,0,0,0
9300,9620,0,326,0,6,0,45,0,3,0,0,0,0,0,0,0,0,0
9400,9623,0,347,0,5,0,16,0,6,0,3,0,0,0,0,0,0,0
9500,9554,0,407,0,7,0,24,0,5,0,3,0,0,0,0,0,0,0
9600,9584,0,378,0,4,0,26,0,7,0,1,0,0,0,0,0,0,0
9700,9556,0,412,0,2,0,21,0,6,0,1,0,2,0,0,0,0,0
9800,9540,0,417,0,3,0,28,0,7,0,5,0,0,0,0,0,0,0
9900,9549,0,413,0,6,0,27,0,5,0,0,0,0,0,0,0,0,0
10000,9512,0,442,0,9,0,28,0,7,0,2,0,0,0,0,0,0,0
10100,9593,0,361,0,7,0,29,0,6,0,4,0,0,0,0,0,0,0
10200,9565,0,384,0,4,0,25,0,19,0,3,0,0,0,0,0,0,0
10300,9572,0,376,0,8,0,34,0,8,0,2,0,0,0,0,0,0,0
10400,9555,0,397,0,8,0,31,0,6,0,3,0,0,0,0,0,0,0
10500,9577,0,386,0,3,0,25,0,7,0,2,0,0,0,0,0,0,0
10600,9610,0,362,0,3,0,11,0,8,0,5,0,1,0,0,0,0,0
10700,9566,0,403,0,7,0,13,0,9,0,2,0,0,0,0,0,0,0
10800,9547,0,427,0,4,0,16,0,2,0,4,0,0,0,0,0,0,0
10900,9614,0,360,0,5,0,12,0,6,0,3,0,0,0,0,0,0,0
11000,9678,0,294,0,3,0,15,0,9,0,1,0,0,0,0,0,0,0
11100,9715,0,265,0,2,0,9,0,7,0,2,0,0,0,0,0,0,0
11200,9699,0,266,0,9,0,19,0,5,0,1,0,1,0,0,0,0,0
11300,9714,0,259,0,3,0,15,0,7,0,1,0,1,0,0,0,0,0
11400,9733,0,236,0,5,0,16,0,8,0,2,0,0,0,0,0,0,0
11500,9716,0,256,0,5,0,12,0,7,0,3,0,1,0,0,0,0,0
11600,9704,0,271,0,6,0,9,0,7,0,3,0,0,0,0,0,0,0
11700,9732,0,243,0,6,0,11,0,6,0,2,0,0,0,0,0,0,0
11800,9684,0,286,0,4,0,16,0,7,0,3,0,0,0,0,0,0,0
11900,9677,0,301,0,5,0,11,0,6,0,0,0,0,0,0,0,0,0
12000,9668,0,301,0,4,0,18,0,8,0,1,0,0,0,0,0,0,0
12100,9702,0,270,0,5,0,13,0,7,0,2,0,1,0,0,0,0,0
12200,9707,0,265,0,7,0,12,0,4,0,5,0,0,0,0,0,0,0
12300,9718,0,251,0,5,0,14,0,9,0,3,0,0,0,0,0,0,0
12400,9746,0,219,0,9,0,15,0,8,0,3,0,0,0,0,0,0,0
12500,9738,0,231,0,7,0,14,0,7,0,2,0,1,0,0,0,0,0
12600,9745,0,218,0,4,0,19,0,8,0,6,0,0,0,0,0,0,0
12700,9798,0,169,0,5,0,16,0,6,0,6,0,0,0,0,0,0,0
12800,9785,0,187,0,4,0,13,0,6,0,4,0,1,0,0,0,0,0
12900,9741,0,229,0,1,0,21,0,5,0,3,0,0,0,0,0,0,0
13000,9720,0,250,0,7,0,17,0,5,0,1,0,0,0,0,0,0,0
13100,9697,0,261,0,5,0,22,0,11,0,4,0,0,0,0,0,0,0
13200,9685,0,269,0,10,0,23,0,11,0,2,0,0,0,0,0,0,0
13300,9690,0,260,0,11,0,27,0,10,0,2,0,0,0,0,0,0,0
13400,9651,0,314,0,5,0,24,0,5,0,1,0,0,0,0,0,0,0
13500,9622,0,341,0,6,0,23,0,7,0,1,0,0,0,0,0,0,0
13600,9583,0,349,0,27,0,27,0,10,0,4,0,0,0,0,0,0,0
13700,9642,0,298,0,25,0,21,0,8,0,5,0,1,0,0,0,0,0
13800,9594,0,337,0,27,0,24,0,15,0,3,0,0,0,0,0,0,0
13900,9588,0,337,0,28,0,34,0,10,0,3,0,0,0,0,0,0,0
14000,9590,0,348,0,28,0,25,0,6,0,2,0,1,0,0,0,0,0
14100,9600,0,334,0,28,0,26,0,10,0,2,0,0,0,0,0,0,0
14200,9600,0,325,0,30,0,31,0,12,0,2,0,0,0,0,0,0,0
14300,9580,0,351,0,30,0,35,0,3,0,1,0,0,0,0,0,0,0
14400,9593,0,333,0,29,0,29,0,13,0,3,0,0,0,0,0,0,0
14500,9610,0,324,0,29,0,26,0,8,0,3,0,0,0,0,0,0,0
14600,9625,0,321,0,22,0,21,0,3,0,8,0,0,0,0,0,0,0
14700,9625,0,326,0,28,0,16,0,2,0,3,0,0,0,0,0,0,0
14800,9609,0,343,0,26,0,13,0,6,0,3,0,0,0,0,0,0,0
14900,9602,0,351,0,27,0,10,0,10,0,0,0,0,0,0,0,0,0
15000,9648,0,312,0,27,0,4,0,7,0,2,0,0,0,0,0,0,0
15100,9670,0,283,0,31,0,5,0,4,0,7,0,0,0,0,0,0,0
