parent_task_completions,host_count,symbiont_count,can_inf_hosts,can_inf_symbionts
001000000,1,0,0,0
000010101,1,0,269,46
000010001,2,0,256,46
000000101,2,0,241,46
000010010,2,0,55,1
000110101,1,0,276,46
000000010,12,0,5,0
000001011,1,0,252,46
000000000,9704,166,0,0
000101100,1,0,53,2
000011000,7,0,45,2
000011100,1,0,62,2
000110000,5,0,48,1
000001010,2,0,32,1
000100000,7,0,15,0
000100001,1,0,239,45
000000100,7,0,20,1
000100100,2,0,38,1
000010100,5,1,51,0
000110100,3,0,61,1
000000001,212,45,8,0
000001100,2,0,39,2
000010000,13,0,29,1
000111100,2,0,69,2
000001000,4,1,16,0
