update,count,hosted_syms
0,10000,10000
100,10000,10000
200,10000,10000
300,10000,10000
400,10000,10000
500,10000,9958
600,10000,8172
700,10000,8201
800,10000,8201
900,10000,8201
1000,10000,8198
1100,10000,6799
1200,10000,6846
1300,10000,6851
1400,10000,6850
1500,10000,6848
1600,10000,5568
1700,10000,5794
1800,10000,5806
1900,10000,5804
2000,10000,5801
2100,10000,4673
2200,10000,4958
2300,10000,5002
2400,10000,5006
2500,10000,5006
2600,10000,4931
2700,10000,4279
2800,10000,4394
2900,10000,4419
3000,10000,4422
3100,10000,4416
3200,10000,3768
3300,10000,3918
3400,10000,3960
3500,10000,3970
3600,10000,3975
3700,10000,3333
3800,10000,3562
3900,10000,3628
4000,10000,3656
4100,10000,3662
4200,10000,3055
4300,10000,3279
4400,10000,3385
4500,10000,3414
4600,10000,3435
4700,10000,3363
4800,10000,3003
4900,10000,3141
5000,10000,3203
5100,10000,3231
5200,10000,3228
5300,10000,2803
5400,10000,2946
5500,10000,3030
5600,10000,3061
5700,10000,3077
5800,10000,2631
5900,10000,2780
6000,10000,2891
6100,10000,2937
6200,10000,2962
6300,10000,2550
6400,10000,2645
6500,10000,2748
6600,10000,2812
6700,10000,2855
6800,10000,2827
6900,10000,2537
7000,10000,2639
7100,10000,2714
7200,10000,2785
7300,10000,2805
7400,10000,2498
7500,10000,2621
7600,10000,2717
7700,10000,2786
7800,10000,2817
7900,10000,2458
8000,10000,2628
8100,10000,2715
8200,10000,2762
8300,10000,2757
8400,10000,2483
8500,10000,2670
8600,10000,2741
8700,10000,2762
8800,10000,2760
8900,10000,2712
9000,10000,2634
9100,10000,2711
9200,10000,2730
9300,10000,2738
9400,10000,2747
9500,10000,2638
9600,10000,2751
9700,10000,2746
9800,10000,2743
9900,10000,2746
10000,10000,2672
10100,10000,2694
10200,10000,2707
10300,10000,2706
10400,10000,2711
10500,10000,2663
10600,10000,2644
10700,10000,2651
10800,10000,2633
10900,10000,2599
11000,10000,2592
11100,10000,2527
11200,10000,2515
11300,10000,2501
11400,10000,2486
11500,10000,2464
11600,10000,2406
11700,10000,2383
11800,10000,2351
11900,10000,2307
12000,10000,2270
12100,10000,2219
12200,10000,2187
12300,10000,2158
12400,10000,2116
12500,10000,2089
12600,10000,2077
12700,10000,2054
12800,10000,2024
12900,10000,1957
13000,10000,1926
13100,10000,1878
13200,10000,1839
13300,10000,1808
13400,10000,1761
13500,10000,1736
13600,10000,1702
13700,10000,1671
13800,10000,1643
13900,10000,1606
14000,10000,1602
14100,10000,1589
14200,10000,1550
14300,10000,1526
14400,10000,1495
14500,10000,1473
14600,10000,1445
14700,10000,1404
14800,10000,1370
14900,10000,1356
15000,10000,1332
15100,10000,1312
15200,10000,1292
15300,10000,1270
15400,10000,1267
15500,10000,1242
15600,10000,1211
15700,10000,1197
15800,10000,1173
15900,10000,1149
16000,10000,1118
16100,10000,1116
16200,10000,1099
16300,10000,1081
16400,10000,1073
16500,10000,1056
16600,10000,1043
16700,10000,1028
16800,10000,1012
16900,10000,997
17000,10000,990
17100,10000,966
17200,10000,964
17300,10000,938
17400,10000,920
17500,10000,919
17600,10000,917
17700,10000,897
17800,10000,894
17900,10000,885
18000,10000,873
18100,10000,853
18200,10000,846
18300,10000,839
18400,10000,822
18500,10000,810
18600,10000,792
18700,10000,765
18800,10000,746
18900,10000,730
19000,10000,719
19100,10000,708
19200,10000,709
19300,10000,702
19400,10000,698
19500,10000,695
19600,10000,688
19700,10000,667
19800,10000,664
19900,10000,657
20000,10000,652
20100,10000,652
20200,10000,642
20300,10000,633
20400,10000,622
20500,10000,612
20600,10000,604
20700,10000,587
20800,10000,578
20900,10000,575
21000,10000,575
21100,10000,571
21200,10000,555
21300,10000,555
21400,10000,548
21500,10000,542
21600,10000,552
21700,10000,555
21800,10000,542
21900,10000,550
22000,10000,550
22100,10000,555
22200,10000,557
22300,10000,550
22400,10000,551
22500,10000,551
22600,10000,556
22700,10000,542
22800,10000,534
22900,10000,517
23000,10000,508
23100,10000,510
23200,10000,504
23300,10000,495
23400,10000,489
23500,10000,481
23600,10000,468
23700,10000,470
23800,10000,463
23900,10000,463
24000,10000,464
24100,10000,455
24200,10000,456
24300,10000,453
24400,10000,455
24500,10000,453
24600,10000,449
24700,10000,438
24800,10000,428
24900,10000,424
25000,10000,423
25100,10000,432
25200,10000,427
25300,10000,427
25400,10000,428
25500,10000,414
25600,10000,411
25700,10000,406
25800,10000,402
25900,10000,401
26000,10000,397
26100,10000,395
26200,10000,391
26300,10000,381
26400,10000,383
26500,10000,382
26600,10000,383
26700,10000,389
26800,10000,385
26900,10000,379
27000,10000,382
27100,10000,388
27200,10000,384
27300,10000,386
27400,10000,380
27500,10000,384
27600,10000,389
27700,10000,390
27800,10000,380
27900,10000,383
