update,sym_points_earned,sym_donate_calls,sym_points_donated,sym_steal_calls,sym_points_stolen
0,0,0,0,0,0
100,191870,0,0,0,0
200,166630,0,0,0,0
300,166020,0,0,0,0
400,166270,0,0,0,0
500,165790,0,0,0,0
600,141110,0,0,0,0
700,130075,0,0,0,0
800,129770,0,0,0,0
900,129695,0,0,0,0
1000,129740,0,0,0,0
1100,116490,0,0,0,0
1200,102275,0,0,0,0
1300,102105,0,0,0,0
1400,102300,0,0,0,0
1500,101830,0,0,0,0
1600,97190,0,0,0,0
1700,81500,0,0,0,0
1800,81945,0,0,0,0
1900,81110,0,0,0,0
2000,81690,0,0,0,0
2100,80920,0,0,0,0
2200,65120,0,0,0,0
2300,65045,0,0,0,0
2400,64870,0,0,0,0
2500,64890,0,0,0,0
2600,64515,0,0,0,0
2700,55430,0,0,0,0
2800,52950,0,0,0,0
2900,53620,0,0,0,0
3000,53860,0,0,0,0
3100,53755,0,0,0,0
3200,47770,0,0,0,0
3300,42870,0,0,0,0
3400,43795,0,0,0,0
3500,43835,0,0,0,0
3600,43810,0,0,0,0
3700,41370,0,0,0,0
3800,36480,0,0,0,0
3900,36830,0,0,0,0
4000,37015,0,0,0,0
4100,36325,0,0,0,0
4200,36245,0,0,0,0
4300,30620,0,0,0,0
4400,30975,0,0,0,0
4500,31700,0,0,0,0
4600,31660,0,0,0,0
4700,31750,0,0,0,0
4800,27555,0,0,0,0
4900,26660,0,0,0,0
5000,27385,0,0,0,0
5100,27075,0,0,0,0
5200,27380,0,0,0,0
5300,25490,0,0,0,0
5400,24800,0,0,0,0
5500,26420,0,0,0,0
5600,27590,0,0,0,0
5700,27305,0,0,0,0
5800,25590,0,0,0,0
5900,24020,0,0,0,0
6000,25845,0,0,0,0
6100,28870,0,0,0,0
6200,32165,0,0,0,0
6300,36165,0,0,0,0
6400,34235,0,0,0,0
6500,38385,0,0,0,0
6600,44150,0,0,0,0
6700,46175,0,0,0,0
6800,48510,0,0,0,0
6900,44985,0,0,0,0
7000,46480,0,0,0,0
7100,51325,0,0,0,0
7200,53180,0,0,0,0
7300,56165,0,0,0,0
7400,62485,0,0,0,0
7500,98900,0,0,0,0
7600,151090,0,0,0,0
7700,155190,0,0,0,0
7800,150850,0,0,0,0
7900,142415,0,0,0,0
8000,145390,0,0,0,0
8100,154005,0,0,0,0
8200,143260,0,0,0,0
8300,159835,0,0,0,0
8400,162640,0,0,0,0
8500,150115,0,0,0,0
8600,154265,0,0,0,0
8700,170755,0,0,0,0
8800,168870,0,0,0,0
8900,160150,0,0,0,0
9000,149355,0,0,0,0
9100,145750,0,0,0,0
9200,158990,0,0,0,0
9300,162370,0,0,0,0
9400,151165,0,0,0,0
9500,139170,0,0,0,0
9600,143610,0,0,0,0
9700,148725,0,0,0,0
9800,162920,0,0,0,0
9900,159820,0,0,0,0
10000,154605,0,0,0,0
10100,164330,0,0,0,0
10200,163865,0,0,0,0
10300,166475,0,0,0,0
10400,161560,0,0,0,0
10500,164220,0,0,0,0
10600,163505,0,0,0,0
10700,165785,0,0,0,0
10800,165470,0,0,0,0
10900,158595,0,0,0,0
11000,149590,0,0,0,0
11100,152045,0,0,0,0
11200,164790,0,0,0,0
11300,173260,0,0,0,0
11400,168235,0,0,0,0
11500,171980,0,0,0,0
11600,167930,0,0,0,0
11700,166135,0,0,0,0
11800,169270,0,0,0,0
11900,166515,0,0,0,0
12000,167725,0,0,0,0
12100,162070,0,0,0,0
12200,168900,0,0,0,0
12300,174095,0,0,0,0
12400,154210,0,0,0,0
12500,149710,0,0,0,0
12600,150100,0,0,0,0
12700,151810,0,0,0,0
12800,148145,0,0,0,0
12900,145665,0,0,0,0
13000,160345,0,0,0,0
13100,159320,0,0,0,0
13200,164790,0,0,0,0
13300,154660,0,0,0,0
13400,150025,0,0,0,0
13500,154445,0,0,0,0
13600,162160,0,0,0,0
13700,148110,0,0,0,0
13800,153700,0,0,0,0
13900,154035,0,0,0,0
14000,152625,0,0,0,0
14100,152830,0,0,0,0
14200,145725,0,0,0,0
14300,143840,0,0,0,0
14400,147495,0,0,0,0
14500,145220,0,0,0,0
14600,144355,0,0,0,0
14700,143720,0,0,0,0
14800,136525,0,0,0,0
14900,129065,0,0,0,0
15000,128310,0,0,0,0
15100,125920,0,0,0,0
15200,117835,0,0,0,0
15300,118845,0,0,0,0
15400,123285,0,0,0,0
15500,125115,0,0,0,0
15600,123970,0,0,0,0
15700,117350,0,0,0,0
15800,113325,0,0,0,0
15900,108235,0,0,0,0
16000,101410,0,0,0,0
16100,105955,0,0,0,0
16200,108610,0,0,0,0
16300,95580,0,0,0,0
16400,95580,0,0,0,0
16500,97965,0,0,0,0
16600,105165,0,0,0,0
16700,106770,0,0,0,0
16800,102800,0,0,0,0
16900,100850,0,0,0,0
17000,98030,0,0,0,0
17100,95775,0,0,0,0
17200,85860,0,0,0,0
17300,90850,0,0,0,0
17400,88280,0,0,0,0
17500,88795,0,0,0,0
17600,79240,0,0,0,0
17700,73505,0,0,0,0
17800,78000,0,0,0,0
17900,73300,0,0,0,0
18000,79200,0,0,0,0
18100,78075,0,0,0,0
18200,66500,0,0,0,0
18300,66560,0,0,0,0
18400,58385,0,0,0,0
18500,61820,0,0,0,0
18600,61395,0,0,0,0
18700,63210,0,0,0,0
18800,55495,0,0,0,0
18900,56575,0,0,0,0
19000,60590,0,0,0,0
19100,64335,0,0,0,0
19200,63210,0,0,0,0
19300,64055,0,0,0,0
19400,60295,0,0,0,0
19500,64290,0,0,0,0
19600,63695,0,0,0,0
19700,52920,0,0,0,0
19800,55115,0,0,0,0
19900,51885,0,0,0,0
20000,51430,0,0,0,0
20100,57535,0,0,0,0
20200,51165,0,0,0,0
20300,44320,0,0,0,0
20400,42430,0,0,0,0
20500,46855,0,0,0,0
20600,39450,0,0,0,0
