update,host_task_NOT,sym_task_NOT,host_task_NAND,sym_task_NAND,host_task_AND,sym_task_AND,host_task_ORN,sym_task_ORN,host_task_OR,sym_task_OR,host_task_ANDN,sym_task_ANDN,host_task_NOR,sym_task_NOR,host_task_XOR,sym_task_XOR,host_task_EQU,sym_task_EQU
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,9997,0,0,0,1,0,1,0,2,0,1,0,0,0,0,0,0,0
200,9993,0,0,0,4,0,0,0,1,0,2,0,0,0,0,0,0,0
300,9991,0,0,0,2,0,2,0,1,0,4,0,0,0,0,0,0,0
400,9995,0,0,0,3,0,0,0,1,0,1,0,0,0,0,0,0,0
500,9993,0,0,0,2,0,2,0,2,0,1,0,0,0,0,0,0,0
600,9992,0,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0
700,9991,0,4,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
800,9989,0,4,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0
900,9989,0,4,0,1,0,4,0,2,0,0,0,0,0,0,0,0,0
1000,9990,0,4,0,3,0,2,0,1,0,0,0,0,0,0,0,0,0
1100,9989,0,4,0,5,0,2,0,0,0,0,0,0,0,0,0,0,0
1200,9987,0,5,0,4,0,1,0,3,0,0,0,0,0,0,0,0,0
1300,9990,0,4,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0
1400,9990,0,4,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0
1500,9991,0,5,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0
1600,9989,0,5,0,0,0,2,0,1,0,3,0,0,0,0,0,0,0
1700,9986,0,8,0,4,0,0,0,0,0,2,0,0,0,0,0,0,0
1800,9985,0,10,0,2,0,2,0,1,0,0,0,0,0,0,0,0,0
1900,9980,0,10,0,2,0,0,0,6,0,2,0,0,0,0,0,0,0
2000,9984,0,8,0,1,0,1,0,5,0,1,0,0,0,0,0,0,0
2100,9981,0,8,0,2,0,5,0,3,0,1,0,0,0,0,0,0,0
2200,9981,0,13,0,2,0,2,0,1,0,1,0,0,0,0,0,0,0
2300,9981,0,14,0,1,0,3,0,1,0,0,0,0,0,0,0,0,0
2400,9972,0,14,0,4,0,0,0,8,0,2,0,0,0,0,0,0,0
2500,9980,0,14,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0
2600,9976,0,17,0,2,0,1,0,2,0,2,0,0,0,0,0,0,0
2700,9965,0,25,0,4,0,1,0,5,0,0,0,0,0,0,0,0,0
2800,9972,0,22,0,2,0,0,0,3,0,1,0,0,0,0,0,0,0
2900,9972,0,22,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0
3000,9972,0,23,0,0,0,2,0,2,0,1,0,0,0,0,0,0,0
3100,9966,0,23,0,2,0,2,0,7,0,0,0,0,0,0,0,0,0
3200,9964,0,28,0,2,0,3,0,3,0,0,0,0,0,0,0,0,0
3300,9954,0,31,0,4,0,2,0,6,0,2,0,1,0,0,0,0,0
3400,9953,0,34,0,2,0,5,0,5,0,1,0,0,0,0,0,0,0
3500,9954,0,31,0,4,0,5,0,5,0,1,0,0,0,0,0,0,0
3600,9952,0,33,0,1,0,8,0,5,0,1,0,0,0,0,0,0,0
3700,9943,0,39,0,5,0,6,0,5,0,2,0,0,0,0,0,0,0
3800,9949,0,44,0,2,0,2,0,2,0,1,0,0,0,0,0,0,0
3900,9949,0,39,0,5,0,3,0,2,0,1,0,1,0,0,0,0,0
4000,9947,0,45,0,4,0,2,0,1,0,1,0,0,0,0,0,0,0
4100,9947,0,40,0,2,0,2,0,8,0,0,0,1,0,0,0,0,0
4200,9948,0,42,0,2,0,3,0,4,0,0,0,1,0,0,0,0,0
4300,9943,0,49,0,1,0,2,0,3,0,2,0,0,0,0,0,0,0
4400,9934,0,56,0,3,0,2,0,3,0,2,0,0,0,0,0,0,0
4500,9929,0,51,0,6,0,10,0,2,0,2,0,0,0,0,0,0,0
4600,9927,0,57,0,4,0,4,0,6,0,2,0,0,0,0,0,0,0
4700,9943,0,50,0,0,0,2,0,4,0,1,0,0,0,0,0,0,0
4800,9940,0,46,0,3,0,8,0,1,0,2,0,0,0,0,0,0,0
4900,9943,0,43,0,3,0,6,0,4,0,1,0,0,0,0,0,0,0
5000,9939,0,48,0,5,0,5,0,3,0,0,0,0,0,0,0,0,0
5100,9940,0,43,0,2,0,9,0,4,0,1,0,1,0,0,0,0,0
5200,9941,0,40,0,3,0,9,0,4,0,3,0,0,0,0,0,0,0
5300,9936,0,48,0,5,0,7,0,2,0,2,0,0,0,0,0,0,0
5400,9938,0,50,0,1,0,2,0,9,0,0,0,0,0,0,0,0,0
5500,9934,0,55,0,2,0,1,0,5,0,3,0,0,0,0,0,0,0
5600,9939,0,55,0,0,0,4,0,2,0,0,0,0,0,0,0,0,0
