update,attempts_horiztrans,successes_horiztrans,attempts_verttrans,successes_verttrans
0,0,0,0,0
100,9282,8760,0,0
200,15170,14308,0,0
300,15103,14215,0,0
400,15107,14258,0,0
500,15086,14305,0,0
600,11989,11032,0,0
700,11513,10855,0,0
800,11512,10857,0,0
900,11487,10855,0,0
1000,11516,10858,0,0
1100,10336,9774,0,0
1200,8924,8452,0,0
1300,8865,8350,0,0
1400,8838,8327,0,0
1500,8857,8416,0,0
1600,8002,7405,0,0
1700,7075,6676,0,0
1800,6867,6476,0,0
1900,6909,6548,0,0
2000,6879,6527,0,0
2100,6814,6423,0,0
2200,5514,5209,0,0
2300,5409,5118,0,0
2400,5399,5089,0,0
2500,5380,5075,0,0
2600,5433,5121,0,0
2700,4358,4049,0,0
2800,4277,4023,0,0
2900,4273,4021,0,0
3000,4285,4060,0,0
3100,4274,4053,0,0
3200,3811,3621,0,0
3300,3455,3269,0,0
3400,3475,3274,0,0
3500,3515,3318,0,0
3600,3472,3277,0,0
3700,3168,3001,0,0
3800,2935,2776,0,0
3900,2932,2789,0,0
4000,2908,2761,0,0
4100,2848,2687,0,0
4200,2838,2677,0,0
4300,2400,2256,0,0
4400,2445,2338,0,0
4500,2476,2347,0,0
4600,2525,2404,0,0
4700,2601,2461,0,0
4800,2186,2054,0,0
4900,2145,2051,0,0
5000,2186,2087,0,0
5100,2317,2201,0,0
5200,2533,2386,0,0
5300,2792,2609,0,0
5400,4256,4028,0,0
5500,5181,4872,0,0
5600,5871,5550,0,0
5700,5709,5419,0,0
5800,5721,5360,0,0
5900,5531,5230,0,0
6000,6868,6517,0,0
6100,7772,7348,0,0
6200,8239,7783,0,0
6300,8451,8020,0,0
6400,7258,6851,0,0
6500,8109,7685,0,0
6600,7990,7564,0,0
6700,8434,8021,0,0
6800,7761,7372,0,0
6900,7159,6722,0,0
7000,7273,6862,0,0
7100,7701,7270,0,0
7200,7854,7424,0,0
7300,8418,7947,0,0
7400,8217,7697,0,0
7500,8374,7958,0,0
7600,8536,8082,0,0
7700,8804,8310,0,0
7800,9041,8556,0,0
7900,8744,8225,0,0
8000,7716,7227,0,0
8100,8460,7959,0,0
8200,8576,8088,0,0
8300,7947,7490,0,0
8400,8385,7891,0,0
8500,7420,6959,0,0
8600,7603,7139,0,0
8700,7615,7135,0,0
8800,7593,7147,0,0
8900,8041,7499,0,0
9000,7650,7159,0,0
9100,8396,7795,0,0
9200,8604,8046,0,0
9300,9073,8481,0,0
9400,9144,8487,0,0
9500,9657,8952,0,0
9600,8720,8045,0,0
9700,8676,8006,0,0
9800,9097,8407,0,0
9900,8194,7612,0,0
10000,8081,7413,0,0
10100,8281,7547,0,0
10200,8039,7373,0,0
10300,7922,7206,0,0
10400,7652,6925,0,0
10500,7358,6596,0,0
10600,7150,6425,0,0
10700,7535,6779,0,0
10800,7450,6644,0,0
10900,7355,6550,0,0
11000,7268,6437,0,0
11100,7274,6392,0,0
11200,7024,6122,0,0
11300,6782,5938,0,0
11400,6969,6026,0,0
11500,6731,5773,0,0
11600,6536,5548,0,0
11700,6127,5173,0,0
11800,5880,4940,0,0
11900,6025,5028,0,0
12000,5473,4456,0,0
12100,5389,4334,0,0
12200,5686,4595,0,0
12300,5603,4445,0,0
12400,4845,3900,0,0
12500,5012,4023,0,0
12600,4625,3592,0,0
12700,5101,3878,0,0
12800,5262,4013,0,0
12900,5350,4074,0,0
13000,5141,3943,0,0
13100,5482,4195,0,0
13200,5259,3943,0,0
13300,5196,3830,0,0
13400,5344,3888,0,0
13500,5460,4035,0,0
13600,5558,4101,0,0
13700,5839,4238,0,0
13800,5404,3929,0,0
13900,5336,3845,0,0
14000,5856,4116,0,0
14100,5869,4055,0,0
14200,5915,4027,0,0
14300,5781,4021,0,0
14400,5176,3573,0,0
14500,5244,3517,0,0
14600,5360,3618,0,0
14700,5288,3557,0,0
14800,5004,3390,0,0
14900,4765,3167,0,0
15000,4655,3054,0,0
15100,4868,3171,0,0
15200,5140,3376,0,0
15300,4755,3009,0,0
15400,5053,3166,0,0
15500,4778,2877,0,0
15600,4544,2749,0,0
15700,4005,2408,0,0
15800,4642,2804,0,0
15900,4326,2640,0,0
16000,4573,2837,0,0
16100,4749,2951,0,0
16200,4843,3047,0,0
16300,4887,3108,0,0
16400,5153,3154,0,0
16500,5195,3212,0,0
16600,5220,3133,0,0
16700,5067,2981,0,0
16800,4847,2788,0,0
16900,4069,2241,0,0
17000,4582,2547,0,0
17100,4874,2840,0,0
17200,4674,2664,0,0
17300,4959,2770,0,0
17400,4998,2772,0,0
17500,4480,2589,0,0
17600,4708,2655,0,0
17700,4473,2530,0,0
17800,5172,2997,0,0
17900,4787,2726,0,0
18000,5133,2897,0,0
18100,5058,2889,0,0
18200,4768,2669,0,0
18300,4326,2417,0,0
18400,4364,2400,0,0
18500,4544,2506,0,0
18600,4760,2569,0,0
18700,4792,2666,0,0
18800,4715,2605,0,0
18900,4376,2371,0,0
19000,4399,2396,0,0
19100,4723,2537,0,0
19200,4432,2224,0,0
19300,4970,2650,0,0
19400,4588,2389,0,0
19500,4370,2335,0,0
19600,4459,2392,0,0
19700,4216,2202,0,0
19800,3945,2081,0,0
19900,3853,2049,0,0
20000,3828,1996,0,0
20100,3631,1932,0,0
20200,3857,2081,0,0
20300,3620,1914,0,0
20400,3630,1870,0,0
20500,3350,1731,0,0
20600,3610,1866,0,0
20700,3752,1929,0,0
20800,4020,2017,0,0
20900,3686,1874,0,0
21000,3726,1782,0,0
21100,4155,1950,0,0
21200,4018,1906,0,0
21300,3886,1768,0,0
21400,3685,1671,0,0
21500,3758,1773,0,0
21600,4094,1932,0,0
21700,3925,1861,0,0
21800,3768,1798,0,0
21900,4023,1875,0,0
22000,3814,1835,0,0
22100,3222,1467,0,0
22200,3121,1384,0,0
22300,3319,1533,0,0
22400,3311,1482,0,0
22500,3282,1435,0,0
22600,3128,1471,0,0
22700,2754,1214,0,0
22800,2988,1379,0,0
22900,3179,1510,0,0
23000,2771,1338,0,0
23100,3172,1483,0,0
23200,3090,1456,0,0
23300,3138,1492,0,0
23400,3484,1651,0,0
23500,3447,1697,0,0
23600,3327,1606,0,0
23700,3264,1563,0,0
23800,3371,1556,0,0
23900,3670,1718,0,0
24000,3402,1533,0,0
24100,3075,1382,0,0
24200,3099,1337,0,0
24300,3373,1597,0,0
24400,3311,1469,0,0
24500,3080,1377,0,0
24600,3340,1492,0,0
24700,3044,1395,0,0
24800,3174,1416,0,0
24900,3220,1433,0,0
25000,3016,1284,0,0
25100,2845,1164,0,0
25200,3257,1431,0,0
25300,3055,1330,0,0
25400,3237,1371,0,0
25500,3210,1394,0,0
25600,2919,1278,0,0
25700,3315,1440,0,0
25800,3052,1314,0,0
25900,3377,1483,0,0
26000,3410,1470,0,0
26100,3024,1320,0,0
26200,2988,1282,0,0
26300,2784,1211,0,0
26400,2504,1018,0,0
26500,2713,1126,0,0
26600,2967,1303,0,0
26700,2622,1110,0,0
26800,2580,1100,0,0
26900,2525,1083,0,0
27000,3116,1334,0,0
27100,2989,1282,0,0
27200,3403,1452,0,0
27300,3264,1382,0,0
27400,3075,1365,0,0
27500,3557,1503,0,0
27600,3052,1308,0,0
27700,2619,1126,0,0
27800,2727,1178,0,0
27900,3133,1393,0,0
28000,3211,1421,0,0
28100,2925,1257,0,0
28200,2968,1329,0,0
28300,2950,1288,0,0
28400,2921,1247,0,0
28500,2542,1066,0,0
28600,2668,1126,0,0
28700,2170,911,0,0
28800,2830,1150,0,0
28900,2895,1236,0,0
29000,2533,1040,0,0
29100,2426,966,0,0
29200,2359,980,0,0
29300,2174,921,0,0
29400,2436,995,0,0
29500,2187,917,0,0
29600,2297,924,0,0
29700,2291,937,0,0
29800,2054,837,0,0
29900,1813,777,0,0
30000,2205,860,0,0
30100,2420,950,0,0
30200,2493,982,0,0
30300,2782,1021,0,0
30400,2276,893,0,0
30500,1874,708,0,0
30600,2137,841,0,0
30700,2431,959,0,0
30800,2451,933,0,0
30900,2552,996,0,0
31000,2760,1088,0,0
31100,2671,971,0,0
31200,2447,991,0,0
31300,2138,846,0,0
31400,2528,976,0,0
31500,2268,860,0,0
31600,1991,758,0,0
31700,2080,797,0,0
31800,1922,702,0,0
31900,2280,837,0,0
32000,2342,906,0,0
32100,2696,985,0,0
32200,2531,963,0,0
32300,2384,852,0,0
32400,2166,775,0,0
32500,2080,739,0,0
32600,2032,775,0,0
32700,1944,721,0,0
32800,2083,738,0,0
32900,2026,772,0,0
33000,2117,776,0,0
33100,2207,783,0,0
33200,2216,801,0,0
33300,2287,837,0,0
33400,2524,930,0,0
33500,2152,788,0,0
33600,1925,683,0,0
33700,2126,723,0,0
33800,2026,715,0,0
33900,2140,759,0,0
34000,2105,749,0,0
34100,2200,787,0,0
34200,2266,758,0,0
34300,1997,704,0,0
34400,1830,642,0,0
34500,2159,735,0,0
34600,2380,805,0,0
34700,1755,572,0,0
34800,1925,648,0,0
34900,2324,742,0,0
35000,2158,718,0,0
35100,2103,638,0,0
35200,2346,794,0,0
35300,1937,680,0,0
35400,1762,594,0,0
35500,1562,528,0,0
35600,1470,460,0,0
35700,1615,504,0,0
35800,2017,587,0,0
35900,1837,590,0,0
36000,1557,483,0,0
36100,1900,617,0,0
36200,1864,546,0,0
36300,1890,600,0,0
36400,2557,776,0,0
36500,2118,658,0,0
36600,1582,444,0,0
36700,1617,521,0,0
36800,1731,548,0,0
36900,1421,407,0,0
37000,1650,495,0,0
37100,1541,499,0,0
37200,1792,511,0,0
37300,1508,419,0,0
37400,1571,452,0,0
37500,1620,502,0,0
37600,1705,517,0,0
37700,1450,444,0,0
37800,1209,337,0,0
37900,1135,325,0,0
38000,1553,474,0,0
38100,1922,598,0,0
38200,1560,438,0,0
38300,1464,423,0,0
38400,1435,425,0,0
38500,1333,378,0,0
38600,1667,480,0,0
38700,1658,446,0,0
38800,1500,418,0,0
38900,1637,476,0,0
39000,1324,384,0,0
39100,1531,437,0,0
39200,1384,411,0,0
39300,1503,444,0,0
39400,1357,372,0,0
39500,1432,379,0,0
39600,1321,369,0,0
39700,1566,452,0,0
39800,1509,420,0,0
39900,1396,383,0,0
40000,1157,324,0,0
40100,1342,353,0,0
40200,1759,486,0,0
40300,1425,407,0,0
40400,1460,390,0,0
40500,1532,423,0,0
40600,1601,463,0,0
40700,1855,535,0,0
40800,1675,514,0,0
40900,1780,493,0,0
41000,1621,460,0,0
41100,1295,368,0,0
41200,1313,375,0,0
41300,1637,473,0,0
41400,1733,472,0,0
41500,1832,519,0,0
41600,1554,446,0,0
41700,1586,441,0,0
41800,1426,400,0,0
41900,1396,358,0,0
42000,1782,516,0,0
42100,1760,530,0,0
42200,1578,450,0,0
42300,1486,412,0,0
42400,1380,391,0,0
42500,1361,357,0,0
42600,1763,483,0,0
42700,1832,509,0,0
42800,1673,469,0,0
42900,1591,403,0,0
43000,1203,286,0,0
43100,1302,345,0,0
43200,1299,323,0,0
43300,1119,301,0,0
43400,1200,315,0,0
43500,1318,353,0,0
43600,1748,424,0,0
43700,1412,385,0,0
43800,1605,408,0,0
43900,1498,348,0,0
44000,1561,377,0,0
44100,1429,357,0,0
44200,1475,374,0,0
44300,1215,292,0,0
44400,1414,342,0,0
44500,1537,402,0,0
44600,1595,461,0,0
44700,1829,482,0,0
44800,1478,396,0,0
44900,1728,477,0,0
45000,1708,440,0,0
45100,1183,292,0,0
45200,1216,276,0,0
45300,1710,445,0,0
45400,1671,426,0,0
45500,1724,464,0,0
45600,1343,336,0,0
45700,1322,327,0,0
45800,1323,331,0,0
45900,1450,343,0,0
46000,1610,364,0,0
46100,1325,345,0,0
46200,1080,265,0,0
46300,1378,354,0,0
46400,1191,303,0,0
46500,1201,305,0,0
46600,1372,329,0,0
46700,1171,313,0,0
46800,1297,326,0,0
46900,1096,265,0,0
47000,1475,394,0,0
47100,1583,399,0,0
47200,1483,395,0,0
47300,1769,440,0,0
47400,1633,408,0,0
47500,1507,391,0,0
47600,1286,337,0,0
47700,1488,399,0,0
47800,1811,436,0,0
