update,host_task_NOT,sym_task_NOT,host_task_NAND,sym_task_NAND,host_task_AND,sym_task_AND,host_task_ORN,sym_task_ORN,host_task_OR,sym_task_OR,host_task_ANDN,sym_task_ANDN,host_task_NOR,sym_task_NOR,host_task_XOR,sym_task_XOR,host_task_EQU,sym_task_EQU
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1000,99994,0,0,0,2,0,2,0,2,0,2,0,0,0,0,0,0,0
2000,99977,0,18,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0
3000,99298,0,660,0,41,0,0,0,0,0,1,0,0,0,0,0,0,0
4000,98910,0,916,0,170,0,3,0,0,0,1,0,0,0,0,0,0,0
5000,98585,0,1411,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0
6000,95705,0,4290,0,1,0,3,0,1,0,0,0,0,0,0,0,0,0
7000,99142,0,840,0,0,0,9,0,3,0,6,0,0,0,0,0,0,0
8000,99971,0,8,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0
9000,99858,0,139,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0
10000,97319,0,2679,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
11000,98043,0,1934,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0
12000,99377,0,623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13000,95344,0,4655,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
14000,99643,0,356,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
15000,98714,0,1264,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0
16000,92634,0,7346,0,0,0,16,0,4,0,0,0,0,0,0,0,0,0
17000,85266,0,14729,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0
18000,75286,0,24610,0,0,0,102,0,2,0,0,0,0,0,0,0,0,0
19000,87708,0,12284,0,0,0,3,0,5,0,0,0,0,0,0,0,0,0
20000,93688,0,6299,0,0,0,11,0,1,0,0,0,1,0,0,0,0,0
21000,99649,0,339,0,3,0,4,0,4,0,1,0,0,0,0,0,0,0
22000,99943,0,49,0,0,0,5,0,3,0,0,0,0,0,0,0,0,0
23000,99529,0,467,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0
24000,99835,0,161,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0
25000,99913,0,75,0,3,0,6,0,3,0,0,0,0,0,0,0,0,0
26000,99963,0,31,0,0,0,3,0,2,0,0,0,1,0,0,0,0,0
27000,99938,0,59,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
28000,99985,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29000,99598,0,401,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
30000,99505,0,493,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
31000,99791,0,208,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
32000,99992,0,5,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0
33000,99984,0,13,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0
34000,99248,0,746,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0
35000,99963,0,33,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0
36000,99986,0,10,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0
37000,99952,0,43,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0
38000,99965,0,32,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0
39000,99995,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
40000,99994,0,1,0,1,0,1,0,3,0,0,0,0,0,0,0,0,0
41000,99998,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
42000,99990,0,7,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
43000,99987,0,11,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
44000,99999,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45000,99993,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
46000,99991,0,6,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
47000,99989,0,2,0,2,0,0,0,6,0,1,0,0,0,0,0,0,0
48000,99983,0,13,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0
49000,99987,0,6,0,0,0,2,0,5,0,0,0,0,0,0,0,0,0
50000,99995,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
51000,99992,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52000,99912,0,10,0,74,0,1,0,3,0,0,0,0,0,0,0,0,0
53000,99959,0,2,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0
54000,99990,0,2,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0
55000,99996,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
56000,99994,0,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
57000,99996,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
58000,99993,0,3,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0
59000,99952,0,44,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0
60000,99998,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61000,99993,0,0,0,0,0,6,0,1,0,0,0,0,0,0,0,0,0
62000,99996,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
63000,99980,0,19,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
64000,99997,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
65000,99941,0,56,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
66000,99953,0,46,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
67000,99836,0,164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68000,99993,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
69000,99998,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
70000,99992,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71000,99919,0,72,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0
72000,99320,0,679,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
73000,99815,0,183,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
74000,99994,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0
75000,99949,0,50,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
76000,99993,0,3,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0
77000,99998,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
78000,99867,0,128,0,1,0,3,0,1,0,0,0,0,0,0,0,0,0
79000,99995,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
80000,99988,0,3,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0
81000,99998,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
82000,99992,0,4,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0
83000,99996,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84000,99998,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
85000,99993,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
86000,99998,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
87000,99993,0,4,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0
88000,99994,0,2,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0
89000,99995,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
90000,98752,0,1248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91000,99956,0,42,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
92000,99998,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
93000,100000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94000,99998,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
95000,99996,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
96000,99995,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0
97000,100000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98000,99996,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
99000,99994,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
100000,99994,0,2,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0
101000,99994,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0
102000,99998,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103000,99996,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
104000,99996,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105000,99994,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0
106000,99977,0,10,0,0,0,1,0,12,0,0,0,0,0,0,0,0,0
107000,99995,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
108000,99988,0,3,0,1,0,5,0,3,0,0,0,0,0,0,0,0,0
109000,99989,0,4,0,0,0,0,0,6,0,1,0,0,0,0,0,0,0
110000,99990,0,7,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
111000,99981,0,13,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0
112000,99991,0,2,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0
113000,99989,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114000,99997,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
115000,99984,0,2,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0
116000,99992,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0
117000,99996,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
118000,99996,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
119000,99993,0,3,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0
120000,99993,0,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
121000,99988,0,5,0,0,0,3,0,3,0,1,0,0,0,0,0,0,0
122000,99999,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
123000,99994,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
124000,99996,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
125000,100000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
126000,99990,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0
127000,99997,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
128000,99943,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
129000,99972,0,27,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
130000,99992,0,0,0,3,0,4,0,0,0,1,0,0,0,0,0,0,0
131000,99993,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0
132000,99607,0,390,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0
133000,99926,0,69,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0
134000,99768,0,225,0,0,0,4,0,3,0,0,0,0,0,0,0,0,0
135000,99561,0,439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
136000,99902,0,97,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
137000,99997,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
138000,99985,0,6,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0
139000,99896,0,100,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
140000,99971,0,22,0,0,0,6,0,1,0,0,0,0,0,0,0,0,0
141000,99989,0,4,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0
142000,99920,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
143000,99984,0,15,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
144000,99991,0,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
145000,99998,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
146000,99997,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
147000,99998,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
148000,99996,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
149000,99977,0,20,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
150000,99994,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
151000,99993,0,4,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
152000,99991,0,2,0,0,0,1,0,6,0,0,0,0,0,0,0,0,0
153000,99999,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
154000,99999,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
155000,99992,0,5,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0
156000,99987,0,11,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
157000,99998,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
158000,99988,0,4,0,0,0,7,0,1,0,0,0,0,0,0,0,0,0
159000,99993,0,1,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0
160000,99993,0,3,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0
161000,100000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
162000,99993,0,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
163000,99987,0,4,0,2,0,3,0,4,0,0,0,0,0,0,0,0,0
164000,99993,0,2,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0
165000,99998,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
166000,99962,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
167000,99989,0,7,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
168000,99991,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
169000,99994,0,1,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0
170000,99997,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
171000,99996,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
172000,99999,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
173000,99997,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
174000,100000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
175000,100000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
176000,99999,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
177000,100000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
178000,99996,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0
179000,99993,0,1,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
180000,99839,0,152,0,0,0,5,0,4,0,0,0,0,0,0,0,0,0
181000,99994,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
182000,99966,0,2,0,30,0,2,0,0,0,0,0,0,0,0,0,0,0
183000,99990,0,3,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0
184000,99984,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
185000,99993,0,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
186000,99999,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
187000,99996,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
188000,99994,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
189000,99995,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
190000,99996,0,1,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0
191000,100000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
192000,100000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
193000,99998,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
194000,99998,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
195000,99995,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
196000,99997,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
197000,100000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
198000,99990,0,6,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0
